seed,method,batch_size,cpu_model,cpu_threads,cpu_interop_threads,torch_version,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,latency_ms_per_observation,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters,model_state_kib_fp32,base_train_seconds,recovery_train_seconds,base_temperature,recovery_temperature,elapsed_seed_seconds
107,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,49.772400001529604,49.625050014583394,50.24219999904744,0.01140522456497012,87679.11533030124,6.1886000039521605,6.184300014865585,6.282100002863444,6,39493,154.26953125,13.873245299997507,21.51582650002092,0.9294273882872307,0.9445775684771087,43.450343400007114
108,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.692900012945756,5.589899999904446,5.8071000094059855,0.0013045142101158929,766568.8823053604,0.8070000039879233,0.8012500038603321,0.8272000122815371,1,19740,77.109375,29.61978249999811,30.937427500000922,1.040919939729362,0.9556331802883052,68.69045329999062
108,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.562300008023158,5.350300009013154,5.667449993779883,0.0012745875362106228,784567.5338808211,0.8603000023867935,0.832799996715039,0.9120000177063048,1,19740,77.109375,29.61978249999811,30.937427500000922,1.040919939729362,0.9556331802883052,68.69048950000433
108,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,44.943700020667166,44.333150013699196,45.120250011677854,0.010298739693095135,97099.25969586913,6.2646000005770475,6.215250003151596,6.306650000624359,6,39493,154.26953125,29.61978249999811,30.937427500000922,1.040919939729362,0.9556331802883052,68.69052080000984
109,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.403999995905906,5.235849981545471,5.4650000092806295,0.0012383134729390252,807549.9636021808,0.8557999972254038,0.8423499966738746,0.872199991135858,1,19740,77.109375,19.023882600013167,22.864191300002858,0.8198120201213096,0.7637208321824376,49.73923520001699
109,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.467399983899668,5.367699995986186,5.747250019339845,0.0012528414261914914,798185.6115980272,0.8604000031482428,0.8447000000160187,0.8752499998081475,1,19740,77.109375,19.023882600013167,22.864191300002858,0.8198120201213096,0.7637208321824376,49.7392700999917
109,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,46.22779999044724,45.666149992030114,46.65899998508394,0.010592988082137314,94402.06976974463,6.297300016740337,6.198699993547052,6.3805999961914495,6,39493,154.26953125,19.023882600013167,22.864191300002858,0.8198120201213096,0.7637208321824376,49.7392983000027
110,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.117199994856492,5.015100003220141,5.185149988392368,0.0011725939493255023,852810.1313973337,0.961300014751032,0.8993000083137304,1.0332000092603266,1,19740,77.109375,22.452403900009813,27.79409699997632,0.8415205307008368,0.8999203536046791,58.18236629999592
110,RO-PDRF-Full,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.3980999800842255,5.3346000058809295,5.493150005349889,0.0012369614986444146,808432.5996370133,0.8302000060211867,0.8069500036071986,0.8757500036153942,1,19740,77.109375,22.452403900009813,27.79409699997632,0.8415205307008368,0.8999203536046791,58.18239529998391
110,SR-PDRF-Safe-CF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,44.84399998909794,44.595050014322624,44.96139999537263,0.010275893673028858,97315.13694275568,6.311400007689372,6.009650009218603,6.421850004699081,6,39493,154.26953125,22.452403900009813,27.79409699997632,0.8415205307008368,0.8999203536046791,58.18241969999508
