seed,threshold,accuracy,negative_transfer_rate,negative_transfer_prevention,recovery_retention,full_selection_rate
107,0.8500000000000001,0.6440677966101694,0.056,0.944,0.29292929292929293,0.5139420448332422
107,0.875,0.643521049753964,0.04,0.96,0.26262626262626265,0.45379989065062876
107,0.9,0.6440677966101694,0.024,0.976,0.25252525252525254,0.39420448332422087
108,0.5,0.7091203453858608,0.17647058823529413,0.8235294117647058,0.6851851851851852,0.8359417161359957
108,0.525,0.7091203453858608,0.17647058823529413,0.8235294117647058,0.6851851851851852,0.8300053966540745
108,0.55,0.7075013491635186,0.16176470588235295,0.8382352941176471,0.6111111111111112,0.820831084727469
108,0.575,0.708041014570966,0.14705882352941177,0.8529411764705882,0.6111111111111112,0.8121964382083109
108,0.6,0.708041014570966,0.1323529411764706,0.8676470588235294,0.5925925925925926,0.8051807879114948
108,0.625,0.7075013491635186,0.1323529411764706,0.8676470588235294,0.5740740740740741,0.7970858067997841
108,0.65,0.708041014570966,0.11764705882352941,0.8823529411764706,0.5740740740740741,0.788451160280626
108,0.675,0.7064220183486238,0.11764705882352941,0.8823529411764706,0.5185185185185185,0.7808958445763626
108,0.7,0.7058823529411765,0.11764705882352941,0.8823529411764706,0.5,0.7717215326497572
108,0.725,0.7058823529411765,0.10294117647058823,0.8970588235294118,0.48148148148148145,0.7576902320561252
108,0.75,0.7058823529411765,0.10294117647058823,0.8970588235294118,0.48148148148148145,0.744738262277388
108,0.775,0.7058823529411765,0.08823529411764706,0.9117647058823529,0.46296296296296297,0.7247706422018348
108,0.8,0.7053426875337291,0.08823529411764706,0.9117647058823529,0.4444444444444444,0.7075013491635186
108,0.825,0.7048030221262817,0.08823529411764706,0.9117647058823529,0.42592592592592593,0.6934700485698867
108,0.8500000000000001,0.7037236913113869,0.08823529411764706,0.9117647058823529,0.3888888888888889,0.6724230976794388
108,0.875,0.7021046950890448,0.08823529411764706,0.9117647058823529,0.3333333333333333,0.6535348084187803
108,0.9,0.7015650296815974,0.058823529411764705,0.9411764705882353,0.2777777777777778,0.6233135456017269
