seed,calibration_severity,test_severity,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,3.0,2.0,stuck_at,0.4000000000000001,All-row multinomial,2.0,1436,32,4,0.125,24,2,0.9166666666666666,0.07103064066852367,0.49651810584958217,13.927576601671309,1.0,13.927576601671309,0.49651810584958217,0.8336669027329625,0.595282472661906,2.366389503233184,0.7827728742036861,0.32429881858877113,0.32374723069107253,0.125600505099831
101,3.0,3.0,drift,0.7,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.377583958038889,0.7848355521132004,0.32962485960511145,0.32954367223323033,0.12403080695050794
101,3.0,3.0,drift,0.4000000000000001,All-row multinomial,2.0,1436,40,5,0.125,29,2,0.9310344827586207,0.08495821727019498,0.5104456824512534,20.891364902506965,1.0,20.891364902506965,0.5104456824512534,0.8396451509642971,0.5940134794783111,2.4768637122723067,0.7824561856185791,0.33291593698593114,0.3328347496140501,0.12506619343813885
101,3.0,3.0,gaussian,0.7,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418294663305,0.7930963542150123,0.32709674120120186,0.32709674120120186,0.11738334082266906
101,3.0,3.0,gaussian,0.4000000000000001,All-row multinomial,2.0,1436,70,5,0.07142857142857142,32,1,0.96875,0.07938718662952646,0.479108635097493,27.855153203342617,1.0,27.855153203342617,0.479108635097493,0.8003435492500305,0.49933277543510707,2.777397990740863,0.8136619518531764,0.3420263172343299,0.34202631723432986,0.12132894538357931
101,3.0,3.0,offset,0.7,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076527874643,0.8043031107270576,0.3456627644465228,0.3451824297612933,0.12844326652749744
101,3.0,3.0,offset,0.4000000000000001,All-row multinomial,2.0,1436,47,13,0.2765957446808511,37,8,0.7837837837837838,0.11977715877437325,0.48746518105849584,34.81894150417827,1.0,34.81894150417827,0.48746518105849584,0.8362006600724938,0.5817402702585993,2.6052840035786025,0.8131973878139671,0.3528988082254321,0.3524184735402025,0.13215145290607258
101,3.0,3.0,stuck_at,0.7,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338331191943019,0.5934616696081315,2.3686784781508146,0.7885336025043365,0.3260579305927724,0.32605793059277255,0.1283048430856598
101,3.0,3.0,stuck_at,0.4000000000000001,All-row multinomial,2.0,1436,50,8,0.16,31,2,0.935483870967742,0.0967966573816156,0.47841225626740946,41.78272980501393,1.0,41.78272980501393,0.47841225626740946,0.8268592210809241,0.5865564365907697,2.591667412773495,0.8157947513300073,0.34086385132179114,0.34086385132179114,0.13526473560657276
102,1.0,1.0,drift,0.825,Conditional Lite-CF,2.0,1436,20,0,0.0,2,0,1.0,0.7479108635097493,0.5598885793871866,0.0,1.0,0.0,0.5598885793871866,0.854664788644044,0.6339561991840729,1.8811735877378923,0.669689701000471,0.2642537272983711,0.2635810256047926,0.10438908920663463
102,1.0,1.0,drift,0.7250000000000001,All-row multinomial,2.0,1436,20,0,0.0,2,0,1.0,0.0,0.5598885793871866,0.0,1.0,0.0,0.5598885793871866,0.8505036221844132,0.6295104975774587,2.036051836678512,0.6875063465546413,0.28059811011987795,0.2794874448264706,0.10804619087147262
102,1.0,1.0,gaussian,0.825,Conditional Lite-CF,2.0,1436,50,1,0.02,19,1,0.9473684210526316,0.6427576601671309,0.5188022284122563,0.0,1.0,0.0,0.5188022284122563,0.8308356964369968,0.5827513281487408,1.9820955460448937,0.691551941571624,0.25612806509813835,0.2554215895263572,0.09684799577870469
102,1.0,1.0,gaussian,0.7250000000000001,All-row multinomial,2.0,1436,50,0,0.0,19,1,0.9473684210526316,0.0020891364902506965,0.5181058495821727,-6.963788300835654,1.0,-6.963788300835654,0.5181058495821727,0.8243697528357884,0.5712452034531095,2.1822347311737644,0.7168892843193823,0.27398034577980646,0.27327387020802524,0.10229365270182429
102,1.0,1.0,offset,0.825,Conditional Lite-CF,2.0,1436,12,0,0.0,6,0,1.0,0.7736768802228412,0.5376044568245125,0.0,1.0,0.0,0.5376044568245125,0.8494090620957566,0.6241605799098915,1.9757944320168221,0.716084624922992,0.2864733349582467,0.2849918489134366,0.11652502236302258
102,1.0,1.0,offset,0.7250000000000001,All-row multinomial,2.0,1436,12,0,0.0,6,0,1.0,0.0,0.5376044568245125,0.0,1.0,0.0,0.5376044568245125,0.8436933150740068,0.6183245151339155,2.18771535388532,0.7467125601499827,0.31103571703641997,0.30827522672390845,0.12360525920707198
102,1.0,1.0,stuck_at,0.825,Conditional Lite-CF,2.0,1436,17,0,0.0,10,1,0.9,0.46866295264623953,0.5229805013927576,-6.963788300835654,1.0,-6.963788300835654,0.5229805013927576,0.8307345294268509,0.5951509279257325,1.738171497521666,0.6759914296947451,0.22265591503250876,0.22470824982650642,0.09922671287634076
