seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
102,Always RO-PDRF-Lite,10.0,5744,68.0,68.0,27.0,27.0,1.0,0.0,1.0,-351.67130919220057,,
103,Conditional Lite-CF,1.0,5744,154.0,132.0,36.0,20.0,0.9726671309192201,0.4444444444444444,0.8571428571428571,194.98607242339833,188.1720430107527,6.814029412645624
103,All-row multinomial,1.0,5744,154.0,143.0,36.0,28.0,0.9899025069637883,0.2222222222222222,0.9285714285714286,200.20891364902508,182.79569892473117,17.41321472429391
103,Two-stage,1.0,5744,154.0,134.0,36.0,21.0,0.9770194986072424,0.41666666666666663,0.8701298701298701,196.72701949860723,193.5483870967742,3.1786324018330276
103,Frozen Lite-CF (ungated),1.0,5744,154.0,0.0,36.0,0.0,0.5628481894150418,1.0,0.0,0.0,,
103,Prospective gate Lite-CF,1.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,All-row multinomial (safety),1.0,5744,154.0,3.0,36.0,0.0,0.012012534818941474,1.0,0.01948051948051948,5.222841225626741,,
103,Always PDRF,1.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,Always RO-PDRF-Lite,1.0,5744,154.0,154.0,36.0,36.0,1.0,0.0,1.0,205.4317548746518,,
103,Conditional Lite-CF,2.0,5744,154.0,132.0,36.0,20.0,0.9726671309192201,0.4444444444444444,0.8571428571428571,160.16713091922006,150.53763440860214,9.629496510617912
103,All-row multinomial,2.0,5744,154.0,136.0,36.0,23.0,0.9806754874651811,0.36111111111111116,0.8831168831168831,156.68523676880224,134.40860215053763,22.27663461826461
103,Two-stage,2.0,5744,154.0,134.0,36.0,21.0,0.9770194986072424,0.41666666666666663,0.8701298701298701,160.16713091922006,150.53763440860214,9.629496510617912
103,Frozen Lite-CF (ungated),2.0,5744,154.0,0.0,36.0,0.0,0.5628481894150418,1.0,0.0,0.0,,
103,Prospective gate Lite-CF,2.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,All-row multinomial (safety),2.0,5744,154.0,3.0,36.0,0.0,0.012012534818941474,1.0,0.01948051948051948,5.222841225626741,,
103,Always PDRF,2.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,Always RO-PDRF-Lite,2.0,5744,154.0,154.0,36.0,36.0,1.0,0.0,1.0,142.75766016713092,,
103,Conditional Lite-CF,5.0,5744,154.0,132.0,36.0,20.0,0.9726671309192201,0.4444444444444444,0.8571428571428571,55.710306406685234,37.634408602150536,18.075897804534698
103,All-row multinomial,5.0,5744,154.0,123.0,36.0,14.0,0.9592618384401114,0.6111111111111112,0.7987012987012987,92.27019498607243,32.25806451612903,60.01213046994339
103,Two-stage,5.0,5744,154.0,113.0,36.0,12.0,0.366991643454039,0.6666666666666667,0.7337662337662337,92.27019498607243,43.01075268817204,49.259442297900385
103,Frozen Lite-CF (ungated),5.0,5744,154.0,0.0,36.0,0.0,0.5628481894150418,1.0,0.0,0.0,,
103,Prospective gate Lite-CF,5.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,All-row multinomial (safety),5.0,5744,154.0,3.0,36.0,0.0,0.012012534818941474,1.0,0.01948051948051948,5.222841225626741,,
103,Always PDRF,5.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,Always RO-PDRF-Lite,5.0,5744,154.0,154.0,36.0,36.0,1.0,0.0,1.0,-45.26462395543175,,
103,Conditional Lite-CF,10.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103,All-row multinomial,10.0,5744,154.0,1.0,36.0,0.0,0.009401114206128075,1.0,0.006493506493506494,1.7409470752089136,10.75268817204301,-9.011741096834097
103,Two-stage,10.0,5744,154.0,10.0,36.0,2.0,0.026984679665738125,0.9444444444444444,0.06493506493506493,-17.409470752089135,37.634408602150536,-55.04387935423967
103,Frozen Lite-CF (ungated),10.0,5744,154.0,0.0,36.0,0.0,0.5628481894150418,1.0,0.0,0.0,,
103,Prospective gate Lite-CF,10.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,All-row multinomial (safety),10.0,5744,154.0,3.0,36.0,0.0,0.012012534818941474,1.0,0.01948051948051948,5.222841225626741,,
103,Always PDRF,10.0,5744,154.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,,
103,Always RO-PDRF-Lite,10.0,5744,154.0,154.0,36.0,36.0,1.0,0.0,1.0,-358.6350974930362,,
