seed,fault_type,fault_prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000
108,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,39,0,0.0,24,0,1.0,0.002785515320334262,0.49442896935933145,0.0
108,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,46,0,0.0,59,0,1.0,0.0009165902841429881,0.5763061411549038,0.0
108,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,63,0,0.0,66,1,0.9848484848484849,0.0009165902841429881,0.5476626947754354,-2.2914757103574703
108,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,18,0,0.0,50,0,1.0,0.0,0.6010540788267644,0.0
108,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,21,0,0.0,14,1,0.9285714285714286,0.0006963788300835655,0.47284122562674097,-6.963788300835654
108,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,28,0,0.0,49,1,0.9795918367346939,0.00022914757103574703,0.5692025664527957,-2.2914757103574703
108,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,52,0,0.0,41,1,0.975609756097561,0.00045829514207149406,0.5316223648029331,-2.2914757103574703
108,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,18,0,0.0,48,0,1.0,0.0,0.6019706691109075,0.0
108,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,17,0,0.0,11,0,1.0,0.001392757660167131,0.49164345403899723,0.0
108,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,24,0,0.0,46,0,1.0,0.00045829514207149406,0.5753895508707608,0.0
108,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,34,0,0.0,34,0,1.0,0.00045829514207149406,0.5462878093492209,0.0
108,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,21,0,0.0,54,0,1.0,0.0,0.6003666361136571,0.0
108,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,25,0,0.0,17,0,1.0,0.0,0.4637883008356546,0.0
108,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,32,0,0.0,52,0,1.0,0.0,0.5662236480293309,0.0
108,stuck_at,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,63,0,0.0,47,0,1.0,0.0,0.5265811182401466,0.0
108,none,0.0,clean_no_imposed_fault,Lite-CF-6,2.0,4364,15,0,0.0,49,0,1.0,0.0,0.6102199816681944,0.0
109,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,39,0,0.0,41,0,1.0,0.0,0.6065536205316223,0.0
109,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,49,0,0.0,27,0,1.0,0.0,0.49025069637883006,0.0
109,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,0,0.0,54,0,1.0,0.0,0.580659945004583,0.0
109,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,109,0,0.0,40,0,1.0,0.0,0.5462878093492209,0.0
109,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,28,0,0.0,43,0,1.0,0.0,0.6093033913840513,0.0
109,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,49,0,0.0,20,0,1.0,0.0,0.46657381615598886,0.0
109,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,65,0,0.0,47,0,1.0,0.0,0.5728689275893676,0.0
109,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,93,0,0.0,47,0,1.0,0.0,0.5336846929422548,0.0
109,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,30,0,0.0,42,0,1.0,0.0,0.6125114573785518,0.0
109,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,43,0,0.0,22,0,1.0,0.0,0.5215877437325905,0.0
109,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,59,0,0.0,49,0,1.0,0.0,0.5909715857011916,0.0
109,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,77,0,0.0,47,0,1.0,0.0,0.5671402383134739,0.0
109,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,26,0,0.0,44,0,1.0,0.0,0.6083868010999084,0.0
