replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
89,0.8995290423861853,0.16150990099009901,0.43917130919220054,0.005258528500222348,-0.0030057628273513215
90,0.9161793372319689,0.07160909856781802,0.650783426183844,0.006459899554711823,-0.00030175854135483515
91,0.8960774325012736,0.07920193470374849,0.48118036211699167,0.0050629093856762175,0.00032546903036900776
92,0.8991416309012875,0.12283236994219653,0.5500522284122563,0.007093573013472909,-1.6303002931650212e-05
93,0.9149239543726235,0.17804878048780487,0.5796657381615599,0.008646789136889765,-0.0013782579978203202
94,0.8783557046979866,0.1922632794457275,0.4337047353760446,0.0037629006298898204,-0.002277671738991738
95,0.8382749326145553,0.2335195530726257,0.5211699164345404,0.006088850781167721,-0.006317081266832503
96,0.9077555816686251,0.1663316582914573,0.49030292479108634,0.0069061010351482155,-0.0028794756494487928
97,0.9124605678233438,0.1545566502463054,0.46232590529247913,0.005540087889952305,-0.003375218828142179
98,0.9153924566768603,0.056921086675291076,0.41566852367688023,0.002824144255796246,-0.00026994252496026494
99,0.8662790697674418,0.18280123583934088,0.53241643454039,0.0060852665969249875,-0.004897864074387304
100,0.9188926663428849,0.07536041939711664,0.4215006963788301,0.004926657822471703,0.0026489412821132374
101,0.8740298507462687,0.22451790633608815,0.5437674094707521,0.004409770496228038,0.002082458098316864
102,0.9495524816924329,0.03870967741935484,0.4567896935933148,0.0036972821864069694,-0.0006889268856927755
103,0.886672710788758,0.17147117296222664,0.4488857938718663,0.005762250667161517,-0.005676714191993781
104,0.9326837909654562,0.10799364743250398,0.2918175487465181,0.0028432034233694115,-0.004541835668343763
105,0.9447208402432283,0.0710295291300878,0.34385445682451254,0.0029057364950783038,0.0023772375359206732
106,0.9397180359747205,0.07627118644067797,0.4633530640668524,0.005497697464789564,0.0029907466613330325
107,0.9327231121281465,0.07516703786191536,0.3875174094707521,0.004640834860898946,0.001950427320239978
108,0.8874773139745916,0.19017199017199019,0.5002089136490251,0.00669614905489635,-0.003421271770999712
109,0.9242990654205607,0.08782051282051281,0.2692548746518106,0.002551452422784428,0.0020267057256385668
110,0.9391304347826087,0.0633879781420765,0.42425139275766016,0.000829599880572629,-0.00123864250300032
111,0.8659420289855072,0.23021001615508885,0.4529073816155989,0.0073646852343433045,-0.007215203971962625
112,0.9046866771985256,0.1438721136767318,0.3401636490250696,0.003985406956691806,0.00012595098244105873
113,0.8557353976073188,0.28699743370402053,0.4474756267409471,0.006548107641639156,-0.00820241069358807
114,0.9185407296351824,0.07429420505200594,0.51875,0.0066865390971094785,0.0030067979416226187
115,0.9083870967741936,0.21487603305785125,0.44413300835654596,0.005139948379496939,-0.006094876717652298
116,0.8888070692194403,0.16165262735659847,0.3883008356545961,0.005638333414565211,-0.00829651087655614
117,0.9448979591836735,0.08244422890397672,0.38938022284122564,0.002346851294774077,0.00185417607210292
118,0.9417897480451781,0.07103825136612021,0.4740947075208914,0.005107968261101714,-0.0031381725998961274
