seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,0.5,146.23955431754874,181.058495821727,1.0,-34.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,2.0,146.23955431754874,181.058495821727,1.0,-34.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2.0,0.0,146.23955431754874,181.058495821727,1.0,-215.87743732590528,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2.0,0.5,146.23955431754874,181.058495821727,1.0,-215.87743732590528,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2.0,2.0,146.23955431754874,181.058495821727,1.0,-215.87743732590528,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5.0,0.0,146.23955431754874,181.058495821727,1.0,-759.0529247910863,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5.0,0.5,146.23955431754874,181.058495821727,1.0,-759.0529247910863,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5.0,2.0,146.23955431754874,181.058495821727,1.0,-759.0529247910863,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,10.0,0.0,146.23955431754874,181.058495821727,1.0,-1664.3454038997213,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,10.0,0.5,146.23955431754874,181.058495821727,1.0,-1664.3454038997213,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Always RO-PDRF-Full,10.0,2.0,146.23955431754874,181.058495821727,1.0,-1664.3454038997213,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,1.0,0.0,104.45682451253482,34.81894150417827,6.0,69.63788300835655,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,1.0,0.5,104.45682451253482,34.81894150417827,6.0,67.13788300835655,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,1.0,2.0,104.45682451253482,34.81894150417827,6.0,59.63788300835655,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,2.0,0.0,104.45682451253482,34.81894150417827,6.0,34.818941504178284,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,2.0,0.5,104.45682451253482,34.81894150417827,6.0,32.318941504178284,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,2.0,2.0,104.45682451253482,34.81894150417827,6.0,24.818941504178284,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,5.0,0.0,104.45682451253482,34.81894150417827,6.0,-69.63788300835652,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,5.0,0.5,104.45682451253482,34.81894150417827,6.0,-72.13788300835652,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,5.0,2.0,104.45682451253482,34.81894150417827,6.0,-79.63788300835652,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,10.0,0.0,104.45682451253482,34.81894150417827,6.0,-243.7325905292479,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,10.0,0.5,104.45682451253482,34.81894150417827,6.0,-246.2325905292479,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Safe-CF-12,10.0,2.0,104.45682451253482,34.81894150417827,6.0,-253.7325905292479,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,1.0,0.0,13.927576601671309,13.927576601671309,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,1.0,0.5,13.927576601671309,13.927576601671309,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,1.0,2.0,13.927576601671309,13.927576601671309,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,2.0,0.0,13.927576601671309,13.927576601671309,2.0,-13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,2.0,0.5,13.927576601671309,13.927576601671309,2.0,-14.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,2.0,2.0,13.927576601671309,13.927576601671309,2.0,-15.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,5.0,0.0,13.927576601671309,13.927576601671309,2.0,-55.710306406685234,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,5.0,0.5,13.927576601671309,13.927576601671309,2.0,-56.210306406685234,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,5.0,2.0,13.927576601671309,13.927576601671309,2.0,-57.710306406685234,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,10.0,0.0,13.927576601671309,13.927576601671309,2.0,-125.34818941504177,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,10.0,0.5,13.927576601671309,13.927576601671309,2.0,-125.84818941504177,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Shrink-6,10.0,2.0,13.927576601671309,13.927576601671309,2.0,-127.34818941504177,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,1.0,0.0,132.31197771587745,55.710306406685234,2.0,76.60167130919221,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,1.0,0.5,132.31197771587745,55.710306406685234,2.0,76.10167130919221,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,1.0,2.0,132.31197771587745,55.710306406685234,2.0,74.60167130919221,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,2.0,0.0,132.31197771587745,55.710306406685234,2.0,20.89136490250698,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,2.0,0.5,132.31197771587745,55.710306406685234,2.0,20.39136490250698,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,2.0,2.0,132.31197771587745,55.710306406685234,2.0,18.89136490250698,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,5.0,0.0,132.31197771587745,55.710306406685234,2.0,-146.2395543175487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,5.0,0.5,132.31197771587745,55.710306406685234,2.0,-146.7395543175487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,5.0,2.0,132.31197771587745,55.710306406685234,2.0,-148.2395543175487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,10.0,0.0,132.31197771587745,55.710306406685234,2.0,-424.79108635097487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,10.0,0.5,132.31197771587745,55.710306406685234,2.0,-425.29108635097487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Tree-6,10.0,2.0,132.31197771587745,55.710306406685234,2.0,-426.79108635097487,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,1.0,0.0,48.74651810584958,20.891364902506965,2.0,27.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,1.0,0.5,48.74651810584958,20.891364902506965,2.0,27.355153203342617,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,1.0,2.0,48.74651810584958,20.891364902506965,2.0,25.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2.0,0.0,48.74651810584958,20.891364902506965,2.0,6.9637883008356525,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2.0,0.5,48.74651810584958,20.891364902506965,2.0,6.4637883008356525,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2.0,2.0,48.74651810584958,20.891364902506965,2.0,4.9637883008356525,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,5.0,0.0,48.74651810584958,20.891364902506965,2.0,-55.71030640668524,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,5.0,0.5,48.74651810584958,20.891364902506965,2.0,-56.21030640668524,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,5.0,2.0,48.74651810584958,20.891364902506965,2.0,-57.71030640668524,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,10.0,0.0,48.74651810584958,20.891364902506965,2.0,-160.16713091922006,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,10.0,0.5,48.74651810584958,20.891364902506965,2.0,-160.66713091922006,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,10.0,2.0,48.74651810584958,20.891364902506965,2.0,-162.16713091922006,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,1.0,0.0,41.78272980501393,27.855153203342617,2.905292479108635,13.927576601671312,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,1.0,0.5,41.78272980501393,27.855153203342617,2.905292479108635,12.974930362116995,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,1.0,2.0,41.78272980501393,27.855153203342617,2.905292479108635,10.116991643454043,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,2.0,0.0,41.78272980501393,27.855153203342617,2.905292479108635,-13.927576601671305,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,2.0,0.5,41.78272980501393,27.855153203342617,2.905292479108635,-14.880222841225622,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,2.0,2.0,41.78272980501393,27.855153203342617,2.905292479108635,-17.738161559888574,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,5.0,0.0,41.78272980501393,27.855153203342617,2.905292479108635,-97.49303621169915,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,5.0,0.5,41.78272980501393,27.855153203342617,2.905292479108635,-98.44568245125346,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,5.0,2.0,41.78272980501393,27.855153203342617,2.905292479108635,-101.30362116991643,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,10.0,0.0,41.78272980501393,27.855153203342617,2.905292479108635,-236.76880222841223,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,10.0,0.5,41.78272980501393,27.855153203342617,2.905292479108635,-237.72144846796655,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Cascade-25,10.0,2.0,41.78272980501393,27.855153203342617,2.905292479108635,-240.5793871866295,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,2.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,2.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,2.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,5.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,5.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,5.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,10.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,10.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,strict_fault_applied_available,Always PDRF,10.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
