seed,fault_type,control,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
104,drift,rank_normalized_logistic,0.725,0.4444444444444444,rank_normalized_logistic,2.0,1436,24,0,0.0,18,0,1.0,0.6601671309192201,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8225016020748103,0.5748060298970553,2.685890187888186,0.805226529731397,0.3418356047779554,0.3416778349291877,0.13458880100041945
104,drift,class_conditional_logistic,0.75,0.7106481481481481,class_conditional_logistic,2.0,1436,24,3,0.125,18,0,1.0,0.5146239554317549,0.5146239554317549,20.891364902506965,1.0,20.891364902506965,0.5146239554317549,0.8225250570147286,0.5737614052028003,2.646226057726337,0.7911426643007785,0.32916275061945166,0.32900498077068396,0.1303295835878587
104,drift,logit_margin_difference,-0.3714969339966774,0.6435185185185185,logit_margin_difference,2.0,1436,24,24,1.0,18,17,0.05555555555555558,0.9805013927576601,0.5174094707520891,48.74651810584958,1.0,48.74651810584958,0.5174094707520891,0.8216272751864215,0.5742419920095642,2.6823845329155716,0.8099809295509945,0.353303348338351,0.35265080476185856,0.1340436268786531
104,gaussian,rank_normalized_logistic,0.725,0.5129958960328317,rank_normalized_logistic,2.0,1436,43,3,0.06976744186046512,17,1,0.9411764705882353,0.7089136490250696,0.46657381615598886,13.927576601671309,1.0,13.927576601671309,0.46657381615598886,0.7845448100387132,0.4780018322032253,3.245009240389552,0.8682855183573702,0.38460304565192893,0.3846030456519291,0.13445005332192891
104,gaussian,class_conditional_logistic,0.75,0.5978112175102599,class_conditional_logistic,2.0,1436,43,15,0.3488372093023256,17,5,0.7058823529411764,0.733983286908078,0.47214484679665736,69.63788300835654,1.0,69.63788300835654,0.47214484679665736,0.7846925924782546,0.4789699829848324,3.1996812819350744,0.857599699509238,0.3749748201604051,0.37497482016040506,0.13140220680398323
104,gaussian,logit_margin_difference,-0.3714969339966774,0.5348837209302326,logit_margin_difference,2.0,1436,43,36,0.8372093023255814,17,14,0.17647058823529416,0.9366295264623955,0.4805013927576602,153.2033426183844,1.0,153.2033426183844,0.4805013927576602,0.7853902126268664,0.4800188224732039,3.213142817458902,0.8763078392931152,0.3900736328256353,0.3900736328256354,0.13654308741367926
104,offset,rank_normalized_logistic,0.725,0.402069475240207,rank_normalized_logistic,2.0,1436,41,1,0.024390243902439025,33,2,0.9393939393939394,0.6455431754874652,0.4979108635097493,-6.963788300835654,1.0,-6.963788300835654,0.4979108635097493,0.8187641811427023,0.5630584314889356,2.821834311179191,0.8255694996822172,0.3444718910048401,0.3422321672112558,0.1383722086142395
104,offset,class_conditional_logistic,0.75,0.6814486326681449,class_conditional_logistic,2.0,1436,41,9,0.21951219512195122,33,2,0.9393939393939394,0.5132311977715878,0.5034818941504178,48.74651810584958,1.0,48.74651810584958,0.5034818941504178,0.8188814712495098,0.5619532358507575,2.7690555764965574,0.8100649449460946,0.32987644148642237,0.32704134871172025,0.13664445177679493
104,offset,logit_margin_difference,-0.3714969339966774,0.4693274205469327,logit_margin_difference,2.0,1436,41,37,0.9024390243902439,33,31,0.06060606060606055,0.9672701949860725,0.5027855153203342,41.78272980501393,1.0,41.78272980501393,0.5027855153203342,0.818099606762762,0.5628455910351918,2.847119125083186,0.8454897673297884,0.37194381960620193,0.3678007684608172,0.13947169683744365
104,stuck_at,rank_normalized_logistic,0.725,0.4200542005420054,rank_normalized_logistic,2.0,1436,41,1,0.024390243902439025,36,0,1.0,0.612116991643454,0.4853760445682451,6.963788300835654,1.0,6.963788300835654,0.4853760445682451,0.8136427261606528,0.5594477551880089,2.7060746413768144,0.8329781655484765,0.3472179789618976,0.3426549346357303,0.1393444218784967
