seed,fault_type,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
103,offset,Frozen Lite-CF (ungated),2.0,1436,42,0,0.0,3,0,1.0,0.6525069637883009,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8036820518205965,0.5506093663288959,3.470090183969446,0.9653625557689316,0.4509596291569091,0.4493079724011062,0.16359357787621248
103,offset,Prospective gate Lite-CF,1.0,1436,42,0,0.0,3,0,1.0,0.0,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7931424934604397,0.5368989239230508,3.858461086657976,0.9727784135520209,0.45394944242541346,0.45229778566961043,0.16463707549618506
103,offset,All-row multinomial (safety),2.0,1436,42,0,0.0,3,0,1.0,0.00766016713091922,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7934253720347666,0.5376844029406428,3.8560746468339033,0.9713331393285443,0.4549996396796449,0.45406964122891075,0.16408852022768355
103,offset,All-row multinomial (utility 1:1),2.0,1436,42,40,0.9523809523809523,3,2,0.33333333333333337,0.995125348189415,0.48746518105849584,264.6239554317549,1.0,264.6239554317549,0.48746518105849584,0.8021625981800553,0.550358577036384,3.3361268069964094,0.9109697698277913,0.4119038091538886,0.4118807476806869,0.15247576436887514
103,stuck_at,Always PDRF,1.0,1436,35,0,0.0,13,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7994549784898589,0.5449567487962206,3.058786132774741,0.8913021099071131,0.3972088937862211,0.3962749994696694,0.14722022895729928
103,stuck_at,Always RO-PDRF-Lite,1.0,1436,35,35,1.0,13,13,0.0,1.0,0.49164345403899723,153.2033426183844,1.0,153.2033426183844,0.49164345403899723,0.8091234557598685,0.556959246616198,2.65894292054566,0.8294905467864742,0.3632650532355653,0.3632650532355654,0.1335351564360047
103,stuck_at,Frozen Lite-CF (ungated),2.0,1436,35,0,0.0,13,0,1.0,0.46935933147632314,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8079595459658284,0.5536716622424747,2.8344173758064852,0.8842775616973916,0.39402771090503197,0.39309381658848,0.14603179557635124
103,stuck_at,Prospective gate Lite-CF,1.0,1436,35,0,0.0,13,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7994549784898589,0.5449567487962206,3.058786132774741,0.8913021099071131,0.3972088937862211,0.3962749994696694,0.14722022895729928
103,stuck_at,All-row multinomial (safety),2.0,1436,35,0,0.0,13,0,1.0,0.011142061281337047,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7999153115478915,0.5458040911387295,3.0563978247079056,0.8899807788705189,0.3990447735598117,0.39811087924325983,0.14689103904689224
103,stuck_at,All-row multinomial (utility 1:1),2.0,1436,35,32,0.9142857142857143,13,8,0.3846153846153846,0.9874651810584958,0.49303621169916434,167.13091922005572,1.0,167.13091922005572,0.49303621169916434,0.809593045015725,0.5575383759098147,2.656908760717951,0.8283374466648358,0.3616551700780679,0.3611533222491822,0.13438070563856944
104,drift,Always PDRF,1.0,1436,24,0,0.0,18,0,1.0,0.0,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8233769109971055,0.5712572898152133,2.754037633330888,0.8065739628401775,0.3435852151538661,0.3434274453050983,0.1355360263352657
104,drift,Always RO-PDRF-Lite,1.0,1436,24,24,1.0,18,18,0.0,1.0,0.5167130919220055,41.78272980501393,1.0,41.78272980501393,0.5167130919220055,0.8214508129285926,0.5738868422238015,2.6786140344502294,0.8095874938282757,0.34926311262315235,0.3486105690466599,0.13478265387670738
104,drift,Frozen Lite-CF (ungated),2.0,1436,24,0,0.0,18,0,1.0,0.5389972144846796,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8236080343150819,0.5757388075244793,2.680473813637705,0.8038095687223944,0.34085248353010045,0.34069471368133275,0.1344344350059989
104,drift,Prospective gate Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.5389972144846796,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8236080343150819,0.5757388075244793,2.680473813637705,0.8038095687223944,0.34085248353010045,0.34069471368133275,0.1344344350059989
104,drift,All-row multinomial (safety),2.0,1436,24,0,0.0,18,0,1.0,0.0,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8233769109971055,0.5712572898152133,2.754037633330888,0.8065739628401775,0.3435852151538661,0.3434274453050983,0.1355360263352657
