method,fault_type,batch,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
Frozen Lite-CF (ungated),drift,10,harm_opportunities,10,10.4,4.76525555302337,16.03474444697663,10.5,4.0,12.75,2.0,25.0
Frozen Lite-CF (ungated),drift,10,negative_transfer_prevention,10,0.9669090909090908,0.9110306136841453,1.0227875681340364,1.0,1.0,1.0,0.76,1.0
Frozen Lite-CF (ungated),drift,10,recovery_retention,10,0.10361018208844294,0.008049635381131834,0.19917072879575404,0.06623931623931624,0.0,0.1217391304347826,0.0,0.35
Frozen Lite-CF (ungated),drift,10,utility_per_10000,10,5.932203389830509,-8.931195895025635,20.795602674686652,4.237288135593221,0.0,8.474576271186441,-33.898305084745765,50.847457627118644
Frozen Lite-CF (ungated),gaussian,8,accuracy,10,0.589010989010989,0.5521021009979202,0.6259198770240578,0.5989010989010989,0.5521978021978022,0.6126373626373627,0.5054945054945055,0.6813186813186813
Frozen Lite-CF (ungated),gaussian,8,macro_auroc,10,0.8553761421429791,0.8351057120770365,0.8756465722089216,0.8557658504142789,0.8451251134201143,0.8695646585339047,0.8084885401659266,0.9009278589523696
Frozen Lite-CF (ungated),gaussian,8,correction_opportunities,10,4.8,2.4442650335958476,7.155734966404152,3.5,2.25,7.5,1.0,11.0
Frozen Lite-CF (ungated),gaussian,8,harm_opportunities,10,0.8,0.3475685674291802,1.25243143257082,1.0,0.25,1.0,0.0,2.0
Frozen Lite-CF (ungated),gaussian,8,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frozen Lite-CF (ungated),gaussian,8,recovery_retention,10,0.12159090909090908,-0.024634211922421323,0.2678160301042395,0.0,0.0,0.11647727272727273,0.0,0.5
Frozen Lite-CF (ungated),gaussian,8,utility_per_10000,10,65.93406593406594,-10.011036136743272,141.87916800487517,0.0,0.0,109.89010989010988,0.0,329.6703296703297
Frozen Lite-CF (ungated),gaussian,9,accuracy,10,0.5484848484848485,0.5264490367221781,0.5705206602475188,0.5484848484848486,0.5287878787878788,0.5727272727272728,0.503030303030303,0.5878787878787879
Frozen Lite-CF (ungated),gaussian,9,macro_auroc,10,0.8423329468952117,0.8304914472511342,0.8541744465392891,0.8408324228250617,0.8297214216509057,0.8447687118816586,0.8231632337590078,0.8739789188754686
Frozen Lite-CF (ungated),gaussian,9,correction_opportunities,10,5.4,3.577750066782511,7.22224993321749,5.5,3.5,7.5,1.0,9.0
Frozen Lite-CF (ungated),gaussian,9,harm_opportunities,10,1.8,0.9878607238927245,2.6121392761072757,2.0,1.0,2.0,0.0,4.0
Frozen Lite-CF (ungated),gaussian,9,negative_transfer_prevention,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frozen Lite-CF (ungated),gaussian,9,recovery_retention,10,0.12138888888888888,0.005688433531667175,0.23708934424611058,0.0625,0.0,0.19166666666666668,0.0,0.5
Frozen Lite-CF (ungated),gaussian,9,utility_per_10000,10,54.54545454545455,-1.2386812523412516,110.32959034325035,30.303030303030305,0.0,60.60606060606061,0.0,242.42424242424244
Frozen Lite-CF (ungated),gaussian,10,accuracy,10,0.4533050847457627,0.4434862871360757,0.4631238823554497,0.4525423728813559,0.4459745762711864,0.4639830508474576,0.4271186440677966,0.4728813559322034
Frozen Lite-CF (ungated),gaussian,10,macro_auroc,10,0.7782600340989365,0.7700612005319046,0.7864588676659684,0.7812210390675538,0.7712846035250596,0.7852093748999175,0.7575353778648917,0.7943311409876054
Frozen Lite-CF (ungated),gaussian,10,correction_opportunities,10,35.7,30.563026756749196,40.83697324325081,35.0,29.5,39.25,28.0,51.0
Frozen Lite-CF (ungated),gaussian,10,harm_opportunities,10,16.3,12.169196682459159,20.430803317540843,13.5,12.25,20.25,11.0,27.0
Frozen Lite-CF (ungated),gaussian,10,negative_transfer_prevention,10,0.8939538239538238,0.7987795736850022,0.9891280742226455,0.9444444444444444,0.8416666666666667,1.0,0.6363636363636364,1.0
Frozen Lite-CF (ungated),gaussian,10,recovery_retention,10,0.13397212543554007,0.03313780732888977,0.23480644354219038,0.10609243697478993,0.0,0.2547909407665505,0.0,0.3235294117647059
Frozen Lite-CF (ungated),gaussian,10,utility_per_10000,10,27.118644067796613,3.7613385626123303,50.475949572980895,21.186440677966104,0.0,57.20338983050848,-16.949152542372882,76.27118644067797
Frozen Lite-CF (ungated),offset,8,accuracy,10,0.4714285714285714,0.41128015104505866,0.5315769918120842,0.5,0.42032967032967034,0.5384615384615385,0.3076923076923077,0.5604395604395604
Frozen Lite-CF (ungated),offset,8,macro_auroc,10,0.9041141221600071,0.891482056407528,0.9167461879124862,0.9009929657288601,0.8945435685898537,0.9150827791434034,0.8752077261881183,0.9346623048770576
Frozen Lite-CF (ungated),offset,8,correction_opportunities,10,2.7,1.1528138561320294,4.247186143867971,2.0,2.0,2.75,0.0,7.0
Frozen Lite-CF (ungated),offset,8,harm_opportunities,10,1.0,-0.16817293576503278,2.168172935765033,0.0,0.0,1.75,0.0,5.0
Frozen Lite-CF (ungated),offset,8,negative_transfer_prevention,10,0.96,0.8695137134858361,1.050486286514164,1.0,1.0,1.0,0.6,1.0
Frozen Lite-CF (ungated),offset,8,recovery_retention,10,0.08333333333333333,-0.04544562818127114,0.2121122948479378,0.0,0.0,0.0,0.0,0.5
Frozen Lite-CF (ungated),offset,8,utility_per_10000,10,10.989010989010987,-67.18369227879951,89.1617142568215,0.0,0.0,0.0,-219.78021978021977,219.78021978021977
