replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
67,0.9355980184005661,0.12724117987275882,0.4276462395543176,0.00487093389726434,-0.0017894856078845
68,0.8970380818053596,0.1986078886310905,0.4397284122562674,0.006088306218956174,-0.0048314299546829975
69,0.8952254641909815,0.10469591993841416,0.4087743732590529,0.002464781483366041,-0.0011691963516875514
70,0.9052224371373307,0.1308139534883721,0.4977193593314763,0.00556272948849279,-0.000753835981547657
71,0.8840694006309149,0.2119700748129676,0.3430884401114206,0.004613653312268595,-0.004957288030892237
72,0.9122944400939702,0.10329985652797705,0.4418349582172702,0.003496051648529952,-0.00040503247531809006
73,0.9239736441966548,0.1521610420367081,0.36183844011142063,0.0042496113137405755,-0.001402903097973085
74,0.929421768707483,0.06567164179104477,0.3955431754874652,0.0028321345238175866,-0.0011179212756355916
75,0.9033063006862133,0.16747809152872445,0.47745473537604455,0.0067322691998157325,-0.0034904672718466534
76,0.9281221922731356,0.11293499671700591,0.3684366295264624,0.004070358428624354,-0.002428321573245018
77,0.9045936395759717,0.1523687580025608,0.48520194986072424,0.005495521496688527,-0.002191436884309006
78,0.9068193649141072,0.16483516483516483,0.4810062674094708,0.007649777999187091,-0.0029503908875181395
79,0.9045424621461488,0.11369019422074846,0.41673050139275764,0.006048108625630544,-0.0054181271079766224
80,0.8763878608438194,0.1845474613686534,0.49911211699164343,0.007116258881212145,-0.005148246942982326
81,0.9241071428571429,0.11534154535274356,0.46431058495821725,0.005971338221220535,-0.0017341655123235267
82,0.9238938053097345,0.10045402951191827,0.44771935933147633,0.004991041710253885,0.002950649533031924
83,0.8883928571428571,0.13967489464178207,0.41276114206128134,0.004952811857622863,-0.002752244166190354
84,0.8689043698543382,0.22801724137931034,0.46110724233983286,0.0071748487170703035,-0.005482471737073613
85,0.8963110667996012,0.15329883570504527,0.49303621169916434,0.005592151710222315,-0.0019256765335894377
86,0.9045412418906394,0.12253436939629408,0.4380048746518106,0.005237107534404761,-0.003017807252158722
87,0.9053117782909931,0.1726147123088128,0.5012012534818941,0.004596450099027871,0.0007563022041594536
88,0.9140526976160602,0.11457848160223567,0.362116991643454,0.004686291130404641,-0.0040428985182403565
89,0.8845130388504524,0.2276541408245166,0.44026810584958215,0.006480503245766878,-0.006181417285162971
90,0.8929273084479371,0.15225666122892875,0.480275069637883,0.0059562226204340485,-0.0047837133083281635
91,0.8835714285714286,0.1950836820083682,0.49122562674094705,0.005868292666473707,-0.003764890469087123
92,0.8596237337192475,0.22681954137587237,0.44721448467966574,0.006231707298739453,-0.004723106884689909
93,0.8830911492734478,0.23601895734597156,0.4084958217270195,0.005456527058214422,-0.006061204655396946
94,0.9100905562742562,0.09972489683631362,0.45226323119777156,0.0037112354150755644,0.0014780864339730693
95,0.9126050420168067,0.06571654790182106,0.4404073816155989,0.004199153051804405,-0.0001945128499987181
96,0.8833841463414634,0.16954787234042554,0.440233286908078,0.004144864144647098,-0.0023021438906083436
97,0.9069192751235585,0.1905790838375108,0.49268802228412256,0.006855783756094969,-0.007661138394703282
98,0.9202302631578947,0.1329073482428115,0.44961699164345403,0.0044847920839582445,-0.0024542065656637524
99,0.9117291414752116,0.08307453416149069,0.5540215877437326,0.005558470385166547,0.0011948418076376255
100,0.9018450184501845,0.14285714285714285,0.38596796657381616,0.004835565953955179,-9.495631334788257e-06
101,0.8848484848484849,0.1556372549019608,0.4176706128133705,0.004997198070701869,-0.0023170229360188754
102,0.9191321499013807,0.10540688148552703,0.4189066852367688,0.0051732554084718,-0.0027962529959418836
103,0.8808163265306123,0.17476923076923076,0.3987639275766017,0.003665187873625353,-0.0032695998758326406
104,0.9072988811933937,0.14628437682855472,0.4129352367688022,0.004667823376919178,0.0008633455141545676
