seed,fault_type,feature_regime,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
106,gaussian,uncalibrated_endpoints,0.725,0.7186234817813766,Conditional Lite-CF,2.0,1436,38,9,0.23684210526315788,13,0,1.0,0.7604456824512534,0.47284122562674097,62.674094707520894,1.0,62.674094707520894,0.47284122562674097,0.7965272546157025,0.517783508190839,3.286531665969424,0.8499218578192186,0.3751530237690065,0.3750744333397941,0.13507250728975997
106,offset,uncalibrated_endpoints,0.725,0.6636363636363637,Conditional Lite-CF,2.0,1436,22,0,0.0,10,0,1.0,0.7583565459610028,0.5076601671309192,0.0,1.0,0.0,0.5076601671309192,0.8363779101585767,0.600169966009458,2.5453254178715863,0.7853726765425803,0.34052452499926317,0.34052452499926306,0.12905889635099607
106,stuck_at,uncalibrated_endpoints,0.725,0.6758241758241758,Conditional Lite-CF,2.0,1436,21,0,0.0,26,0,1.0,0.6629526462395543,0.504874651810585,0.0,1.0,0.0,0.504874651810585,0.827424285393529,0.5948979538120057,2.3857399897197253,0.7657642507926347,0.3107915409415607,0.3107919308493219,0.12394962045230211
107,drift,temperature_scaled,0.575,0.51875,Conditional Lite-CF,2.0,1436,32,5,0.15625,10,0,1.0,0.8377437325905293,0.5118384401114207,34.81894150417827,1.0,34.81894150417827,0.5118384401114207,0.8433666613130124,0.6129177143432442,1.9915232718919893,0.7288152778154136,0.28379052070390964,0.2837905207039096,0.1176243956761215
107,gaussian,temperature_scaled,0.575,0.5420918367346939,Conditional Lite-CF,2.0,1436,56,16,0.2857142857142857,14,4,0.7142857142857143,0.8335654596100278,0.4658774373259053,83.56545961002786,1.0,83.56545961002786,0.4658774373259053,0.7905344284840207,0.5115404355579773,2.514311251257171,0.7998853461999458,0.3214638233042686,0.31832144367434156,0.11674811898544957
107,offset,temperature_scaled,0.575,0.6432748538011696,Conditional Lite-CF,2.0,1436,38,6,0.15789473684210525,18,0,1.0,0.8447075208913649,0.46935933147632314,41.78272980501393,1.0,41.78272980501393,0.46935933147632314,0.8335547025690989,0.5829811144662046,2.2127262836483093,0.7985195492916818,0.3299046528900389,0.329904652890039,0.12994002832163912
107,stuck_at,temperature_scaled,0.575,0.4883720930232558,Conditional Lite-CF,2.0,1436,86,15,0.1744186046511628,16,2,0.875,0.7576601671309192,0.4456824512534819,90.5292479108635,1.0,90.5292479108635,0.4456824512534819,0.8146810414167843,0.5686809595447668,2.036445562943724,0.7667344386902236,0.28909847778636383,0.2878749649184995,0.11830548094875475
107,drift,uncalibrated_endpoints,0.575,0.48124999999999996,Conditional Lite-CF,2.0,1436,32,2,0.0625,10,0,1.0,0.8231197771587744,0.5097493036211699,13.927576601671309,1.0,13.927576601671309,0.5097493036211699,0.8428556860806191,0.6121564028385145,1.9955782705474536,0.7310257168287415,0.28504902353762873,0.2850490235376287,0.11802834247798961
107,gaussian,uncalibrated_endpoints,0.575,0.5382653061224489,Conditional Lite-CF,2.0,1436,56,11,0.19642857142857142,14,3,0.7857142857142857,0.8168523676880223,0.46309192200557103,55.710306406685234,1.0,55.710306406685234,0.46309192200557103,0.7900405895978345,0.5106244555768159,2.523208718700293,0.8011433119761061,0.32302494117762665,0.32089022555497704,0.11660963224438996
107,offset,uncalibrated_endpoints,0.575,0.5877192982456141,Conditional Lite-CF,2.0,1436,38,2,0.05263157894736842,18,0,1.0,0.8286908077994429,0.46657381615598886,13.927576601671309,1.0,13.927576601671309,0.46657381615598886,0.8333184378846364,0.5826427467440857,2.216420664091078,0.8005122723690452,0.33170731453777996,0.33170731453778013,0.13062564959697823
