seed,fault_type,fault_scale,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
105,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5515320334261838,0.8528218306782857,0.6449491925516911,1.6229853880416192,0.6528442463955169,0.21774346532111688,0.21749731905191172,0.1050787882139073
105,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5571030640668524,0.8516053890260409,0.6436822563556314,1.606929085258408,0.6388558212810278,0.20674952904003546,0.20605622702476903,0.10017169999099383
105,offset,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5515320334261838,0.8540791640024065,0.6452305880556445,1.6098382458873501,0.6449867364455536,0.2202537076564966,0.22000756138729147,0.10142072256943115
105,drift,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5654596100278552,0.85526835338385,0.6462095977509748,1.5682197279934142,0.6287077905762033,0.21066987449384175,0.20750429861887904,0.09717657166949305
105,drift,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5745125348189415,0.8536866460801656,0.6430290950977455,1.5696135679963654,0.6201671244615135,0.19707150467307655,0.19506678815556855,0.09434806518655743
105,drift,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5654596100278552,0.8551180649907945,0.6433447238105044,1.567373300566021,0.6266265214712089,0.2134403287526878,0.21027475287772507,0.09509124946913788
105,stuck_at,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5055710306406686,0.8337148342005833,0.6020609520537216,1.5724426404987903,0.6647246547580998,0.1954244268209385,0.19542442682093852,0.09680303812236597
105,stuck_at,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5188022284122563,0.8354388725804255,0.606282792456528,1.5571949208331828,0.6489576000725746,0.1861903331977099,0.18622013176290744,0.09430577337130402
105,stuck_at,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5062674094707521,0.8369990504535202,0.607177161983306,1.5585830025535847,0.6571026703246292,0.20375307450854813,0.20378287307374568,0.0946305794140912
106,gaussian,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5341225626740947,0.8301098738754055,0.5888245820849068,2.575837320325735,0.7381085633523914,0.3055142118451126,0.3055142118451127,0.11368233043760989
106,gaussian,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5403899721448467,0.8336983849980527,0.5990398869993919,2.4058468960549186,0.7169930976580459,0.2928836812155607,0.292883708332306,0.11071099090239274
106,gaussian,1.0,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.5376044568245125,0.8332927208736732,0.5986660673631123,2.425462872049064,0.7162344906927438,0.29471908941227976,0.294719116529025,0.10878324958710339
106,offset,1.0,0.4,strict_fault_applied_available,PDRF,1436,0.5396935933147632,0.8486786380163159,0.6297174352254616,2.448237084406821,0.7457108883987297,0.3247168261802551,0.32471691501411026,0.12352291427428337
106,offset,1.0,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5459610027855153,0.8466708967304232,0.6321567145801202,2.327950760123112,0.7189491700606897,0.3003597904326898,0.3003597904326898,0.11503729245456096
