seed,repeat,auroc,auprc,brier,threshold,threshold_tie_count
108,8,0.6846804511278196,0.4576614092231449,0.22866934352647095,0.9,6
108,9,0.680451127819549,0.4181967551667837,0.23147550558341215,0.9,4
108,10,0.6611842105263158,0.398469252542692,0.23406131558792434,0.9,4
109,1,0.42384519350811484,0.8135721961073454,0.2568480196625329,0.9,9
109,2,0.40262172284644193,0.8139511047573882,0.24727036442861036,0.675,2
109,3,0.4606741573033708,0.8426518385020593,0.25087502741672324,0.625,1
109,4,0.4681647940074906,0.8589218514307833,0.24620517257586638,0.6,1
109,5,0.4993757802746567,0.8533393822812733,0.24864703076411923,0.65,1
109,6,0.46254681647940077,0.8479972064002665,0.2516905706857983,0.6,1
109,7,0.5149812734082396,0.8553599943076596,0.24357845165184527,0.65,1
109,8,0.5362047440699126,0.8634853354126244,0.2459036938918315,0.675,2
109,9,0.47253433208489387,0.8498964080345642,0.2469281783764692,0.6,1
109,10,0.5561797752808989,0.8759800111965524,0.2441254199675175,0.625,1
110,1,0.7307439104674127,0.8304105587924269,0.22855160357020637,0.6,1
110,2,0.728768926925609,0.8314345694726654,0.23104478533055905,0.575,1
110,3,0.6965108624094799,0.8129662014325045,0.2348524575361969,0.6,1
110,4,0.7254772876892692,0.8347881503126962,0.23394932295939536,0.575,1
110,5,0.695852534562212,0.8087657286206154,0.23391654380829338,0.6,1
110,6,0.6517445687952601,0.7809817527535214,0.23894173475344874,0.6,1
110,7,0.7287689269256089,0.8377424879757311,0.2283892074547723,0.6,1
110,8,0.7439104674127716,0.834416120550556,0.22896745728579182,0.6,1
110,9,0.6892692560895325,0.7963835564108106,0.2363661497503518,0.65,2
110,10,0.7050691244239632,0.8244467454419899,0.23334711662949906,0.6,1
