analysis_set,seed,fault_type,prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
strict,101,gaussian,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,63,7,0.1111111111111111,33,3,0.9090909090909091,0.056406685236768804,0.479108635097493,27.855153203342617,0.479108635097493,0.7992048954793199,0.496652242696393,2.80855099957455,0.830304379729689,0.35321555382802133,0.35321555382802133,0.12546343260819226
strict,101,gaussian,0.4,strict_fault_applied_available,Cascade-25,2.905292479108635,1436,63,6,0.09523809523809523,33,4,0.8787878787878788,0.5835654596100278,0.4777158774373259,13.927576601671309,0.4777158774373259,0.8024863476154668,0.4977327277795276,2.493406877361111,0.8146019989210452,0.34033317476447367,0.3403331747644737,0.12260681341474818
strict,101,gaussian,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,63,0,0.0,33,0,1.0,0.0,0.4763231197771588,0.0,0.4763231197771588,0.7984956214816034,0.49619426471846734,2.839227025997693,0.829637482367375,0.35051705154478335,0.3505170515447834,0.1258970507597408
strict,101,gaussian,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,63,63,1.0,33,33,0.0,1.0,0.4972144846796657,208.91364902506965,0.4972144846796657,0.8061530445153218,0.5056795238367157,2.3466058362245756,0.783365647654373,0.3075610637181106,0.30730356892452554,0.11341126362775311
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,21,1,0.047619047619047616,30,2,0.9333333333333333,0.2827298050139276,0.4832869080779944,-6.963788300835654,0.4832869080779944,0.8333441942355938,0.5675910196237465,2.5817621787475598,0.8227700586796841,0.34889729619883186,0.3484169615136024,0.13498960887106484
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,21,0,0.0,30,1,0.9666666666666667,0.6880222841225627,0.4832869080779944,-6.963788300835654,0.4832869080779944,0.8324550995754199,0.562149131425553,2.499355359135462,0.8110672937181601,0.33809476917943976,0.3376144344942102,0.13267138129828468
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,2.0,1436,21,0,0.0,30,4,0.8666666666666667,0.7973537604456824,0.48119777158774374,-27.855153203342617,0.48119777158774374,0.8310193940764701,0.5608930217841884,2.495263384053724,0.8166052645064088,0.3444479588200716,0.3439676241348421,0.13277167789706454
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,21,0,0.0,30,1,0.9666666666666667,0.04526462395543175,0.4832869080779944,-6.963788300835654,0.4832869080779944,0.8342504521372508,0.5804346054460584,2.631131763582696,0.8232327052044514,0.3540795158264518,0.35359918114122235,0.1356422047323599
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,2.883008356545961,1436,21,0,0.0,30,2,0.9333333333333333,0.5717270194986073,0.48259052924791085,-13.927576601671309,0.48259052924791085,0.8326825055091981,0.5636605222586463,2.5304183822682442,0.8182233528336199,0.34518864788186177,0.34470831319663225,0.13392822001715712
strict,101,offset,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,21,0,0.0,30,0,1.0,0.0,0.483983286908078,0.0,0.483983286908078,0.834118215600911,0.580202061564724,2.6477536397367873,0.821554799283692,0.3516998856750623,0.3512195509898328,0.13568290858865925
strict,101,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,21,21,1.0,30,30,0.0,1.0,0.4777158774373259,-62.674094707520894,0.4777158774373259,0.8283894323623935,0.5554569729121845,2.493638302545514,0.8160907609395155,0.3375413395596741,0.33754133955967414,0.13198222810927945
strict,101,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,31,1,0.03225806451612903,21,0,1.0,0.2966573816155989,0.47493036211699163,6.963788300835654,0.47493036211699163,0.8263460923560224,0.5723836377843438,2.524276557641135,0.8278374682525027,0.3449446604704927,0.3449446604704927,0.13854167819117216
strict,101,stuck_at,0.4,strict_fault_applied_available,Shrink-6,2.0,1436,31,0,0.0,21,0,1.0,0.6824512534818942,0.4742339832869081,0.0,0.4742339832869081,0.8257961092493783,0.5671439733422288,2.434973537106678,0.8151659384995992,0.33470136938669326,0.3347013693866932,0.13654099387577784
strict,101,stuck_at,0.4,strict_fault_applied_available,Tree-6,2.0,1436,31,1,0.03225806451612903,21,2,0.9047619047619048,0.7862116991643454,0.4735376044568245,-6.963788300835654,0.4735376044568245,0.8245088765697655,0.565656272633592,2.4355386988340193,0.8159606589279322,0.3363212921145354,0.3363212921145354,0.13553937494470034
strict,101,stuck_at,0.4,strict_fault_applied_available,Three-outcome-6,2.0,1436,31,0,0.0,21,0,1.0,0.06197771587743733,0.4742339832869081,0.0,0.4742339832869081,0.8258288286745282,0.5822557686503979,2.6097422241303545,0.8323566850831697,0.34969721590969954,0.34969721590969954,0.1393216936957723
strict,101,stuck_at,0.4,strict_fault_applied_available,Cascade-25,3.064066852367688,1436,31,0,0.0,21,0,1.0,0.5194986072423399,0.4742339832869081,0.0,0.4742339832869081,0.8246974018454635,0.5681501624184381,2.4932194074370684,0.8236303165535767,0.3416256247143739,0.3416256247143739,0.13776936769339757
strict,101,stuck_at,0.4,strict_fault_applied_available,Always PDRF,1.0,1436,31,0,0.0,21,0,1.0,0.0,0.4742339832869081,0.0,0.4742339832869081,0.8254305560440872,0.5841217020011291,2.6300950127475993,0.8290771882188495,0.348584335626106,0.3485843356261059,0.1383860614734377
strict,101,stuck_at,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1.0,1436,31,31,1.0,21,21,0.0,1.0,0.48119777158774374,69.63788300835654,0.48119777158774374,0.8220401733199787,0.5625016722268888,2.427603490535185,0.8112979709927292,0.3246443314595781,0.3206231454620771,0.1348689124889796
strict,102,drift,0.4,strict_fault_applied_available,Safe-CF-12,6.0,1436,7,1,0.14285714285714285,7,0,1.0,0.5591922005571031,0.5376044568245125,6.963788300835654,0.5376044568245125,0.8369606713513614,0.6045434858335194,2.0746540258932384,0.7596521879340229,0.3107297850984668,0.3047597814562346,0.12407376002220243
