seed,fault_type,stream,fault_prevalence,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_retained_per_10000,harms_realized_per_10000,net_utility_per_10000
107,drift,full_mixed_stream,0.4,1.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_stream,0.4,1.0,2.0,11.45737855178735,0.0,9.45737855178735
107,drift,full_mixed_stream,0.4,2.0,0.0,11.45737855178735,0.0,11.45737855178735
107,drift,full_mixed_stream,0.4,2.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_stream,0.4,2.0,2.0,11.45737855178735,0.0,9.45737855178735
107,drift,full_mixed_stream,0.4,5.0,0.0,11.45737855178735,0.0,11.45737855178735
107,drift,full_mixed_stream,0.4,5.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_stream,0.4,5.0,2.0,11.45737855178735,0.0,9.45737855178735
107,drift,full_mixed_70pct,0.7,1.0,0.0,11.45737855178735,0.0,11.45737855178735
107,drift,full_mixed_70pct,0.7,1.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_70pct,0.7,1.0,2.0,11.45737855178735,0.0,9.45737855178735
107,drift,full_mixed_70pct,0.7,2.0,0.0,11.45737855178735,0.0,11.45737855178735
107,drift,full_mixed_70pct,0.7,2.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_70pct,0.7,2.0,2.0,11.45737855178735,0.0,9.45737855178735
107,drift,full_mixed_70pct,0.7,5.0,0.0,11.45737855178735,0.0,11.45737855178735
107,drift,full_mixed_70pct,0.7,5.0,0.5,11.45737855178735,0.0,10.95737855178735
107,drift,full_mixed_70pct,0.7,5.0,2.0,11.45737855178735,0.0,9.45737855178735
107,stuck_at,full_mixed_10pct,0.1,1.0,0.0,6.8744271310724105,0.0,6.8744271310724105
107,stuck_at,full_mixed_10pct,0.1,1.0,0.5,6.8744271310724105,0.0,6.3744271310724105
107,stuck_at,full_mixed_10pct,0.1,1.0,2.0,6.8744271310724105,0.0,4.8744271310724105
107,stuck_at,full_mixed_10pct,0.1,2.0,0.0,6.8744271310724105,0.0,6.8744271310724105
107,stuck_at,full_mixed_10pct,0.1,2.0,0.5,6.8744271310724105,0.0,6.3744271310724105
107,stuck_at,full_mixed_10pct,0.1,2.0,2.0,6.8744271310724105,0.0,4.8744271310724105
107,stuck_at,full_mixed_10pct,0.1,5.0,0.0,6.8744271310724105,0.0,6.8744271310724105
107,stuck_at,full_mixed_10pct,0.1,5.0,0.5,6.8744271310724105,0.0,6.3744271310724105
107,stuck_at,full_mixed_10pct,0.1,5.0,2.0,6.8744271310724105,0.0,4.8744271310724105
107,stuck_at,full_mixed_stream,0.4,1.0,0.0,34.37213565536205,4.582951420714941,29.78918423464711
107,stuck_at,full_mixed_stream,0.4,1.0,0.5,34.37213565536205,4.582951420714941,29.28918423464711
107,stuck_at,full_mixed_stream,0.4,1.0,2.0,34.37213565536205,4.582951420714941,27.78918423464711
107,stuck_at,full_mixed_stream,0.4,2.0,0.0,34.37213565536205,4.582951420714941,25.206232813932168
107,stuck_at,full_mixed_stream,0.4,2.0,0.5,34.37213565536205,4.582951420714941,24.706232813932168
107,stuck_at,full_mixed_stream,0.4,2.0,2.0,34.37213565536205,4.582951420714941,23.206232813932168
107,stuck_at,full_mixed_stream,0.4,5.0,0.0,34.37213565536205,4.582951420714941,11.457378551787347
107,stuck_at,full_mixed_stream,0.4,5.0,0.5,34.37213565536205,4.582951420714941,10.957378551787347
107,stuck_at,full_mixed_stream,0.4,5.0,2.0,34.37213565536205,4.582951420714941,9.457378551787347
107,stuck_at,full_mixed_70pct,0.7,1.0,0.0,52.70394133822182,4.582951420714941,48.120989917506876
107,stuck_at,full_mixed_70pct,0.7,1.0,0.5,52.70394133822182,4.582951420714941,47.620989917506876
107,stuck_at,full_mixed_70pct,0.7,1.0,2.0,52.70394133822182,4.582951420714941,46.120989917506876
107,stuck_at,full_mixed_70pct,0.7,2.0,0.0,52.70394133822182,4.582951420714941,43.538038496791934
