analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8521335389756441,0.744081472612777,0.5864661654135338
strict,106,offset,0.4,strict_fault_applied_available,Cascade-25,6,237,0.8094790665920617,0.4063556780402067,0.8016877637130801
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,1,230,0.7831711010166558,0.5647348251386411,0.5478260869565217
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,2,220,0.8905764055023924,0.6950971017782189,0.4863636363636364
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,3,230,0.9124630470834235,0.8145159516151529,0.5260869565217391
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,4,253,0.7746668047671393,0.357375007598957,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,5,266,0.8458228905597327,0.7326030834144708,0.5864661654135338
strict,106,offset,0.4,strict_fault_applied_available,Always PDRF,6,237,0.8111576806269641,0.40624355054334427,0.810126582278481
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,1,230,0.758050328069796,0.5502385333576545,0.5565217391304348
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,2,220,0.8903035287081341,0.7054630634145673,0.5181818181818182
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,3,230,0.9141935251279832,0.8152640349359191,0.5304347826086957
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,4,253,0.7902665895976934,0.3740342048136644,0.1067193675889328
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,5,266,0.8518989782147678,0.7404950241431233,0.6052631578947368
strict,106,offset,0.4,strict_fault_applied_available,Always RO-PDRF-Full,6,237,0.8029792759789275,0.401001020169797,0.7552742616033755
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,1,230,0.7945327709279689,0.6236396544614522,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,2,220,0.8881242523923446,0.7116620096308747,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,3,230,0.9197743168216886,0.8258868330088982,0.5695652173913044
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,4,253,0.7721175145924309,0.34816983192695955,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,5,266,0.8395540132382239,0.7390155550408546,0.5789473684210527
strict,106,stuck_at,0.4,strict_fault_applied_available,Safe-CF-12,6,237,0.753398577576954,0.3088774455401179,0.6118143459915611
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,1,230,0.785552310909222,0.6249108071954349,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,2,220,0.8903483851674642,0.7238306544882604,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,3,230,0.9213930348258706,0.8301456033478957,0.5695652173913044
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,4,253,0.7777072425901858,0.35690774813540643,0.11857707509881422
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,5,266,0.8438082385450806,0.7442344451863434,0.575187969924812
strict,106,stuck_at,0.4,strict_fault_applied_available,Shrink-6,6,237,0.7553147313337768,0.32271298551694655,0.6118143459915611
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,1,230,0.7864860480207657,0.6248179687640819,0.6521739130434783
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,2,220,0.8899185107655504,0.7223104988961148,0.5227272727272727
strict,106,stuck_at,0.4,strict_fault_applied_available,Tree-6,3,230,0.9210000721032519,0.8295905871610127,0.5695652173913044
