seed,fault_type,batch,n,full_minus_pdrf_auroc,safe_minus_pdrf_auroc,safe_minus_full_auroc
108,drift,9,165,0.005234975727242408,0.00371426958817922,-0.0015207061390631882
108,drift,10,1180,0.015562675779589807,0.008774316265891091,-0.006788359513698716
108,gaussian,8,91,0.006053007280489964,0.008703196745405428,0.0026501894649154645
108,gaussian,9,165,0.017190028547454883,0.005152032687927854,-0.012037995859527029
108,gaussian,10,1180,0.019324308985416705,0.011135791178350396,-0.008188517807066309
108,offset,8,91,0.0061446223511048,0.011386764101183111,0.005242141750078311
108,offset,9,165,0.023168101335255042,0.009596794369057138,-0.013571306966197905
108,offset,10,1180,0.014440897110704287,0.009935992518899428,-0.004504904591804859
108,stuck_at,8,91,-0.004622164136051099,0.002600542166287245,0.007222706302338344
108,stuck_at,9,165,0.026530411663194697,0.013021588106578608,-0.01350882355661609
108,stuck_at,10,1180,0.020069870300919224,0.01223300022853624,-0.007836870072382984
109,drift,8,91,-0.0012762552511785819,0.0,0.0012762552511785819
109,drift,9,165,0.005740455337976513,0.0,-0.005740455337976513
109,drift,10,1180,0.005872846129849396,5.93603247756036e-06,-0.005866910097371836
109,gaussian,8,91,0.016432672154961026,3.8431277593620194e-05,-0.016394240877367405
109,gaussian,9,165,0.024716022455604447,0.0027723587341839107,-0.021943663721420537
109,gaussian,10,1180,0.012847917132740694,0.0012277350382767782,-0.011620182094463916
109,offset,8,91,-0.000611269038640061,0.0008965490958288136,0.0015078181344688746
109,offset,9,165,0.013482434116873221,0.0015542501891555593,-0.011928183927717662
109,offset,10,1180,0.006733859193593261,5.432164449892252e-05,-0.006679537549094339
109,stuck_at,8,91,-0.004952252881505803,0.0,0.004952252881505803
109,stuck_at,9,165,0.008782461786948192,-9.702362454699909e-05,-0.008879485411495192
109,stuck_at,10,1180,0.007601959647069556,0.0009339603676312702,-0.006667999279438286
110,drift,8,91,0.0029540435702900547,-0.002137834450759546,-0.005091878021049601
