calibration_regime,heldout_or_test_mechanism,seed,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
gaussian_only,offset,102,All-row multinomial,2.0,1436,10,1,0.1,3,0,1.0,0.2639275766016713,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8259801447225019,0.585647660010551,2.38576911629008,0.8016462743439066,0.3409358339444954,0.3409358339444954,0.13313491998518526
gaussian_only,drift,102,All-row multinomial,2.0,1436,5,2,0.4,6,0,1.0,0.2395543175487465,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8359725343798385,0.6054193875730165,2.2323099698925137,0.7577281313432356,0.3159141148920345,0.3105736641070702,0.12467032463998173
gaussian_only,stuck_at,102,All-row multinomial,2.0,1436,16,4,0.25,2,0,1.0,0.3530640668523677,0.5167130919220055,27.855153203342617,1.0,27.855153203342617,0.5167130919220055,0.825711569690732,0.5875971903824604,2.0126606093731816,0.7197420513466327,0.2694172499629125,0.26575952597616465,0.11029683476007877
leave_one_mechanism_out,gaussian,103,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.47284122562674097,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7743315270152351,0.48114918143132823,3.8717741406463064,0.912904192885653,0.41563593694135137,0.4154893017752732,0.14551385352159832
leave_one_mechanism_out,gaussian,103,All-row multinomial,2.0,1436,49,3,0.061224489795918366,15,0,1.0,0.016016713091922007,0.4491643454038997,20.891364902506965,1.0,20.891364902506965,0.4491643454038997,0.7700241826807522,0.4750738833718589,4.153960297819004,0.913049014996134,0.4152222088322778,0.41507557366619974,0.1454425575458099
leave_one_mechanism_out,offset,103,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.8447075208913649,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8035200782294513,0.5518926659064837,3.3935243608369023,0.9436046476785411,0.4449960650741024,0.4433444083182996,0.15896846471937073
leave_one_mechanism_out,offset,103,All-row multinomial,2.0,1436,42,12,0.2857142857142857,3,0,1.0,0.05083565459610028,0.46935933147632314,83.56545961002786,1.0,83.56545961002786,0.46935933147632314,0.7934239348812601,0.5383263222903053,3.842265788275002,0.962147264296457,0.44848176143628093,0.44755176298554683,0.1619147689438578
leave_one_mechanism_out,drift,103,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.6733983286908078,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8121318093975951,0.5689704252503175,3.190982553004783,0.8975983303183579,0.4100747940389696,0.40894741805789736,0.15094119114713667
leave_one_mechanism_out,drift,103,All-row multinomial,2.0,1436,28,0,0.0,5,0,1.0,0.0,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
leave_one_mechanism_out,stuck_at,103,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7994549784898589,0.5449567487962206,3.058786132774741,0.8913021099071131,0.3972088937862211,0.3962749994696694,0.14722022895729928
leave_one_mechanism_out,stuck_at,103,All-row multinomial,2.0,1436,35,0,0.0,13,0,1.0,0.017409470752089137,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7999229171981476,0.5457995316745046,3.0549686487741745,0.8892737590025319,0.39849171414404855,0.39798986631516264,0.1467243631029355
gaussian_only,gaussian,103,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.0,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.7694249613154086,0.4738324174880839,4.163939058459799,0.9145673794401421,0.4161377317134759,0.41599109654739785,0.14568111844563988
gaussian_only,offset,103,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.0,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7931424934604397,0.5368989239230508,3.858461086657976,0.9727784135520209,0.45394944242541346,0.45229778566961043,0.16463707549618506
gaussian_only,drift,103,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.0,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8061840355917056,0.5571826361375264,3.462134174382716,0.9047666418294835,0.41281783459897126,0.41169045861789916,0.15198531875518775
gaussian_only,stuck_at,103,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7994549784898589,0.5449567487962206,3.058786132774741,0.8913021099071131,0.3972088937862211,0.3962749994696694,0.14722022895729928
gaussian_only,gaussian,103,All-row multinomial,2.0,1436,49,4,0.08163265306122448,15,1,0.9333333333333333,0.020891364902506964,0.4491643454038997,20.891364902506965,1.0,20.891364902506965,0.4491643454038997,0.7700024960528652,0.4749900654764618,4.156263357959534,0.9128192980292887,0.4163885021744609,0.41624186700838295,0.14558665049751704
gaussian_only,offset,103,All-row multinomial,2.0,1436,42,0,0.0,3,0,1.0,0.011142061281337047,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7933134643535174,0.5374563436027824,3.856221485915173,0.9716191531528015,0.4553389145367842,0.45440891608605005,0.163958863314073
gaussian_only,drift,103,All-row multinomial,2.0,1436,28,2,0.07142857142857142,5,0,1.0,0.020891364902506964,0.49651810584958217,13.927576601671309,1.0,13.927576601671309,0.49651810584958217,0.806639081843934,0.5579903636037503,3.457005460059829,0.901837282795487,0.41385509356651207,0.41335981592131027,0.1509391488145108
gaussian_only,stuck_at,103,All-row multinomial,2.0,1436,35,4,0.11428571428571428,13,0,1.0,0.027158774373259052,0.479108635097493,27.855153203342617,1.0,27.855153203342617,0.479108635097493,0.8001325305245812,0.5461539033151632,3.052263680287035,0.887128424614673,0.3983833763405806,0.39744948202402874,0.14573210967982647
leave_one_mechanism_out,gaussian,104,Conditional Lite-CF,2.0,1436,43,0,0.0,17,0,1.0,0.4658774373259053,0.46518105849582175,0.0,1.0,0.0,0.46518105849582175,0.7803985463873636,0.4710782238622078,3.4093235700265785,0.9016097133359394,0.4018438583988832,0.40184385839888326,0.14120019432972536
leave_one_mechanism_out,gaussian,104,All-row multinomial,2.0,1436,43,3,0.06976744186046512,17,4,0.7647058823529411,0.04387186629526462,0.46448467966573814,-6.963788300835654,1.0,-6.963788300835654,0.46448467966573814,0.7729225862088893,0.4586162690941383,3.731555455324731,0.9057922117903399,0.4058657596749936,0.40586575967499366,0.14128130393703306
leave_one_mechanism_out,offset,104,Conditional Lite-CF,2.0,1436,41,0,0.0,33,0,1.0,0.0,0.4986072423398329,0.0,1.0,0.0,0.4986072423398329,0.819680864599103,0.5613925739899178,2.9016387384741376,0.8312201269853026,0.3485311742773646,0.3462914504837802,0.14168826381918528
leave_one_mechanism_out,offset,104,All-row multinomial,2.0,1436,41,0,0.0,33,0,1.0,0.0,0.4986072423398329,0.0,1.0,0.0,0.4986072423398329,0.819680864599103,0.5613925739899178,2.9016387384741376,0.8312201269853026,0.3485311742773646,0.3462914504837802,0.14168826381918528
