method,seed,view,metric,value
Always PDRF,105,B8-9_pooled,utility_per_10000,0.0
Always PDRF,105,B10,utility_per_10000,0.0
Always PDRF,106,observation_weighted_overall,accuracy,0.5005222841225627
Always PDRF,106,equal_weight_batches,accuracy,0.53942001971663
Always PDRF,106,worst_batch,accuracy,0.48792372881355933
Always PDRF,106,B8-9_pooled,accuracy,0.55859375
Always PDRF,106,B10,accuracy,0.4879237288135594
Always PDRF,106,observation_weighted_overall,macro_auroc,0.8243728001352415
Always PDRF,106,equal_weight_batches,macro_auroc,0.8520077530074969
Always PDRF,106,worst_batch,macro_auroc,0.8145413522484061
Always PDRF,106,B8-9_pooled,macro_auroc,0.8592320687244273
Always PDRF,106,B10,macro_auroc,0.814541352248406
Always PDRF,106,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,106,equal_weight_batches,utility_per_10000,0.0
Always PDRF,106,worst_batch,utility_per_10000,0.0
Always PDRF,106,B8-9_pooled,utility_per_10000,0.0
Always PDRF,106,B10,utility_per_10000,0.0
Always PDRF,107,observation_weighted_overall,accuracy,0.46692200557103064
Always PDRF,107,equal_weight_batches,accuracy,0.4573419047995319
Always PDRF,107,worst_batch,accuracy,0.4148351648351648
Always PDRF,107,B8-9_pooled,accuracy,0.462890625
Always PDRF,107,B10,accuracy,0.4677966101694915
Always PDRF,107,observation_weighted_overall,macro_auroc,0.8121051037923077
Always PDRF,107,equal_weight_batches,macro_auroc,0.8409672379936296
Always PDRF,107,worst_batch,macro_auroc,0.8019091721480662
Always PDRF,107,B8-9_pooled,macro_auroc,0.8515892758631327
Always PDRF,107,B10,macro_auroc,0.8019091721480662
Always PDRF,107,observation_weighted_overall,utility_per_10000,0.0
Always PDRF,107,equal_weight_batches,utility_per_10000,0.0
Always PDRF,107,worst_batch,utility_per_10000,0.0
Always PDRF,107,B8-9_pooled,utility_per_10000,0.0
Always PDRF,107,B10,utility_per_10000,0.0
Always PDRF,108,observation_weighted_overall,accuracy,0.4808495821727019
Always PDRF,108,equal_weight_batches,accuracy,0.525231830316576
Always PDRF,108,worst_batch,accuracy,0.46440677966101696
Always PDRF,108,B8-9_pooled,accuracy,0.556640625
Always PDRF,108,B10,accuracy,0.46440677966101696
Always PDRF,108,observation_weighted_overall,macro_auroc,0.8045955631593164
Always PDRF,108,equal_weight_batches,macro_auroc,0.8611806117515722
Always PDRF,108,worst_batch,macro_auroc,0.7912646978035964
Always PDRF,108,B8-9_pooled,macro_auroc,0.8853822128687304
Always PDRF,108,B10,macro_auroc,0.7912646978035964
