seed,repeat,C,auroc,auprc,brier,threshold,threshold_tie_count
107,2,5.0,0.8223905723905723,0.9568203358459763,0.18590353834630127,0.525,1
107,3,5.0,0.8476430976430978,0.9627699024365105,0.17648364989177784,0.575,2
107,4,5.0,0.7870370370370371,0.9470756147395312,0.202368010725808,0.625,1
107,5,5.0,0.8493265993265993,0.9636707165103459,0.17594400673500057,0.575,2
108,1,0.01,0.6249999999999999,0.371222693281029,0.24005773293858793,0.9,10
108,2,0.01,0.5996240601503758,0.4184822100010336,0.2426057025652614,0.9,12
108,3,0.01,0.5977443609022557,0.3852954741136945,0.24123618260361196,0.9,13
108,4,0.01,0.6047932330827067,0.4116165934069236,0.24198738237957695,0.9,10
108,5,0.01,0.5977443609022557,0.37051600876596746,0.24196902887528687,0.9,10
108,1,0.05,0.6409774436090226,0.4054624786962383,0.232353891279434,0.9,4
108,2,0.05,0.7034774436090225,0.4910868975030506,0.22563095197345928,0.725,1
108,3,0.05,0.625,0.4168378448166237,0.23179545240492533,0.9,6
108,4,0.05,0.6757518796992482,0.4307290460823273,0.22732752452301577,0.9,6
