seed,fraction,repeat,calibration_groups,calibration_rows,informative_rows,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
105,0.75,5,514,1379,145,0.75,5744,205,1,0.004878048780487805,533,4,0.9924953095684803,0.004178272980501393,0.487116991643454,-5.222841225626741,0.487116991643454,0.8169567627231059,0.565291583826326,1.9833811557896361,0.7406734273421939,0.2634144346124335,0.2632409191429203,0.11100778098308783
105,0.75,6,514,1420,152,0.9,5744,205,0,0.0,533,0,1.0,0.00017409470752089137,0.48763927576601673,0.0,0.48763927576601673,0.8169468142443245,0.564152530287186,1.9907331938559993,0.7414315377507906,0.2645254534193361,0.2643519379498229,0.11120280638220542
105,0.75,7,514,1406,143,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.75,8,514,1382,143,0.725,5744,205,1,0.004878048780487805,533,4,0.9924953095684803,0.004700557103064067,0.487116991643454,-5.222841225626741,0.487116991643454,0.8169951523368426,0.5653920742270014,1.9832060084445902,0.7405925747668748,0.26324979313587804,0.26307627766636477,0.11104316878415012
105,0.75,9,514,1401,151,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,0.75,10,514,1415,146,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,1,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,2,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,3,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,4,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,5,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,6,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,7,685,1866,194,0.725,5744,205,1,0.004878048780487805,533,6,0.9887429643527205,0.005571030640668524,0.48676880222841223,-8.704735376044567,0.48676880222841223,0.816978751378678,0.5654823152075713,1.9829510537849506,0.7403461957971311,0.2632195203178775,0.2630460048483643,0.11093680531617404
105,1.0,8,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,9,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
105,1.0,10,685,1866,194,0.9,5744,205,0,0.0,533,0,1.0,0.0,0.48763927576601673,0.0,0.48763927576601673,0.8167898064630963,0.5639064181080168,1.994920063143211,0.7415484461898417,0.26461874266906094,0.26444522719954777,0.1112104030975735
106,0.25,1,173,485,22,0.5,5744,86,49,0.5697674418604651,67,15,0.7761194029850746,0.8950208913649025,0.5064415041782729,59.192200557103064,0.5064415041782729,0.8239814207953136,0.5743634450048413,2.464541286808423,0.7737086310704998,0.3227691210416547,0.3227494734343516,0.12092023874322962
106,0.25,3,173,464,21,0.55,5744,86,44,0.5116279069767442,67,17,0.7462686567164178,0.8816155988857939,0.5052228412256268,47.00557103064067,0.5052228412256268,0.8238489145984599,0.5739853778990217,2.4648501218185537,0.7735304380627948,0.32258931171891797,0.32256966411161486,0.12075925864923814
106,0.25,4,173,456,23,0.55,5744,86,39,0.45348837209302323,67,15,0.7761194029850746,0.8762186629526463,0.504700557103064,41.78272980501393,0.504700557103064,0.8235862899930643,0.5736647087705536,2.469872423424719,0.7741741099908592,0.3220937140668602,0.3220740664595572,0.12088230932807635
