method,calibration_severity,test_severity,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial,2.0,3.0,recovery_retention,40,0.0957843377625579,0.061959669870131406,0.1296090056549844,0.051417270929466054,0.0,0.17544642857142856,0.0,0.38095238095238093
All-row multinomial,2.0,3.0,utility_per_10000,40,8.008356545961004,1.1383324076174004,14.878380684304606,0.0,0.0,13.927576601671309,-34.81894150417827,69.63788300835654
All-row multinomial,2.0,3.0,macro_auroc,40,0.8116005921421356,0.8049958634721405,0.8182053208121308,0.8113372037527526,0.7982497266819955,0.828296519437962,0.7684004408664628,0.8424162782336375
All-row multinomial,3.0,1.0,negative_transfer_prevention,40,0.9699994081851319,0.9493018037617925,0.9906970126084712,1.0,0.9580952380952381,1.0,0.6956521739130435,1.0
All-row multinomial,3.0,1.0,recovery_retention,40,0.0486218830176107,0.017866159374420616,0.07937760666080079,0.0,0.0,0.07796257796257797,0.0,0.5
All-row multinomial,3.0,1.0,utility_per_10000,40,4.7005571030640665,-1.080467373951672,10.481581580079805,0.0,0.0,1.7409470752089136,-41.78272980501393,69.63788300835654
All-row multinomial,3.0,1.0,macro_auroc,40,0.8345734418081268,0.8305266237746396,0.8386202598416139,0.8340869984694574,0.8252354129933639,0.8454437291412165,0.8100011429405809,0.85526835338385
All-row multinomial,3.0,2.0,negative_transfer_prevention,40,0.9659838721911342,0.9438554357668114,0.9881123086154571,1.0,0.9852941176470589,1.0,0.7142857142857143,1.0
All-row multinomial,3.0,2.0,recovery_retention,40,0.05902241731604051,0.03170843588581018,0.08633639874627083,0.020303527481542245,0.0,0.09546703296703296,0.0,0.3125
All-row multinomial,3.0,2.0,utility_per_10000,40,8.530640668523677,2.8360621430027617,14.225219194044593,0.0,0.0,13.927576601671309,-41.78272980501393,62.674094707520894
All-row multinomial,3.0,2.0,macro_auroc,40,0.8223923626977336,0.8171930543390253,0.8275916710564419,0.8212926658089215,0.8103507620109625,0.8351318639287749,0.7897507688690854,0.8499014148397368
All-row multinomial,3.0,3.0,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
All-row multinomial,3.0,3.0,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
All-row multinomial,3.0,3.0,utility_per_10000,40,9.575208913649025,4.719659615707706,14.430758211590344,0.0,0.0,20.891364902506965,-6.963788300835654,62.674094707520894
All-row multinomial,3.0,3.0,macro_auroc,40,0.8117898260358786,0.8050932253642556,0.8184864267075015,0.8113277329331796,0.798568484345678,0.8271036112559754,0.7692645718394697,0.8441991225697406
Conditional Lite-CF,1.0,1.0,negative_transfer_prevention,40,0.883023468506955,0.8280586271410838,0.9379883098728262,1.0,0.7485714285714286,1.0,0.5,1.0
