seed,fault_type,method,class,n,auroc,auprc,recall
102,stuck_at,RO-PDRF-Lite,1,230,0.7690226404210829,0.5334689841356739,0.5217391304347826
102,stuck_at,RO-PDRF-Lite,2,220,0.9005793959330143,0.7503222465772197,0.45
102,stuck_at,RO-PDRF-Lite,3,230,0.9173516475593049,0.812437287770565,0.6782608695652174
102,stuck_at,RO-PDRF-Lite,4,253,0.7526152776988897,0.31138406357132875,0.043478260869565216
102,stuck_at,RO-PDRF-Lite,5,266,0.8304671936250885,0.7329794069805492,0.631578947368421
102,stuck_at,RO-PDRF-Lite,6,237,0.8071546964242353,0.3964441304222149,0.8354430379746836
102,stuck_at,Lite-CF,1,230,0.7684890763573438,0.5322354234924027,0.5260869565217391
102,stuck_at,Lite-CF,2,220,0.8953311901913875,0.7445396572962059,0.45
102,stuck_at,Lite-CF,3,230,0.9173804888600476,0.8107187010399943,0.6434782608695652
102,stuck_at,Lite-CF,4,253,0.7491037390702943,0.3137723573718703,0.043478260869565216
102,stuck_at,Lite-CF,5,266,0.8290823211875843,0.7312296378602036,0.6278195488721805
102,stuck_at,Lite-CF,6,237,0.8007851127697836,0.3920572834766563,0.8143459915611815
103,drift,PDRF,1,230,0.7893972168144784,0.4686943093526849,0.3826086956521739
103,drift,PDRF,2,220,0.883272278708134,0.7218135971898099,0.5181818181818182
103,drift,PDRF,3,230,0.8908789386401328,0.7922183352239965,0.4652173913043478
103,drift,PDRF,4,253,0.6232530011794225,0.23405484327831833,0.05138339920948617
103,drift,PDRF,5,266,0.8230962020435705,0.7012822364515003,0.6052631578947368
103,drift,PDRF,6,237,0.8272329613637244,0.4236536357052661,0.9620253164556962
103,drift,RO-PDRF-Lite,1,230,0.7746196553464563,0.46493061254832757,0.391304347826087
103,drift,RO-PDRF-Lite,2,220,0.8930023923444976,0.7439905860677473,0.5818181818181818
103,drift,RO-PDRF-Lite,3,230,0.8930492465210181,0.7974735482536115,0.5
103,drift,RO-PDRF-Lite,4,253,0.6411849020544672,0.24651962196446947,0.05533596837944664
103,drift,RO-PDRF-Lite,5,266,0.8241661846925004,0.6967886012420773,0.6090225563909775
103,drift,RO-PDRF-Lite,6,237,0.8393897164655497,0.4625448108975002,0.9493670886075949
103,drift,Lite-CF,1,230,0.7804816497224025,0.466068757000228,0.3826086956521739
103,drift,Lite-CF,2,220,0.8950919557416268,0.7430231841704951,0.5181818181818182
103,drift,Lite-CF,3,230,0.8986264330521307,0.8023024680213682,0.4652173913043478
103,drift,Lite-CF,4,253,0.6352076017627857,0.23906011573220587,0.05138339920948617
103,drift,Lite-CF,5,266,0.8249277038750723,0.698881557763446,0.6052631578947368
103,drift,Lite-CF,6,237,0.8383128697261784,0.4619602369848462,0.9620253164556962
103,gaussian,PDRF,1,230,0.7775398370466508,0.4288866067988348,0.6
103,gaussian,PDRF,2,220,0.8023101076555024,0.554879132498344,0.4954545454545455
103,gaussian,PDRF,3,230,0.8586668108731704,0.6479129984568304,0.5826086956521739
103,gaussian,PDRF,4,253,0.6793206793206794,0.26196720982896676,0.1541501976284585
103,gaussian,PDRF,5,266,0.8238063106484159,0.6798401085233673,0.6052631578947368
