seed,repeat,features,C,auroc,auprc,brier,threshold
107,5,confidence_entropy_6,0.01,0.5983838383838384,0.5039998843546156,0.24558262887128185,0.9
107,1,confidence_entropy_6,0.05,0.6623838383838384,0.5690875158225293,0.23880813157770367,0.775
107,2,confidence_entropy_6,0.05,0.6298181818181818,0.5220965806651481,0.24288539747678484,0.675
107,3,confidence_entropy_6,0.05,0.669979797979798,0.5695825194926413,0.2384623869276908,0.725
107,4,confidence_entropy_6,0.05,0.6602020202020202,0.566321291769712,0.24144037167352872,0.8
107,5,confidence_entropy_6,0.05,0.6493737373737374,0.5585201547370563,0.2399768062478598,0.725
107,1,confidence_entropy_6,0.1,0.670949494949495,0.5621949875338877,0.2392733039007736,0.9
107,2,confidence_entropy_6,0.1,0.6682020202020202,0.5697993570111664,0.2379139622256554,0.725
107,3,confidence_entropy_6,0.1,0.6686060606060606,0.5746559490259108,0.23777539368682862,0.725
107,4,confidence_entropy_6,0.1,0.6439595959595958,0.537416273551072,0.24891148070577573,0.9
107,5,confidence_entropy_6,0.1,0.6623030303030304,0.5650316830684682,0.2376596605654189,0.9
107,1,confidence_entropy_6,0.5,0.6741010101010101,0.5906434641723003,0.23297394178489356,0.9
107,2,confidence_entropy_6,0.5,0.6836363636363637,0.609229886084645,0.23272753215512434,0.9
107,3,confidence_entropy_6,0.5,0.6618989898989899,0.5902611553964696,0.23670031380943576,0.825
107,4,confidence_entropy_6,0.5,0.6834747474747473,0.5861030352132862,0.23233277082065265,0.9
107,5,confidence_entropy_6,0.5,0.6586666666666666,0.5964448770296539,0.2391427267250741,0.825
107,1,confidence_entropy_6,1.0,0.6757979797979798,0.6079202794301395,0.23347223037258574,0.9
107,2,confidence_entropy_6,1.0,0.6635151515151515,0.5935586310777464,0.23628470957939626,0.825
107,3,confidence_entropy_6,1.0,0.675959595959596,0.6136107544259957,0.23403452162647845,0.9
107,4,confidence_entropy_6,1.0,0.6665858585858586,0.5874815142046855,0.2379953432357961,0.9
107,5,confidence_entropy_6,1.0,0.6562424242424241,0.5828626498247704,0.23638312932259914,0.875
107,1,confidence_entropy_6,5.0,0.6618181818181819,0.5861027511845474,0.23531759420454076,0.9
107,2,confidence_entropy_6,5.0,0.6746666666666666,0.5930767009720228,0.23237964125153227,0.9
107,3,confidence_entropy_6,5.0,0.6854949494949495,0.6035717111463299,0.23121505263115946,0.9
107,4,confidence_entropy_6,5.0,0.6899393939393939,0.6101950274874082,0.2304339183109581,0.9
107,5,confidence_entropy_6,5.0,0.6871919191919194,0.624493064927022,0.22880234574273084,0.9
108,1,confidence_entropy_6,0.01,0.7222222222222222,0.7055224855444209,0.22092556099876917,0.65
108,2,confidence_entropy_6,0.01,0.7271241830065359,0.7183879450172257,0.2199907437766092,0.65
108,3,confidence_entropy_6,0.01,0.7265795206971678,0.7221798038291545,0.2200067459119522,0.7
108,4,confidence_entropy_6,0.01,0.718681917211329,0.6762399004050816,0.22308632440373377,0.9
108,5,confidence_entropy_6,0.01,0.7372004357298475,0.7185140991392223,0.2191392689553576,0.7
108,1,confidence_entropy_6,0.05,0.7320261437908496,0.7153463498865256,0.2063007500182754,0.825
108,2,confidence_entropy_6,0.05,0.7306644880174291,0.7209948556985766,0.20685225537733967,0.8
108,3,confidence_entropy_6,0.05,0.7391067538126361,0.7402568294497597,0.20485202109711195,0.75
108,4,confidence_entropy_6,0.05,0.735838779956427,0.7216419387589419,0.20652839613591029,0.775
