rule,matching,threshold,target,calibration_n,calibration_recovery_opportunities,calibration_recovery_retained,calibration_recovery_retention,calibration_negative_transfer_opportunities,calibration_negative_transfer_remaining,calibration_negative_transfer_rate,calibration_negative_transfer_prevention,calibration_full_selection_rate,calibration_selected_accuracy,seed
Lower-entropy,prevention_matched,0.07132779736378907,0.9512195121951219,1860.0,49.0,7.0,0.14285714285714285,41.0,2.0,0.04878048780487805,0.9512195121951219,0.060215053763440864,0.6263440860215054,103
Lower-entropy,retention_matched,-0.018724543265644985,0.42857142857142855,1860.0,49.0,22.0,0.4489795918367347,41.0,13.0,0.3170731707317073,0.6829268292682926,0.5897849462365592,0.628494623655914,103
Lower-LOO-disagreement,prevention_matched,0.08244066580952235,0.9512195121951219,1860.0,49.0,3.0,0.061224489795918366,41.0,2.0,0.04878048780487805,0.9512195121951219,0.02043010752688172,0.6241935483870967,103
Lower-LOO-disagreement,retention_matched,0.02218368614820933,0.42857142857142855,1860.0,49.0,21.0,0.42857142857142855,41.0,23.0,0.5609756097560976,0.4390243902439024,0.21989247311827956,0.6225806451612903,103
Higher-JS-disagreement,prevention_matched,0.12955061197280915,0.9512195121951219,1860.0,49.0,14.0,0.2857142857142857,41.0,2.0,0.04878048780487805,0.9512195121951219,0.01021505376344086,0.6301075268817204,103
Higher-JS-disagreement,retention_matched,0.06150646090507492,0.42857142857142855,1860.0,49.0,22.0,0.4489795918367347,41.0,7.0,0.17073170731707318,0.8292682926829268,0.04032258064516129,0.6317204301075269,103
Higher-confidence,prevention_matched,0.19158771157264712,1.0,1868.0,67.0,10.0,0.14925373134328357,22.0,0.0,0.0,1.0,0.030513918629550323,0.7799785867237687,104
Higher-confidence,retention_matched,-0.14503345906734466,0.6567164179104478,1868.0,67.0,45.0,0.6716417910447762,22.0,18.0,0.8181818181818182,0.18181818181818177,0.9095289079229122,0.7890792291220556,104
Lower-entropy,prevention_matched,0.2009789767223317,1.0,1868.0,67.0,3.0,0.04477611940298507,22.0,0.0,0.0,1.0,0.020342612419700215,0.7762312633832976,104
Lower-entropy,retention_matched,-0.11671497040417662,0.6567164179104478,1868.0,67.0,44.0,0.6567164179104478,22.0,21.0,0.9545454545454546,0.045454545454545414,0.869914346895075,0.7869379014989293,104
Lower-LOO-disagreement,prevention_matched,0.08886735631932867,1.0,1868.0,67.0,11.0,0.16417910447761194,22.0,0.0,0.0,1.0,0.020342612419700215,0.7805139186295503,104
Lower-LOO-disagreement,retention_matched,0.0040108008170470335,0.6567164179104478,1868.0,67.0,44.0,0.6567164179104478,22.0,17.0,0.7727272727272727,0.2272727272727273,0.32012847965738755,0.7890792291220556,104
Higher-JS-disagreement,prevention_matched,0.08001759350299838,1.0,1868.0,67.0,47.0,0.7014925373134329,22.0,0.0,0.0,1.0,0.05032119914346895,0.7997858672376874,104
Higher-JS-disagreement,retention_matched,0.09823823928832985,0.6567164179104478,1868.0,67.0,44.0,0.6567164179104478,22.0,0.0,0.0,1.0,0.04014989293361884,0.7981798715203426,104
Higher-confidence,prevention_matched,0.5480307340621948,0.9861111111111112,1866.0,122.0,0.0,0.0,72.0,0.0,0.0,1.0,0.0005359056806002144,0.5782422293676313,105
Higher-confidence,retention_matched,-0.028524647653102878,0.4344262295081967,1866.0,122.0,54.0,0.4426229508196721,72.0,40.0,0.5555555555555556,0.4444444444444444,0.710075026795284,0.5857449088960343,105
Lower-entropy,prevention_matched,0.6339551277524711,0.9861111111111112,1866.0,122.0,0.0,0.0,72.0,0.0,0.0,1.0,0.0005359056806002144,0.5782422293676313,105
Lower-entropy,retention_matched,-0.04643351104028272,0.4344262295081967,1866.0,122.0,53.0,0.4344262295081967,72.0,48.0,0.6666666666666666,0.33333333333333337,0.7197213290460879,0.5809217577706324,105
Lower-LOO-disagreement,prevention_matched,0.4619259993431806,0.9861111111111112,1866.0,122.0,1.0,0.00819672131147541,72.0,0.0,0.0,1.0,0.0005359056806002144,0.5787781350482315,105
