seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,stuck_at,0.1,full_mixed_stream,Always PDRF,2.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,2.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,2.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,5.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,5.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,5.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,10.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,10.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always PDRF,10.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.0,155.82034830430797,210.81576535288727,1.0,-54.9954170485793,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.5,155.82034830430797,210.81576535288727,1.0,-54.9954170485793,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,2.0,155.82034830430797,210.81576535288727,1.0,-54.9954170485793,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.0,155.82034830430797,210.81576535288727,1.0,-265.81118240146657,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.5,155.82034830430797,210.81576535288727,1.0,-265.81118240146657,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,2.0,155.82034830430797,210.81576535288727,1.0,-265.81118240146657,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.0,155.82034830430797,210.81576535288727,1.0,-898.2584784601283,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.5,155.82034830430797,210.81576535288727,1.0,-898.2584784601283,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,2.0,155.82034830430797,210.81576535288727,1.0,-898.2584784601283,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.0,155.82034830430797,210.81576535288727,1.0,-1952.3373052245647,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.5,155.82034830430797,210.81576535288727,1.0,-1952.3373052245647,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,2.0,155.82034830430797,210.81576535288727,1.0,-1952.3373052245647,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,1.0,0.0,0.0,11.45737855178735,6.0,-11.45737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,1.0,0.5,0.0,11.45737855178735,6.0,-13.95737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,1.0,2.0,0.0,11.45737855178735,6.0,-21.45737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,2.0,0.0,0.0,11.45737855178735,6.0,-22.9147571035747,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,2.0,0.5,0.0,11.45737855178735,6.0,-25.4147571035747,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,2.0,2.0,0.0,11.45737855178735,6.0,-32.9147571035747,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,5.0,0.0,0.0,11.45737855178735,6.0,-57.28689275893675,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,5.0,0.5,0.0,11.45737855178735,6.0,-59.78689275893675,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,5.0,2.0,0.0,11.45737855178735,6.0,-67.28689275893674,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,10.0,0.0,0.0,11.45737855178735,6.0,-114.5737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,10.0,0.5,0.0,11.45737855178735,6.0,-117.0737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,stuck_at,0.1,full_mixed_stream,Safe-CF-12,10.0,2.0,0.0,11.45737855178735,6.0,-124.5737855178735,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,full_mixed_stream,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,full_mixed_stream,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.4,full_mixed_stream,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
