analysis_set,seed,fault_type,prevalence,stream,method,subset,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
complete_stream,101,none,0.0,clean_no_imposed_fault,Shrink-6,endpoint_class_agreement,4092,0.5999511241446726,0.8692323199664388,0.6422180030794492,1.7672909400070598,0.6351246518986278,0.24824885739449504,0.248248857394495,0.09621337484247224
complete_stream,101,none,0.0,clean_no_imposed_fault,Shrink-6,endpoint_class_disagreement,272,0.33455882352941174,0.7865177842201744,0.4176735384951318,1.9048329669016908,0.8105102164447842,0.1776756892982087,0.1789498261043418,0.1376107798816956
complete_stream,101,none,0.0,clean_no_imposed_fault,Tree-6,endpoint_class_agreement,4092,0.5999511241446726,0.8678435565218386,0.6410837361338969,1.772005349853882,0.6381442648290342,0.250877480864259,0.25087748086425893,0.09649564023439038
complete_stream,101,none,0.0,clean_no_imposed_fault,Tree-6,endpoint_class_disagreement,272,0.29044117647058826,0.7780825541750723,0.3918498498068193,1.9470023351392423,0.8422674203823081,0.23123135339889608,0.23049284433310438,0.14409341949028273
complete_stream,101,none,0.0,clean_no_imposed_fault,Three-outcome-6,endpoint_class_agreement,4092,0.5999511241446726,0.8705899029587663,0.652520166247049,1.9084009782616282,0.6396231734488569,0.26082838740429737,0.2608283874042973,0.09947639854663697
complete_stream,101,none,0.0,clean_no_imposed_fault,Three-outcome-6,endpoint_class_disagreement,272,0.31985294117647056,0.7834162944825517,0.41065456061348793,1.9321477438361934,0.8231078937527686,0.19713991739768885,0.20009527523339268,0.1421033815699267
complete_stream,101,none,0.0,clean_no_imposed_fault,Cascade-25,endpoint_class_agreement,4092,0.5999511241446726,0.8702646700668949,0.6433422033934824,1.7673259879256724,0.6340723437612271,0.2505692430867796,0.25056924308677964,0.09601293038148195
complete_stream,101,none,0.0,clean_no_imposed_fault,Cascade-25,endpoint_class_disagreement,272,0.3235294117647059,0.7812630049382925,0.40515289547305827,1.9156123506959684,0.8181581699530953,0.1872918764113089,0.18987075532897615,0.13695742082833787
complete_stream,101,none,0.0,clean_no_imposed_fault,Always PDRF,endpoint_class_agreement,4092,0.5999511241446726,0.871276226024754,0.653917530887626,1.9074239672974806,0.6363657290299755,0.26001138833199544,0.26001138833199555,0.09881867071627058
complete_stream,101,none,0.0,clean_no_imposed_fault,Always PDRF,endpoint_class_disagreement,272,0.34191176470588236,0.788846461178439,0.430033566082559,1.9011881938702206,0.8024373507100497,0.171658377200212,0.1744410522388658,0.1362256169080741
complete_stream,101,none,0.0,clean_no_imposed_fault,Always RO-PDRF-Full,endpoint_class_agreement,4092,0.5999511241446726,0.8667864859318325,0.6391332537482985,1.7708416035716428,0.6364778389670337,0.24272342943369668,0.24272342943369668,0.09489538898689609
complete_stream,101,none,0.0,clean_no_imposed_fault,Always RO-PDRF-Full,endpoint_class_disagreement,272,0.23897058823529413,0.7609584377187787,0.35489255412840565,2.0174674905398953,0.8724528290189442,0.2556894075266184,0.2556894075266184,0.15440181385794682
complete_stream,101,offset,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_agreement,4115,0.5654921020656136,0.8551023310540199,0.6137107813773138,2.0885459197159517,0.6985979373436262,0.2909528857732585,0.2909528857732586,0.10870427617752154
complete_stream,101,offset,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_disagreement,249,0.3654618473895582,0.7884279282222825,0.42393652657527586,1.9147622716806552,0.785525086973078,0.15744196302261404,0.16903905629690583,0.12171017676184519
complete_stream,101,offset,0.4,full_mixed_stream,Shrink-6,endpoint_class_agreement,4115,0.5654921020656136,0.8524716208617528,0.60617665737479,2.043374657447128,0.694864481184303,0.28283794820508706,0.282837948205087,0.10719243345054326
complete_stream,101,offset,0.4,full_mixed_stream,Shrink-6,endpoint_class_disagreement,249,0.37751004016064255,0.7923389392884873,0.4370102685698549,1.9132161399650236,0.7772358372649439,0.1463861308662671,0.16109932871063515,0.11881346172334119
complete_stream,101,offset,0.4,full_mixed_stream,Tree-6,endpoint_class_agreement,4115,0.5654921020656136,0.8511840580354106,0.6048649516752634,2.0438582166786543,0.6983492294603587,0.2858461916427493,0.28584619164274927,0.10753327315128876
complete_stream,101,offset,0.4,full_mixed_stream,Tree-6,endpoint_class_disagreement,249,0.3293172690763052,0.7836035870319669,0.4081228922634255,1.9600372300670912,0.8112571161642729,0.2053458674971823,0.20712982396868385,0.12648543876260512
complete_stream,101,offset,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_agreement,4115,0.5654921020656136,0.8555935904835374,0.6220895207894129,2.1824511120335455,0.7018307541720116,0.29684019291098207,0.296840192910982,0.1101474296666949
complete_stream,101,offset,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_disagreement,249,0.3654618473895582,0.7904905209976225,0.4273250992755206,1.9283237694075792,0.7877106030897615,0.166824314538923,0.17310468477910923,0.12284315443345356
complete_stream,101,offset,0.4,full_mixed_stream,Cascade-25,endpoint_class_agreement,4115,0.5654921020656136,0.8533301531244303,0.6072009935974708,2.052834348936902,0.6960420193191258,0.28675347339079754,0.28675347339079743,0.1075465291677392
complete_stream,101,offset,0.4,full_mixed_stream,Cascade-25,endpoint_class_disagreement,249,0.3654618473895582,0.7877629564018992,0.4219017195388246,1.923587145211361,0.7862065583134936,0.1571198479582451,0.17183304580261302,0.1191785143250983
complete_stream,101,offset,0.4,full_mixed_stream,Always PDRF,endpoint_class_agreement,4115,0.5654921020656136,0.8559881795467491,0.6226807102927907,2.188690015651509,0.6997479373134669,0.2956729490326392,0.2956729490326391,0.10980152548780044
complete_stream,101,offset,0.4,full_mixed_stream,Always PDRF,endpoint_class_disagreement,249,0.3855421686746988,0.7944207878437862,0.4413103896689948,1.9024899602208891,0.7687599843158497,0.1505295857275879,0.15726406926708958,0.11821149183441036
complete_stream,101,offset,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_agreement,4115,0.5654921020656136,0.8500361815684538,0.6021235442050689,2.0416142472684546,0.697010458789046,0.2783441032435087,0.27834410324350867,0.10681354013170193
complete_stream,101,offset,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_disagreement,249,0.23293172690763053,0.7759423821848297,0.3813824725096333,2.033416310442957,0.8531064323512935,0.27035910735860663,0.2783115681424141,0.14256113115497046
complete_stream,101,stuck_at,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_agreement,4108,0.565238558909445,0.853552794531188,0.6105268145159831,2.062727203961687,0.6987946272549568,0.2884510616115528,0.2884510616115528,0.10861605633776994
complete_stream,101,stuck_at,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_disagreement,256,0.328125,0.7633997572766941,0.4154322582172047,2.0113654667819874,0.8084169148770448,0.18516326918687498,0.19032323691583453,0.13950443576290192
complete_stream,101,stuck_at,0.4,full_mixed_stream,Shrink-6,endpoint_class_agreement,4108,0.565238558909445,0.8510484743514435,0.6031568542321964,2.0138745466544377,0.6945714885528863,0.280360387220849,0.2803603872208491,0.10722454217881605
complete_stream,101,stuck_at,0.4,full_mixed_stream,Shrink-6,endpoint_class_disagreement,256,0.3359375,0.7675732384084689,0.42689402112943825,2.0290179693611714,0.8026759472002627,0.1798620320269869,0.19445542820643283,0.13725459939619053
complete_stream,101,stuck_at,0.4,full_mixed_stream,Tree-6,endpoint_class_agreement,4108,0.565238558909445,0.8498502822420521,0.6019180547645578,2.016066536058177,0.6965814259457925,0.2820960797839909,0.2820960797839909,0.10759907153069663
complete_stream,101,stuck_at,0.4,full_mixed_stream,Tree-6,endpoint_class_disagreement,256,0.296875,0.7596518353424448,0.39967228196143906,2.0732806789721896,0.8329216787432526,0.228235076731764,0.22396882459461206,0.14449109125191595
complete_stream,101,stuck_at,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_agreement,4108,0.565238558909445,0.8532283391418044,0.6151142215550215,2.1682063012476487,0.7033397158643446,0.2940718819529441,0.29407188195294404,0.11105651663850835
complete_stream,101,stuck_at,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_disagreement,256,0.32421875,0.7656088306685814,0.4210943193543935,2.0438753141469705,0.8123280309464451,0.19363728141031344,0.18965116876336446,0.14086129739623113
complete_stream,101,stuck_at,0.4,full_mixed_stream,Cascade-25,endpoint_class_agreement,4108,0.565238558909445,0.8515638785926951,0.6040207645098478,2.033145522954126,0.6964466343542802,0.2844605966148941,0.2844605966148941,0.10748348515581646
complete_stream,101,stuck_at,0.4,full_mixed_stream,Cascade-25,endpoint_class_disagreement,256,0.328125,0.7635059352080291,0.4172520184455404,2.0344023784369596,0.8075780019247552,0.18510794016721488,0.19666940937374322,0.1372893374012699
complete_stream,101,stuck_at,0.4,full_mixed_stream,Always PDRF,endpoint_class_agreement,4108,0.565238558909445,0.8535347841256783,0.6161382161080958,2.175425805690815,0.7004100114190115,0.2930657184821195,0.2930657184821194,0.10991232366680154
complete_stream,101,stuck_at,0.4,full_mixed_stream,Always PDRF,endpoint_class_disagreement,256,0.33984375,0.7685652973338408,0.433236039789118,2.0241110014321,0.7984446161763649,0.17913294613339298,0.19845211952453995,0.1368519459580522
complete_stream,101,stuck_at,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_agreement,4108,0.565238558909445,0.8484787443525234,0.5991980904860342,2.015651287386618,0.6951947223594356,0.2742944352889659,0.27429443528896597,0.1057047589765232
complete_stream,101,stuck_at,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_disagreement,256,0.265625,0.7467155847822656,0.3647799421662999,2.0798508210114366,0.8510905224853517,0.23089673980251213,0.23970812088601545,0.14847415519724613
complete_stream,102,drift,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_agreement,4211,0.581334599857516,0.8562696221758171,0.625409838644989,1.736567572748423,0.6387876822112378,0.23776145024414086,0.2377614502441409,0.08867323103877757
complete_stream,102,drift,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_disagreement,153,0.27450980392156865,0.6770869341381553,0.3554390856808314,2.790407370026746,0.9041084470129419,0.27968981151486244,0.27043578514182703,0.14329239024380794
complete_stream,102,drift,0.4,full_mixed_stream,Shrink-6,endpoint_class_agreement,4211,0.581334599857516,0.8575362811436404,0.6267375584866687,1.6942079827619847,0.6306442027172716,0.23115009862951524,0.23115009862951527,0.08769678794976515
complete_stream,102,drift,0.4,full_mixed_stream,Shrink-6,endpoint_class_disagreement,153,0.26143790849673204,0.6735958776583724,0.3485834651909639,2.7877478668931386,0.9141946546181229,0.29375375707471035,0.28449973070167495,0.14464670688576017
complete_stream,102,drift,0.4,full_mixed_stream,Tree-6,endpoint_class_agreement,4211,0.581334599857516,0.8551825166346902,0.6252036369746045,1.8660232272205075,0.64272170898458,0.2426954975032825,0.2426954975032825,0.09050253460534145
complete_stream,102,drift,0.4,full_mixed_stream,Tree-6,endpoint_class_disagreement,153,0.29411764705882354,0.6803566702421738,0.39139756639220874,2.8508486683810594,0.8737827525437363,0.2555585357989403,0.24585865898971068,0.14024569445269566
complete_stream,102,drift,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_agreement,4211,0.581334599857516,0.8553019478252709,0.6252362516225874,1.8625587702474273,0.6428655193880924,0.24335182900175414,0.2433518290017541,0.0903860651613807
complete_stream,102,drift,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_disagreement,153,0.29411764705882354,0.6789350586422175,0.3593590178891763,2.7935264308378627,0.8954712663079915,0.2632255511383098,0.256450104883341,0.14212855906182106
complete_stream,102,drift,0.4,full_mixed_stream,Cascade-25,endpoint_class_agreement,4211,0.581334599857516,0.8563008545346974,0.6254776851781927,1.7363530476054068,0.638681652096191,0.23770885372077905,0.23770885372077907,0.08863451559699109
complete_stream,102,drift,0.4,full_mixed_stream,Cascade-25,endpoint_class_disagreement,153,0.27450980392156865,0.6770869341381553,0.3554390856808314,2.790407370026746,0.9041084470129419,0.27968981151486244,0.27043578514182703,0.14329239024380794
complete_stream,102,drift,0.4,full_mixed_stream,Always PDRF,endpoint_class_agreement,4211,0.581334599857516,0.8551825166346902,0.6252036369746045,1.8660232272205075,0.64272170898458,0.2426954975032825,0.2426954975032825,0.09050253460534145
complete_stream,102,drift,0.4,full_mixed_stream,Always PDRF,endpoint_class_disagreement,153,0.29411764705882354,0.6803566702421738,0.39139756639220874,2.8508486683810594,0.8737827525437363,0.2555585357989403,0.24585865898971068,0.14024569445269566
complete_stream,102,drift,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_agreement,4211,0.581334599857516,0.8589610087772429,0.627820440276023,1.652915191319673,0.6204129124787074,0.22079228768426457,0.22079228768426457,0.08539666364832767
complete_stream,102,drift,0.4,full_mixed_stream,Always RO-PDRF-Full,endpoint_class_disagreement,153,0.24836601307189543,0.6925284110252844,0.34250487553957165,2.535483828806449,0.9003422238632773,0.2325003492473356,0.23513819378955358,0.14418074159406996
complete_stream,102,gaussian,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_agreement,4123,0.5690031530439,0.8492274800546634,0.6057467379082838,1.8787007858342368,0.6518430004073233,0.24579651648867257,0.2457965164886726,0.08995178277861678
complete_stream,102,gaussian,0.4,full_mixed_stream,Safe-CF-12,endpoint_class_disagreement,241,0.22821576763485477,0.6506261083846222,0.2855137309324544,3.3659320053685886,0.9552353060501234,0.3355465387771205,0.3391332673665396,0.14552390794590567
complete_stream,102,gaussian,0.4,full_mixed_stream,Shrink-6,endpoint_class_agreement,4123,0.5690031530439,0.8500901145286782,0.6067954625617823,1.8343542097052008,0.64523654105952,0.24021156411461375,0.2402115641146138,0.08895464237277384
complete_stream,102,gaussian,0.4,full_mixed_stream,Shrink-6,endpoint_class_disagreement,241,0.2074688796680498,0.6429871148102951,0.2663951132737944,3.393668222629519,0.9718187101140702,0.35626670174712355,0.35898949041589645,0.1473793096050989
complete_stream,102,gaussian,0.4,full_mixed_stream,Tree-6,endpoint_class_agreement,4123,0.5690031530439,0.8467159200785384,0.5998471174862164,2.051675712204631,0.6559294909289229,0.24792083643288593,0.24792083643288593,0.09121782008277611
complete_stream,102,gaussian,0.4,full_mixed_stream,Tree-6,endpoint_class_disagreement,241,0.21991701244813278,0.6551805377967793,0.31325878465368723,3.454110050655208,0.9505627841401791,0.3386841800712107,0.3414069687399837,0.14521830668989702
complete_stream,102,gaussian,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_agreement,4123,0.5690031530439,0.8469021032980364,0.6001631048173276,2.0486069220471954,0.6556006727855126,0.24941847124516892,0.2494184712451688,0.09104347622324967
complete_stream,102,gaussian,0.4,full_mixed_stream,Three-outcome-6,endpoint_class_disagreement,241,0.21991701244813278,0.6468732315366025,0.2881954844774571,3.4110499786649173,0.964963681136493,0.34691622223130286,0.3496390109000759,0.14696570449322385
