analysis_set,seed,fault_type,method,criterion,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,mean_forward_passes,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
calibration_oof,108,all_calibration_families,Two-stage,matched_retention,0.2797699709295541,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Shallow tree,matched_prevention,0.662085692188359,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Shallow tree,matched_retention,0.662085692188359,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Confidence difference,matched_prevention,0.4632238159642944,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Confidence difference,matched_retention,0.4632238159642944,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Base uncertainty,matched_prevention,-0.2479979534878006,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Base uncertainty,matched_retention,-0.2479979534878006,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Entropy difference,matched_prevention,0.41177884600839093,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Entropy difference,matched_retention,0.41177884600839093,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Random,matched_prevention,0.9999761921595911,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Random,matched_retention,0.9999761921595911,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,,,,,,,,,,,
calibration_oof,109,all_calibration_families,Conditional Lite-CF,matched_prevention,0.6379876351702056,1880,89,2,0.02247191011235955,18,0,1.0,0.1202127659574468,0.7074468085106383,10.638297872340425,,,,,,,,,,,
calibration_oof,109,all_calibration_families,Conditional Lite-CF,matched_retention,0.6496040775696508,1880,89,1,0.011235955056179775,18,0,1.0,0.11010638297872341,0.7069148936170213,5.319148936170213,,,,,,,,,,,
