method,selection_fraction,negative_transfer_prevention,recovery_retention,utility_ratio1_per_10000
Logit-margin difference,0.9750000000000001,0.07883418235171409,0.9306946356306911,123.60724233983288
Logit-margin difference,1.0,0.0,1.0,132.13788300835654
Random,0.0,1.0,0.0,0.0
Random,0.025,0.9786340023343966,0.021183256399344617,3.307799442896936
Random,0.05,0.9571935676986019,0.05051014958482234,8.356545961002785
Random,0.07500000000000001,0.9343073796561638,0.07380471880970078,11.66434540389972
Random,0.1,0.9170072238896566,0.09353595403104224,13.927576601671309
Random,0.125,0.8757862281098372,0.12499366295973979,18.628133704735376
Random,0.15000000000000002,0.8614710595515145,0.15834758903814217,24.025069637883007
Random,0.17500000000000002,0.8301972449504941,0.19258808464105295,30.118384401114206
Random,0.2,0.7957375814430631,0.22375835712959707,34.644846796657376
Random,0.225,0.768479231034511,0.2503258004665671,39.17130919220055
Random,0.25,0.7352109683912483,0.26910014241448826,37.95264623955431
Random,0.275,0.7011692296331581,0.29395715819550816,41.26044568245125
Random,0.30000000000000004,0.6864197359522128,0.31274788437033596,44.04596100278552
Random,0.325,0.664088085023162,0.3389895641628179,47.17966573816156
Random,0.35000000000000003,0.643312944443408,0.3583634072470396,49.09470752089136
Random,0.375,0.624217653487052,0.3839537609569752,52.4025069637883
Random,0.4,0.602813735026682,0.4207201825220691,57.79944289693593
Random,0.42500000000000004,0.5681471516100987,0.44507224229554254,59.71448467966574
Random,0.45,0.527503850966798,0.46701032097799555,61.28133704735376
Random,0.47500000000000003,0.5094988381611386,0.49455339452089947,65.28551532033427
Random,0.5,0.48613224503668545,0.5243116477212426,68.76740947075209
Random,0.525,0.46425793759806633,0.5496724648307482,73.11977715877438
Random,0.55,0.4449159231352886,0.5672841169934528,74.5125348189415
Random,0.5750000000000001,0.42340343662280205,0.5896072684960985,78.16852367688023
Random,0.6000000000000001,0.4071719572802578,0.616088922814226,82.5208913649025
Random,0.625,0.38585267488195785,0.6390319767996326,86.69916434540389
Random,0.65,0.3679895167278514,0.6545099973439351,88.26601671309191
Random,0.675,0.3379095246109044,0.6752512902665857,89.83286908077994
Random,0.7000000000000001,0.30292784727500793,0.6935000199300129,90.18105849582173
Random,0.7250000000000001,0.2640311178843269,0.7185897762498892,94.70752089136491
Random,0.75,0.24271704551643863,0.752966342580636,98.53760445682451
Random,0.775,0.22830880050474534,0.7751964983414996,102.71587743732591
Random,0.8,0.21016106853665334,0.8059597690656524,107.59052924791085
Random,0.8250000000000001,0.1818293668005664,0.8343371344098148,110.37604456824513
Random,0.8500000000000001,0.14620597079431036,0.8624773928102941,114.38022284122562
