mixture,test_mechanism,seed,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
drift_70pct,stuck_at,103,0.9,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.2799442896935933,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8030397718324401,0.5452037801679848,2.965698374704254,0.8916732432066442,0.3984617849628158,0.397527890646264,0.14722302228243514
stuck_at_70pct,gaussian,103,0.9,Conditional Lite-CF,2.0,1436,49,2,0.04081632653061224,15,0,1.0,0.6998607242339833,0.44846796657381616,13.927576601671309,1.0,13.927576601671309,0.44846796657381616,0.7768901886234577,0.48488780234940615,3.7030406234823334,0.9007979487960495,0.4103909128783406,0.4102442777122626,0.14398700496843678
stuck_at_70pct,offset,103,0.9,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.8175487465181058,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8040058628404054,0.55252864143811,3.3987923831690527,0.9466188052950426,0.44520886551082717,0.44355720875502436,0.16039207145383688
stuck_at_70pct,drift,103,0.9,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.8147632311977716,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8121954525473228,0.5699158799618019,3.1560571172974345,0.887509655265864,0.40719607234967004,0.4060686963685979,0.14876751522098908
stuck_at_70pct,stuck_at,103,0.9,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.7318941504178273,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8092373098160311,0.5557331862435592,2.7244349230465166,0.8595984472419582,0.38441305877173837,0.38347916445518665,0.1410967146909505
uniform,gaussian,104,0.625,Conditional Lite-CF,2.0,1436,43,9,0.20930232558139536,17,4,0.7647058823529411,0.8050139275766016,0.46866295264623953,34.81894150417827,1.0,34.81894150417827,0.46866295264623953,0.7852411010751356,0.4794342281949156,3.204131026630953,0.8635095558333015,0.3848566641760991,0.3848566641760992,0.13330253231473707
uniform,offset,104,0.625,Conditional Lite-CF,2.0,1436,41,6,0.14634146341463414,33,12,0.6363636363636364,0.7806406685236769,0.49442896935933145,-41.78272980501393,1.0,-41.78272980501393,0.49442896935933145,0.8176243585372172,0.560467737345581,2.84601205839614,0.8428095284290894,0.36232718556885035,0.36008746177526596,0.14000248889379482
uniform,drift,104,0.625,Conditional Lite-CF,2.0,1436,24,2,0.08333333333333333,18,1,0.9444444444444444,0.7715877437325905,0.5132311977715878,6.963788300835654,1.0,6.963788300835654,0.5132311977715878,0.821523510388985,0.5734468941003145,2.6924692230527936,0.8105522969367855,0.3469863260701542,0.34682855622138664,0.13537477884355867
uniform,stuck_at,104,0.625,Conditional Lite-CF,2.0,1436,41,8,0.1951219512195122,36,6,0.8333333333333334,0.7346796657381616,0.4860724233983287,13.927576601671309,1.0,13.927576601671309,0.4860724233983287,0.813566733244024,0.5591912827963672,2.6975023635803312,0.8307847917105058,0.35145034045960155,0.3468872961334343,0.13808186050340523
gaussian_70pct,gaussian,104,0.9,Conditional Lite-CF,2.0,1436,43,0,0.0,17,0,1.0,0.0,0.46518105849582175,0.0,1.0,0.0,0.46518105849582175,0.7726162499716839,0.45782909311626324,3.7649583800546864,0.9115654135060874,0.40636215400940795,0.406362154009408,0.1429432663359693
gaussian_70pct,offset,104,0.9,Conditional Lite-CF,2.0,1436,41,0,0.0,33,0,1.0,0.0,0.4986072423398329,0.0,1.0,0.0,0.4986072423398329,0.819680864599103,0.5613925739899178,2.9016387384741376,0.8312201269853026,0.3485311742773646,0.3462914504837802,0.14168826381918528
gaussian_70pct,drift,104,0.9,Conditional Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.0,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.8233769109971055,0.5712572898152133,2.754037633330888,0.8065739628401775,0.3435852151538661,0.3434274453050983,0.1355360263352657
gaussian_70pct,stuck_at,104,0.9,Conditional Lite-CF,2.0,1436,41,0,0.0,36,0,1.0,0.0,0.48467966573816157,0.0,1.0,0.0,0.48467966573816157,0.8108443867463242,0.5614981573781592,2.870310467095609,0.8512571392275435,0.3578888997839186,0.35332585545775136,0.14404618860020438
offset_70pct,gaussian,104,0.825,Conditional Lite-CF,2.0,1436,43,1,0.023255813953488372,17,2,0.8823529411764706,0.5689415041782729,0.46448467966573814,-6.963788300835654,1.0,-6.963788300835654,0.46448467966573814,0.7829552104417234,0.47484872807440953,3.2996036377630706,0.87439379661022,0.38633164192210767,0.3863316419221077,0.1354097181721104
offset_70pct,offset,104,0.825,Conditional Lite-CF,2.0,1436,41,0,0.0,33,2,0.9393939393939394,0.46030640668523676,0.4972144846796657,-13.927576601671309,1.0,-13.927576601671309,0.4972144846796657,0.8198335293845561,0.5636166292146365,2.8003333253608327,0.822410269670823,0.3406993214599391,0.33845959766635475,0.13866964283890057
offset_70pct,drift,104,0.825,Conditional Lite-CF,2.0,1436,24,0,0.0,18,0,1.0,0.46518105849582175,0.5125348189415042,0.0,1.0,0.0,0.5125348189415042,0.823894207790199,0.5757500332839772,2.668877507451678,0.8004281395927757,0.33801887582977824,0.3378611059810106,0.1333121287638795
