seed,repeat,features,C,auroc,auprc,brier,threshold,threshold_tie_count
109,4,all_12,0.5,0.8544973544973545,0.974280389032666,0.134892724848738,0.625,3
109,5,all_12,0.5,0.853835978835979,0.977700376097507,0.13479779698099048,0.875,1
109,6,all_12,0.5,0.8366402116402116,0.9690093922039867,0.13499756847339187,0.675,1
109,7,all_12,0.5,0.8743386243386243,0.9787098599856996,0.1243379395064734,0.625,1
109,8,all_12,0.5,0.8736772486772486,0.9794050710478608,0.1298205902455281,0.9,1
109,9,all_12,0.5,0.8485449735449736,0.971762539094714,0.12710708429681886,0.65,1
109,10,all_12,0.5,0.8346560846560847,0.9723590474478395,0.14495301891294268,0.6,1
110,1,all_12,0.5,0.976328903654485,0.9637129687430782,0.06916964482346702,0.5,1
110,2,all_12,0.5,0.970514950166113,0.9642905057632845,0.070309500059912,0.525,1
110,3,all_12,0.5,0.9680232558139535,0.959925426398205,0.07228882782894676,0.55,3
110,4,all_12,0.5,0.9273255813953488,0.8855203259822729,0.08932100797670568,0.5,1
110,5,all_12,0.5,0.9244186046511629,0.8496680653101498,0.08284406345280856,0.5,1
110,6,all_12,0.5,0.9294019933554818,0.8848889939781952,0.09239964858876319,0.525,1
110,7,all_12,0.5,0.9306478405315614,0.8543398831034812,0.07777438968519838,0.5,1
110,8,all_12,0.5,0.9700996677740864,0.965769764022765,0.06645922961713593,0.5,1
110,9,all_12,0.5,0.9717607973421927,0.9649187074488169,0.06570983559186894,0.5,1
110,10,all_12,0.5,0.9779900332225914,0.9647217959814137,0.06505290357639397,0.525,2
