seed,fault_type,view,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
102,drift,B10,Always RO-PDRF-Lite,1.0,1180,3,3,1.0,2,2,0.0,1.0,0.514406779661017,8.474576271186441,1.0,8.474576271186441,0.514406779661017,0.8265753325939279,0.5907816668634668,2.236050522280956,0.7751876057977117,0.33621604278781203,0.3362160427878121,0.12947208463843593
102,drift,B10,Frozen Lite-CF (ungated),2.0,1180,3,1,0.3333333333333333,2,0,1.0,0.8720338983050847,0.514406779661017,8.474576271186441,1.0,8.474576271186441,0.514406779661017,0.8264561781323074,0.5901697102560889,2.2658185256587413,0.785318403718629,0.34175085497672875,0.3417508549767288,0.130713755231912
102,drift,B10,Prospective gate Lite-CF,2.0,1180,3,1,0.3333333333333333,2,0,1.0,0.8720338983050847,0.514406779661017,8.474576271186441,1.0,8.474576271186441,0.514406779661017,0.8264561781323074,0.5901697102560889,2.2658185256587413,0.785318403718629,0.34175085497672875,0.3417508549767288,0.130713755231912
102,drift,B10,All-row multinomial (utility 1:1),2.0,1180,3,1,0.3333333333333333,2,0,1.0,0.026271186440677965,0.514406779661017,8.474576271186441,1.0,8.474576271186441,0.514406779661017,0.8202505409987456,0.5848513487544924,2.5088938454026217,0.8136819654289623,0.3591590086499683,0.35915900864996836,0.13690439957391207
102,gaussian,B8-9_pooled,Always PDRF,1.0,256,9,0,0.0,3,0,1.0,0.0,0.546875,0.0,1.0,0.0,0.546875,0.8189678181511951,0.5812769042859328,2.3063490154232182,0.7012346636797211,0.25504251323567684,0.24917814482622347,0.11978670094731919
102,gaussian,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,9,9,1.0,3,3,0.0,1.0,0.5703125,234.375,1.0,234.375,0.5703125,0.8362689660904669,0.6095952469703795,1.8864118874460287,0.6467075488237294,0.221395745967722,0.2241933198219418,0.11338580887556904
102,gaussian,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,9,1,0.1111111111111111,3,0,1.0,0.69140625,0.55078125,39.0625,1.0,39.0625,0.55078125,0.8248206205181697,0.5930845833730863,2.066527344760792,0.6745678897577123,0.24525270398028054,0.23938833557082723,0.11475437505334608
102,gaussian,B8-9_pooled,Prospective gate Lite-CF,2.0,256,9,1,0.1111111111111111,3,0,1.0,0.69140625,0.55078125,39.0625,1.0,39.0625,0.55078125,0.8248206205181697,0.5930845833730863,2.066527344760792,0.6745678897577123,0.24525270398028054,0.23938833557082723,0.11475437505334608
102,gaussian,B8-9_pooled,All-row multinomial (utility 1:1),2.0,256,9,3,0.3333333333333333,3,1,0.6666666666666667,0.07421875,0.5546875,78.125,1.0,78.125,0.5546875,0.8206973440456586,0.5862424611413181,2.2895233203146006,0.6919461954346262,0.25627698613569583,0.25041261772624246,0.11919499646512764
102,gaussian,B10,Always PDRF,1.0,1180,28,0,0.0,13,0,1.0,0.0,0.45508474576271185,0.0,1.0,0.0,0.45508474576271185,0.775795703907761,0.49102225837515084,3.112011584809044,0.8620545640746725,0.3619684910563159,0.3607198886656688,0.1326366752752537
102,gaussian,B10,Always RO-PDRF-Lite,1.0,1180,28,28,1.0,13,13,0.0,1.0,0.46779661016949153,127.11864406779661,1.0,127.11864406779661,0.46779661016949153,0.7891245406808566,0.5099153285875783,2.597695920405579,0.8048911141691965,0.32518728942074526,0.3251872894207453,0.11989386510332171
102,gaussian,B10,Frozen Lite-CF (ungated),2.0,1180,28,1,0.03571428571428571,13,0,1.0,0.7322033898305085,0.4559322033898305,8.474576271186441,1.0,8.474576271186441,0.4559322033898305,0.7853018571561764,0.5042537275392787,2.7352127084821953,0.8348733434749013,0.35589331149143194,0.3546447091007848,0.12723551028264687
102,gaussian,B10,Prospective gate Lite-CF,2.0,1180,28,1,0.03571428571428571,13,0,1.0,0.7322033898305085,0.4559322033898305,8.474576271186441,1.0,8.474576271186441,0.4559322033898305,0.7853018571561764,0.5042537275392787,2.7352127084821953,0.8348733434749013,0.35589331149143194,0.3546447091007848,0.12723551028264687
102,gaussian,B10,All-row multinomial (utility 1:1),2.0,1180,28,3,0.10714285714285714,13,2,0.8461538461538461,0.059322033898305086,0.4559322033898305,8.474576271186441,1.0,8.474576271186441,0.4559322033898305,0.7766320203846359,0.49304767710602543,3.0946650118063417,0.8594247681994891,0.36779565223312366,0.3665470498424763,0.13208501777726822
102,offset,B8-9_pooled,Always PDRF,1.0,256,4,0,0.0,1,0,1.0,0.0,0.5234375,0.0,1.0,0.0,0.5234375,0.872516444863467,0.7162285241453471,1.5120833640350482,0.6966436333037849,0.26981588721945615,0.27765791034123555,0.1202778999791384
102,offset,B8-9_pooled,Always RO-PDRF-Lite,1.0,256,4,4,1.0,1,1,0.0,1.0,0.53515625,117.1875,1.0,117.1875,0.53515625,0.8796415523236693,0.7249770080490686,1.38211786982535,0.6542458705237805,0.24533371536281395,0.23837963549272562,0.11439403678832617
102,offset,B8-9_pooled,Frozen Lite-CF (ungated),2.0,256,4,1,0.25,1,0,1.0,0.7109375,0.52734375,39.0625,1.0,39.0625,0.52734375,0.8802045477640804,0.7264519786130642,1.4035195636818023,0.6664902600585749,0.2519982649441248,0.2556749702051028,0.11646971436155269
