seed,fault_type,batch,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
109,offset,8,Always PDRF,1.0,91,2,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.9079316767592078,0.7505110229995434,2.070084892782473,0.8157587976673185,0.35128720205331265,0.33386703369427423,0.16864987174632154
109,offset,8,Always RO-PDRF-Lite,1.0,91,2,2,1.0,1,1,0.0,1.0,0.4725274725274725,109.89010989010988,1.0,109.89010989010988,0.4725274725274725,0.9060042102459068,0.7586622813621001,1.8861552721133392,0.7498353691180314,0.32922591047747224,0.32922857067543587,0.15345191924565574
109,offset,8,Frozen Lite-CF (ungated),2.0,91,2,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.9079316767592078,0.7505110229995434,2.070084892782473,0.8157587976673185,0.35128720205331265,0.33386703369427423,0.16864987174632154
109,offset,8,Prospective gate Lite-CF,1.0,91,2,0,0.0,1,0,1.0,0.0,0.46153846153846156,0.0,1.0,0.0,0.46153846153846156,0.9079316767592078,0.7505110229995434,2.070084892782473,0.8157587976673185,0.35128720205331265,0.33386703369427423,0.16864987174632154
109,offset,8,All-row multinomial (utility 1:1),2.0,91,2,2,1.0,1,0,1.0,0.967032967032967,0.4835164835164835,219.78021978021977,1.0,219.78021978021977,0.4835164835164835,0.9057829096044382,0.7579656614123595,1.8912205462116436,0.7496447554790721,0.3317721538535462,0.32200373598317567,0.15392721230762643
109,offset,9,Always PDRF,1.0,165,12,0,0.0,0,0,1.0,0.0,0.46060606060606063,0.0,1.0,0.0,0.46060606060606063,0.8563453539069164,0.7680081366108547,1.9016162169352246,0.8543152244765734,0.3749765669205266,0.3675985253605132,0.1737805459728964
109,offset,9,Always RO-PDRF-Lite,1.0,165,12,12,1.0,0,0,1.0,1.0,0.5333333333333333,727.2727272727273,1.0,727.2727272727273,0.5333333333333333,0.867145477233955,0.7875037559067116,1.833412443466728,0.8009171892562698,0.35922246947086456,0.3539986173451528,0.16170033566505457
109,offset,9,Frozen Lite-CF (ungated),2.0,165,12,0,0.0,0,0,1.0,0.0,0.46060606060606063,0.0,1.0,0.0,0.46060606060606063,0.8563453539069164,0.7680081366108547,1.9016162169352246,0.8543152244765734,0.3749765669205266,0.3675985253605132,0.1737805459728964
109,offset,9,Prospective gate Lite-CF,1.0,165,12,0,0.0,0,0,1.0,0.0,0.46060606060606063,0.0,1.0,0.0,0.46060606060606063,0.8563453539069164,0.7680081366108547,1.9016162169352246,0.8543152244765734,0.3749765669205266,0.3675985253605132,0.1737805459728964
109,offset,9,All-row multinomial (utility 1:1),2.0,165,12,8,0.6666666666666666,0,0,1.0,0.9696969696969697,0.509090909090909,484.8484848484849,1.0,484.8484848484849,0.509090909090909,0.8667686637307103,0.7864382596572783,1.8455913172178902,0.8120237626652362,0.37461839601342606,0.3811044666840072,0.16360352384756993
