seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
101,drift,0.4,full_mixed_stream,Balanced-CF,4364,58,3,0.05172413793103448,92,11,0.11956521739130435,0.8804347826086957,0.6076993583868011,0.5614115490375802,,
101,drift,0.4,full_mixed_stream,Safe-CF,4364,58,0,0.0,92,8,0.08695652173913043,0.9130434782608696,0.3510540788267644,0.5614115490375802,,
101,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,68,3,0.04411764705882353,87,5,0.05747126436781609,0.9425287356321839,0.595096241979835,0.5515582034830431,,
101,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,68,1,0.014705882352941176,87,4,0.04597701149425287,0.9540229885057472,0.35747021081576535,0.5513290559120073,,
101,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,128,33,0.2578125,139,29,0.20863309352517986,0.7913669064748201,0.669340054995417,0.5309349220898258,,
101,gaussian,0.7,full_mixed_stream,Safe-CF,4364,128,27,0.2109375,139,22,0.15827338129496402,0.841726618705036,0.422089825847846,0.5311640696608616,,
101,offset,0.7,full_mixed_stream,Balanced-CF,4364,55,2,0.03636363636363636,85,10,0.11764705882352941,0.8823529411764706,0.6111365719523373,0.5286434463794684,,
101,offset,0.7,full_mixed_stream,Safe-CF,4364,55,2,0.03636363636363636,85,6,0.07058823529411765,0.9294117647058824,0.363198900091659,0.5295600366636114,,
101,drift,0.7,full_mixed_stream,Balanced-CF,4364,57,2,0.03508771929824561,82,12,0.14634146341463414,0.8536585365853658,0.6148029330889092,0.5405591200733272,,
101,drift,0.7,full_mixed_stream,Safe-CF,4364,57,0,0.0,82,8,0.0975609756097561,0.9024390243902439,0.3599908340971586,0.5410174152153987,,
101,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,76,2,0.02631578947368421,82,5,0.06097560975609756,0.9390243902439024,0.594179651695692,0.5240604949587534,,
101,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,76,2,0.02631578947368421,82,4,0.04878048780487805,0.9512195121951219,0.3636571952337305,0.5242896425297892,,
101,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,65,2,0.03076923076923077,93,10,0.10752688172043011,0.8924731182795699,0.6024289642529789,0.5820348304307974,0.6024289642529789,0.00229147571035747
101,none,0.0,clean_no_imposed_fault,Safe-CF,4364,65,0,0.0,93,6,0.06451612903225806,0.935483870967742,0.3489917506874427,0.5824931255728689,0.3489917506874427,0.001374885426214482
102,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,62,24,0.3870967741935484,51,12,0.23529411764705882,0.7647058823529411,0.7348762603116407,0.5781393217231897,,
102,gaussian,0.1,full_mixed_stream,Safe-CF,4364,62,8,0.12903225806451613,51,5,0.09803921568627451,0.9019607843137255,0.5016040329972502,0.576076993583868,,
102,offset,0.1,full_mixed_stream,Balanced-CF,4364,43,9,0.20930232558139536,48,12,0.25,0.75,0.7401466544454629,0.5790559120073328,,
102,offset,0.1,full_mixed_stream,Safe-CF,4364,43,1,0.023255813953488372,48,5,0.10416666666666667,0.8958333333333334,0.502749770852429,0.578826764436297,,
102,drift,0.1,full_mixed_stream,Balanced-CF,4364,43,9,0.20930232558139536,49,12,0.24489795918367346,0.7551020408163265,0.7399175068744271,0.5804307974335472,,
102,drift,0.1,full_mixed_stream,Safe-CF,4364,43,1,0.023255813953488372,49,5,0.10204081632653061,0.8979591836734694,0.5032080659945004,0.5802016498625114,,
102,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,44,9,0.20454545454545456,48,12,0.25,0.75,0.7325847846012832,0.5785976168652612,,
102,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,44,1,0.022727272727272728,48,5,0.10416666666666667,0.8958333333333334,0.4979376718606783,0.5783684692942255,,
102,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,80,27,0.3375,53,17,0.32075471698113206,0.679245283018868,0.7532080659945004,0.5520164986251146,,
102,gaussian,0.4,full_mixed_stream,Safe-CF,4364,80,8,0.1,53,6,0.11320754716981132,0.8867924528301887,0.5217690192483959,0.5501833180568286,,
