calibration_regime,method,heldout_or_test_mechanism,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
leave_one_mechanism_out,All-row multinomial,drift,negative_transfer_prevention,10,0.9022988505747126,0.7581775196937269,1.0464201814556982,1.0,0.95,1.0,0.4,1.0
leave_one_mechanism_out,All-row multinomial,drift,recovery_retention,10,0.0933077242524917,-0.017579659963893213,0.20419510846887662,0.0,0.0,0.1558139534883721,0.0,0.42857142857142855
leave_one_mechanism_out,All-row multinomial,drift,utility_per_10000,10,7.66016713091922,-5.509427347064472,20.829761608902913,0.0,0.0,5.222841225626741,-6.963788300835654,55.710306406685234
leave_one_mechanism_out,All-row multinomial,drift,macro_auroc,10,0.8291380270028297,0.8191142912776634,0.8391617627279959,0.8347842586711018,0.8177307357532958,0.8391452274115665,0.8061840355917056,0.8441991225697406
leave_one_mechanism_out,All-row multinomial,gaussian,negative_transfer_prevention,10,0.8686460802269627,0.7840031402618036,0.9532890201921217,0.8675213675213675,0.7844669117647058,0.9852941176470589,0.6875,1.0
leave_one_mechanism_out,All-row multinomial,gaussian,recovery_retention,10,0.1368587126206465,0.03661122984979906,0.23710619539149394,0.0757000474608448,0.033163265306122444,0.23243243243243245,0.0,0.42105263157894735
leave_one_mechanism_out,All-row multinomial,gaussian,utility_per_10000,10,28.551532033426177,1.9363689490901699,55.16669511776219,13.927576601671309,0.0,53.969359331476326,-6.963788300835654,97.49303621169916
leave_one_mechanism_out,All-row multinomial,gaussian,macro_auroc,10,0.7853795816875404,0.7771300210794373,0.7936291422956435,0.7892172268090518,0.7748932884989426,0.7932512091389698,0.7688370435443129,0.8015716613658298
leave_one_mechanism_out,All-row multinomial,offset,negative_transfer_prevention,10,0.9675500175500176,0.9268500045809236,1.0082500305191116,1.0,0.9464285714285714,1.0,0.8378378378378378,1.0
leave_one_mechanism_out,All-row multinomial,offset,recovery_retention,10,0.17915936587400916,0.03310372305253839,0.3252150086954799,0.1488095238095238,0.0,0.27811550151975684,0.0,0.6
leave_one_mechanism_out,All-row multinomial,offset,utility_per_10000,10,29.24791086350975,5.554042770286163,52.94177895673333,20.891364902506965,0.0,52.228412256267404,0.0,83.56545961002786
leave_one_mechanism_out,All-row multinomial,offset,macro_auroc,10,0.8209187828708305,0.8105256081226764,0.8313119576189847,0.8252113252776112,0.8112372133850445,0.8323607755835674,0.7934239348812601,0.836292210747423
leave_one_mechanism_out,All-row multinomial,stuck_at,negative_transfer_prevention,10,0.9655058651026392,0.9251514970114497,1.0058602331938287,1.0,0.9318181818181818,1.0,0.8709677419354839,1.0
leave_one_mechanism_out,All-row multinomial,stuck_at,recovery_retention,10,0.14347512919896638,0.017706181577418656,0.2692440768205141,0.05813953488372093,0.0,0.24305555555555555,0.0,0.44
leave_one_mechanism_out,All-row multinomial,stuck_at,utility_per_10000,10,36.211699164345404,3.944366067841635,68.47903226084918,13.927576601671309,0.0,66.15598885793871,0.0,125.34818941504179
leave_one_mechanism_out,All-row multinomial,stuck_at,macro_auroc,10,0.8125017267966361,0.8047626141752279,0.8202408394180444,0.8111348968671217,0.8024509458333804,0.8214611448005642,0.7996882568403348,0.8278694489190596
