seed,calibration_group,test_group,fault_type,threshold,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
102,1,4,offset,0.5,All-row multinomial,2.0,1393,24,9,0.375,16,8,0.5,0.08470926058865758,0.40344580043072503,7.178750897343862,1.0,7.178750897343862,0.40344580043072503,0.8223017061445117,0.5561996888057831,3.534663401437578,0.9789812973129175,0.4330771486177202,0.4328468580516724,0.17822469854369638
102,1,4,stuck_at,0.775,Conditional Lite-CF,2.0,1393,11,3,0.2727272727272727,6,0,1.0,0.8628858578607322,0.36683417085427134,21.536252692031585,1.0,21.536252692031585,0.36683417085427134,0.7897464283426087,0.45501425274237833,3.7925050997511636,1.0619709559845485,0.48826336401630777,0.4882633640163078,0.18813142427790186
102,1,4,stuck_at,0.5,All-row multinomial,2.0,1393,11,4,0.36363636363636365,6,2,0.6666666666666667,0.08111988513998564,0.36611629576453697,14.357501794687725,1.0,14.357501794687725,0.36611629576453697,0.7823139126872186,0.44468218360274864,4.180315880135812,1.0852122651098441,0.4998653121501916,0.49986531215019175,0.19145394361100454
103,1,1,drift,0.9,Conditional Lite-CF,2.0,1436,28,0,0.0,5,0,1.0,0.6427576601671309,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8121133494451996,0.5685464953610497,3.1976937601471955,0.8986856992515025,0.4103073620927258,0.4091799862014676,0.1510754219855942
103,1,1,drift,0.5,All-row multinomial,2.0,1436,28,0,0.0,5,0,1.0,0.016016713091922007,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.806724768447514,0.5581440119751252,3.4582942490117237,0.9026594467364552,0.4157076822269013,0.41458030633564297,0.1511415623639332
103,1,1,gaussian,0.9,Conditional Lite-CF,2.0,1436,49,0,0.0,15,0,1.0,0.48676880222841223,0.44707520891364905,0.0,1.0,0.0,0.44707520891364905,0.774255659737897,0.48108874172013466,3.8681893158039236,0.912900058935743,0.41569763512123314,0.41555099995515515,0.1455344195301916
103,1,1,gaussian,0.5,All-row multinomial,2.0,1436,49,3,0.061224489795918366,15,0,1.0,0.013231197771587743,0.4491643454038997,20.891364902506965,1.0,20.891364902506965,0.4491643454038997,0.7703161645274905,0.4756659458568901,4.157911386830813,0.9127671610136153,0.41689298716097656,0.4167463519948986,0.1458547352426148
103,1,1,offset,0.9,Conditional Lite-CF,2.0,1436,42,0,0.0,3,0,1.0,0.6525069637883009,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.8036820518205965,0.5506093663288959,3.470090181655177,0.9653625550710687,0.45095962898801634,0.44930797223221336,0.1635935777828779
103,1,1,offset,0.5,All-row multinomial,2.0,1436,42,0,0.0,3,0,1.0,0.00766016713091922,0.4610027855153203,0.0,1.0,0.0,0.4610027855153203,0.7934253720347666,0.5376844029406428,3.856074649431193,0.9713331390733672,0.4549996393591581,0.45406964090842405,0.16408852023154105
103,1,1,stuck_at,0.9,Conditional Lite-CF,2.0,1436,35,0,0.0,13,0,1.0,0.46935933147632314,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.8079595459658284,0.5536716622424747,2.834417375883667,0.8842775612724603,0.3940277108433863,0.39309381652683445,0.1460317955066284
103,1,1,stuck_at,0.5,All-row multinomial,2.0,1436,35,0,0.0,13,0,1.0,0.011142061281337047,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7999153115478915,0.5458040911387295,3.0563978226563346,0.8899807783792587,0.3990447732696718,0.39811087895311986,0.14689103900020442
103,1,2,drift,0.9,Conditional Lite-CF,2.0,1397,40,0,0.0,2,0,1.0,0.7308518253400144,0.35790980672870437,0.0,1.0,0.0,0.35790980672870437,0.7850083008010972,0.4823011164164977,5.730046397392162,1.1814241479426397,0.576875010002063,0.5764746654672481,0.20151291512292482
103,1,2,drift,0.5,All-row multinomial,2.0,1397,40,0,0.0,2,0,1.0,0.009305654974946313,0.35790980672870437,0.0,1.0,0.0,0.35790980672870437,0.7754468669128776,0.47386112618279363,6.539665347841785,1.187295446986543,0.5814112556892912,0.5810109111544762,0.20215621020353872
103,1,2,gaussian,0.9,Conditional Lite-CF,2.0,1397,38,0,0.0,23,0,1.0,0.5340014316392269,0.45454545454545453,0.0,1.0,0.0,0.45454545454545453,0.7930544377313034,0.4881779076464748,3.748237217928964,0.912260401977142,0.4150661480646356,0.4150021826613291,0.14612577258485168
103,1,2,gaussian,0.5,All-row multinomial,2.0,1397,38,0,0.0,23,0,1.0,0.0071581961345740875,0.45454545454545453,0.0,1.0,0.0,0.45454545454545453,0.7896724010489263,0.48130762016893497,3.994238004192847,0.9159003467690308,0.4179424880811009,0.41787852267779424,0.1467698045307488
103,1,2,offset,0.9,Conditional Lite-CF,2.0,1397,73,0,0.0,0,0,1.0,0.8138869005010737,0.23335719398711524,0.0,1.0,0.0,0.23335719398711524,0.7804098433100869,0.4666015471586173,8.030012668438719,1.442221490061722,0.7235814174963711,0.723581417496371,0.24671824227701156
103,1,2,offset,0.5,All-row multinomial,2.0,1397,73,5,0.0684931506849315,0,0,1.0,0.01145311381531854,0.23693629205440228,35.79098067287044,1.0,35.79098067287044,0.23693629205440228,0.7705737291744659,0.4586754129805177,9.554939583089036,1.447912115022273,0.7256042221186827,0.7256042221186827,0.24670315992961026
103,1,2,stuck_at,0.9,Conditional Lite-CF,2.0,1397,53,4,0.07547169811320754,0,0,1.0,0.8525411596277738,0.21546170365068004,28.63278453829635,1.0,28.63278453829635,0.21546170365068004,0.7656510877268813,0.447471778214765,8.978277908748634,1.5081895537289436,0.7553703526226742,0.7545656038832852,0.25624241998849245
103,1,2,stuck_at,0.5,All-row multinomial,2.0,1397,53,6,0.11320754716981132,0,0,1.0,0.008589835361488905,0.21689334287759485,42.94917680744452,1.0,42.94917680744452,0.21689334287759485,0.7566107891003515,0.4421141399138424,10.787846169726938,1.517675987668804,0.7592638190270342,0.7584590702876456,0.25673863807610686
103,1,3,drift,0.9,Conditional Lite-CF,2.0,1401,14,0,0.0,11,0,1.0,0.4025695931477516,0.4860813704496788,0.0,1.0,0.0,0.4860813704496788,0.836932899035657,0.5853647010894317,2.6832975475994987,0.800800798228206,0.33921961396126443,0.33921961396126443,0.13239878418135695
103,1,3,drift,0.5,All-row multinomial,2.0,1401,14,0,0.0,11,0,1.0,0.0007137758743754461,0.4860813704496788,0.0,1.0,0.0,0.4860813704496788,0.8373568336910195,0.5837685874539021,2.7370665656081523,0.8019496054972359,0.3406407750335465,0.3406407750335465,0.13282476410424213
