seed,fault_type,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
103,stuck_at,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
103,stuck_at,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,1.0,0.0,0.0,13.927576601671309,2.0,-13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,1.0,0.5,0.0,13.927576601671309,2.0,-14.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,1.0,2.0,0.0,13.927576601671309,2.0,-15.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,2.0,0.0,0.0,13.927576601671309,2.0,-27.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,2.0,0.5,0.0,13.927576601671309,2.0,-28.355153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,2.0,2.0,0.0,13.927576601671309,2.0,-29.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,5.0,0.0,0.0,13.927576601671309,2.0,-69.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,5.0,0.5,0.0,13.927576601671309,2.0,-70.13788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,5.0,2.0,0.0,13.927576601671309,2.0,-71.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,10.0,0.0,0.0,13.927576601671309,2.0,-139.27576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,10.0,0.5,0.0,13.927576601671309,2.0,-139.77576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,gaussian,Lite-CF,10.0,2.0,0.0,13.927576601671309,2.0,-141.27576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,1.0,0.0,0.0,13.927576601671309,2.0,-13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,1.0,0.5,0.0,13.927576601671309,2.0,-14.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,1.0,2.0,0.0,13.927576601671309,2.0,-15.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,2.0,0.0,0.0,13.927576601671309,2.0,-27.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,2.0,0.5,0.0,13.927576601671309,2.0,-28.355153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,2.0,2.0,0.0,13.927576601671309,2.0,-29.855153203342617,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,5.0,0.0,0.0,13.927576601671309,2.0,-69.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,5.0,0.5,0.0,13.927576601671309,2.0,-70.13788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,5.0,2.0,0.0,13.927576601671309,2.0,-71.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,10.0,0.0,0.0,13.927576601671309,2.0,-139.27576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,10.0,0.5,0.0,13.927576601671309,2.0,-139.77576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,offset,Lite-CF,10.0,2.0,0.0,13.927576601671309,2.0,-141.27576601671308,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,drift,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,1.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,2.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,2.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,2.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,5.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,5.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,5.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,10.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,10.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
104,stuck_at,Lite-CF,10.0,2.0,0.0,0.0,2.0,-2.0,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,1.0,0.0,48.74651810584958,13.927576601671309,2.0,34.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,1.0,0.5,48.74651810584958,13.927576601671309,2.0,34.31894150417827,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,1.0,2.0,48.74651810584958,13.927576601671309,2.0,32.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,2.0,0.0,48.74651810584958,13.927576601671309,2.0,20.891364902506965,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,2.0,0.5,48.74651810584958,13.927576601671309,2.0,20.391364902506965,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,2.0,2.0,48.74651810584958,13.927576601671309,2.0,18.891364902506965,forward-pass/FLOP penalty proxy; energy was not measured
105,gaussian,Lite-CF,5.0,0.0,48.74651810584958,13.927576601671309,2.0,-20.891364902506957,forward-pass/FLOP penalty proxy; energy was not measured
