held_out_building,seed,method,metric,value
auditorium,102,RC-PDRF-NOQ,native_sensor_fault_recall,0.9349859681945744
auditorium,102,RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.40091219544410706
auditorium,102,RC-PDRF-NOQ,train_seconds,39.28534580000269
auditorium,102,RC-PDRF-NOQ,inference_seconds,0.030842399995890446
auditorium,103,EF-PD,accuracy,0.9963115608512276
auditorium,103,EF-PD,macro_f1,0.9729551749813535
auditorium,103,EF-PD,macro_auroc,0.9997566665425485
auditorium,103,EF-PD,macro_auprc,0.9969377632576679
auditorium,103,EF-PD,nll,0.00836720624765691
auditorium,103,EF-PD,class_1_precision,0.9991845157854444
auditorium,103,EF-PD,class_1_recall,0.9969943041232834
auditorium,103,EF-PD,class_1_f1,0.9980882084019085
auditorium,103,EF-PD,class_1_auroc,0.9997566684843229
auditorium,103,EF-PD,class_1_auprc,0.9999913381808005
auditorium,103,EF-PD,class_2_precision,0.9202643171806167
auditorium,103,EF-PD,class_2_recall,0.9770813844714686
auditorium,103,EF-PD,class_2_f1,0.9478221415607986
auditorium,103,EF-PD,class_2_auroc,0.9997566646007741
auditorium,103,EF-PD,class_2_auprc,0.9938841883345353
auditorium,103,EF-PD,balanced_accuracy,0.987037844297376
auditorium,103,EF-PD,native_sensor_fault_recall,0.9770813844714686
auditorium,103,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,103,EF-PD,train_seconds,12.28174289999879
auditorium,103,EF-PD,inference_seconds,0.012134100004914217
auditorium,103,UF-PD,accuracy,0.9684879003159228
auditorium,103,UF-PD,macro_f1,0.828326925010133
auditorium,103,UF-PD,macro_auroc,0.9912715241224845
auditorium,103,UF-PD,macro_auprc,0.9138919117493305
auditorium,103,UF-PD,nll,0.08616964734779682
auditorium,103,UF-PD,class_1_precision,0.9980506822612085
auditorium,103,UF-PD,class_1_recall,0.9692621929955662
auditorium,103,UF-PD,class_1_f1,0.9834458007935906
auditorium,103,UF-PD,class_1_auroc,0.9912715260642591
auditorium,103,UF-PD,class_1_auprc,0.9996834979218171
auditorium,103,UF-PD,class_2_precision,0.5223225806451612
auditorium,103,UF-PD,class_2_recall,0.9466791393826005
