dataset,task,seed,method,training_forward_paths,inference_forward_paths,parameters,train_seconds,epochs,inference_ms_per_observation
hydraulic,valve,101,RO-CAGF,3,1,38009,11.223317099997075,80,0.01512339443861242
hydraulic,valve,101,PDRF,3,1,29465,12.307976999989478,80,0.011646789028693776
hydraulic,valve,101,RO-PDRF,3,1,29465,14.252754699991783,80,0.012127522896086677
hydraulic,valve,102,CAGF,3,1,38009,9.631272600003285,80,0.014104587218185903
hydraulic,valve,102,RO-CAGF,3,1,38009,11.354186400014441,80,0.013755963246953254
hydraulic,valve,102,PDRF,3,1,29465,12.523680000012973,80,0.011708715705226663
hydraulic,valve,102,RO-PDRF,3,1,29465,14.062254399992526,80,0.018200000006825142
hydraulic,valve,103,CAGF,3,1,38009,9.588599199982127,79,0.012516513746659007
hydraulic,valve,103,RO-CAGF,3,1,38009,11.458852800016757,80,0.012774770591331116
hydraulic,valve,103,PDRF,3,1,29465,12.56747149999137,80,0.01368577989382208
hydraulic,valve,103,RO-PDRF,3,1,29465,14.096815600001719,80,0.01213669727787102
hydraulic,valve,104,CAGF,3,1,38009,9.835398399998667,80,0.012529357747653277
hydraulic,valve,104,RO-CAGF,3,1,38009,11.109892600012245,80,0.012597247772345986
hydraulic,valve,104,PDRF,3,1,29465,12.563520499999868,80,0.011606422015850286
hydraulic,valve,104,RO-PDRF,3,1,29465,13.98252119999961,80,0.013276605536828006
hydraulic,valve,105,CAGF,3,1,38009,8.97338359997957,80,0.012230733890137678
hydraulic,valve,105,RO-CAGF,3,1,38009,10.410237399977632,80,0.010628440393852669
hydraulic,valve,105,PDRF,3,1,29465,11.388254199991934,80,0.01158990826214228
hydraulic,valve,105,RO-PDRF,3,1,29465,12.769781100010732,80,0.0110880734501492
hydraulic,pump,101,CAGF,3,1,37844,8.859418699983507,80,0.011529816461966262
hydraulic,pump,101,RO-CAGF,3,1,37844,9.367790999996942,75,0.01517660545245018
hydraulic,pump,101,PDRF,3,1,29300,11.520112199999858,80,0.012190366877294188
hydraulic,pump,101,RO-PDRF,3,1,29300,12.644608000002336,80,0.011112844013959306
hydraulic,pump,102,CAGF,3,1,37844,8.675511200010078,80,0.011572935789345054
hydraulic,pump,102,RO-CAGF,3,1,37844,10.071223600010853,80,0.015521559670969092
hydraulic,pump,102,PDRF,3,1,29300,11.458418599999277,80,0.011875687985159799
hydraulic,pump,102,RO-PDRF,3,1,29300,12.785396799998125,80,0.01148486239173441
hydraulic,pump,103,CAGF,3,1,37844,7.925576699984958,73,0.010873853237530507
hydraulic,pump,103,RO-CAGF,3,1,37844,8.77833400000236,69,0.014934862361486079
hydraulic,pump,103,PDRF,3,1,29300,11.310452999983681,80,0.010542201872598892
hydraulic,pump,103,RO-PDRF,3,1,29300,12.735881400003564,80,0.011857339355094922
hydraulic,pump,104,CAGF,3,1,37844,8.826335099991411,80,0.010736697164381248
hydraulic,pump,104,RO-CAGF,3,1,37844,10.171671899996,80,0.013587614676248657
hydraulic,pump,104,PDRF,3,1,29300,11.323822200007271,80,0.011332110003055578
hydraulic,pump,104,RO-PDRF,3,1,29300,11.814236500009429,74,0.01115733949860575
hydraulic,pump,105,CAGF,3,1,37844,8.8711798999866,80,0.012562385255069293
hydraulic,pump,105,RO-CAGF,3,1,37844,9.253099599998677,74,0.01392110091753714
hydraulic,pump,105,PDRF,3,1,29300,11.317210000008345,80,0.012271559755574195
hydraulic,pump,105,RO-PDRF,3,1,29300,12.736945799988462,80,0.013407798128313633
hydraulic,accumulator,101,CAGF,3,1,38009,8.98379220001516,80,0.01160275226313655
hydraulic,accumulator,101,RO-CAGF,3,1,38009,9.70433709997451,80,0.015272477074577516
hydraulic,accumulator,101,PDRF,3,1,29465,10.54681560001336,80,0.010283486308837566
hydraulic,accumulator,101,RO-PDRF,3,1,29465,11.985918699996546,80,0.009723394573025337
hydraulic,accumulator,102,CAGF,3,1,38009,8.037956999993185,80,0.010642201833025373
hydraulic,accumulator,102,RO-CAGF,3,1,38009,9.586466200009454,80,0.010585321066473875
hydraulic,accumulator,102,PDRF,3,1,29465,10.613852599984966,80,0.01098486232259439
hydraulic,accumulator,102,RO-PDRF,3,1,29465,11.94907649999368,80,0.011143119340343828
hydraulic,accumulator,103,CAGF,3,1,38009,8.377159399999073,80,0.0098825688954494
hydraulic,accumulator,103,RO-CAGF,3,1,38009,9.579802599997493,80,0.010061926590791399
hydraulic,accumulator,103,PDRF,3,1,29465,10.324680499994429,80,0.010229357723317562
hydraulic,accumulator,103,RO-PDRF,3,1,29465,11.844852899987018,80,0.01015871551759336
hydraulic,accumulator,104,CAGF,3,1,38009,7.825906800018856,76,0.010599999943825015
hydraulic,accumulator,104,RO-CAGF,3,1,38009,8.98370199999772,76,0.012011009181952189
hydraulic,accumulator,104,PDRF,3,1,29465,10.359963299997617,80,0.010371100853855184
hydraulic,accumulator,104,RO-PDRF,3,1,29465,12.063784800004214,80,0.010216513722323291
hydraulic,accumulator,105,CAGF,3,1,38009,8.144576799997594,80,0.009478899034022123
hydraulic,accumulator,105,RO-CAGF,3,1,38009,9.790595900005428,80,0.010320642288056535
hydraulic,accumulator,105,PDRF,3,1,29465,10.383517000009306,80,0.009461009123046463
hydraulic,accumulator,105,RO-PDRF,3,1,29465,11.897335199988447,80,0.010752752332503848
