dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,nll,1.7324849939937723
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,brier,0.6667841347171363
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,all,ece15,0.22435249063834264
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,accuracy,0.48804891606448025
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_f1,0.44881341102307903
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_auroc,0.8213684425899231
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,macro_auprc,0.5360455496744349
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,nll,1.8042057511619032
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,brier,0.70415435766222
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,affected,ece15,0.24841687717724006
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,accuracy,0.5610136452241715
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_f1,0.5340620281900822
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_auroc,0.8389593136819472
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,macro_auprc,0.592255479494134
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,nll,1.6821825993951491
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,brier,0.6405739861486351
chemical,gas_class,101,CAGF,group:1,silent_gaussian,1,3.0,0.4,unaffected,ece15,0.2074746045801375
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,accuracy,0.553391384051329
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_f1,0.5249419785364182
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_auroc,0.8378345296415076
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,macro_auprc,0.573561889327383
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,nll,1.6871458355112727
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,brier,0.6485501856697364
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,all,ece15,0.21143306085650357
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,accuracy,0.5453527435610303
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_f1,0.506968745951563
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_auroc,0.8388397037690739
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,macro_auprc,0.5578288510818276
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,nll,1.7735582458632115
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,brier,0.6649839783631285
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,affected,ece15,0.23284499470691
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,accuracy,0.5589604344453064
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_f1,0.5353664746091021
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_auroc,0.8400374852463668
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,macro_auprc,0.5998002018619201
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,nll,1.62728060475543
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,brier,0.6371650988774951
chemical,gas_class,101,CAGF,group:2,silent_gaussian,2,3.0,0.4,unaffected,ece15,0.19659914460128552
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,accuracy,0.5458295142071494
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_f1,0.5210374168311535
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_auroc,0.8356122748862272
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,macro_auprc,0.5779752598956266
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,nll,1.690614076504611
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,brier,0.6499017704532305
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,all,ece15,0.20821250187050414
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,accuracy,0.5080738177623991
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_f1,0.48949120895903464
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_auroc,0.8143538785043251
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,macro_auprc,0.5432470890956862
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,nll,1.873209354511685
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,brier,0.6941904995926824
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,affected,ece15,0.2279677679364794
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,accuracy,0.570722433460076
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_f1,0.5399489374690326
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_auroc,0.8488472248219918
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,macro_auprc,0.6041644837138561
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,nll,1.5702261631721903
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,brier,0.6207015208989302
chemical,gas_class,101,CAGF,group:3,silent_gaussian,3,3.0,0.4,unaffected,ece15,0.19518753119068
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,accuracy,0.5258936755270394
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_f1,0.5015245308620814
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_auroc,0.8147623765000916
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,macro_auprc,0.5396996267012887
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,nll,1.9388737807885348
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,brier,0.7149424179872592
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,all,ece15,0.24314566537068594
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,accuracy,0.4494252873563218
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_f1,0.4289621407167001
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_auroc,0.7713727784275419
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,macro_auprc,0.45866776708357654
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,nll,2.449575123701528
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,brier,0.8688088829811851
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,affected,ece15,0.33357218163109376
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,accuracy,0.5766006097560976
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_f1,0.5485544324469397
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_auroc,0.84655043106266
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,macro_auprc,0.606121070440059
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,nll,1.6002227378508023
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,brier,0.612912063913543
chemical,gas_class,101,CAGF,group:4,silent_gaussian,4,3.0,0.4,unaffected,ece15,0.18318291169750256
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,accuracy,0.537121906507791
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_f1,0.5057132173386243
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_auroc,0.8305086138189542
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,macro_auprc,0.5676248811574158
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,nll,1.7354426937998086
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,brier,0.6764506983023233
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,all,ece15,0.22468370110766261
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,accuracy,0.4910662824207493
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_f1,0.4535634455174478
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_auroc,0.8082500353981712
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,macro_auprc,0.5318300806329131
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,nll,1.946189378496305
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,brier,0.7521630429610189
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,affected,ece15,0.2736560253829021
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,accuracy,0.5675161658425256
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_f1,0.5376521925617729
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_auroc,0.8448687704127836
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,macro_auprc,0.5939867738259211
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,nll,1.596361104622014
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,brier,0.6264845826755308
chemical,gas_class,101,CAGF,scale:1,silent_gaussian,1,1.0,0.4,unaffected,ece15,0.19236457333133083
chemical,gas_class,101,CAGF,scale:3,silent_gaussian,1,3.0,0.4,all,accuracy,0.5375802016498625
chemical,gas_class,101,CAGF,scale:3,silent_gaussian,1,3.0,0.4,all,macro_f1,0.504781346838186
