building,seed,method,metric,value
auditorium,102,CAGF,class_2_recall,0.6798245614035088
auditorium,102,CAGF,class_2_f1,0.6458333333333334
auditorium,102,CAGF,class_2_auroc,0.98967861248563
auditorium,102,CAGF,class_2_auprc,0.804098536624958
auditorium,102,CAGF,balanced_accuracy,0.8345977946180375
auditorium,102,CAGF,native_sensor_fault_recall,0.6798245614035088
auditorium,102,CAGF,mean_temperature_group_weight_on_faults,0.0003477604186628014
auditorium,102,CAGF,train_seconds,7.624404399990453
auditorium,102,CAGF,inference_seconds,0.01148319999629166
auditorium,102,CAGF,recall_return_air_temperature_fault,0.5921787709497207
auditorium,102,CAGF,recall_supply_air_temperature_fault,1.0
auditorium,102,ENT-PD,accuracy,0.9550994227068633
auditorium,102,ENT-PD,macro_f1,0.7290075861983337
auditorium,102,ENT-PD,macro_auroc,0.977425689470224
auditorium,102,ENT-PD,macro_auprc,0.8078735203731127
auditorium,102,ENT-PD,nll,0.1009036348634404
auditorium,102,ENT-PD,class_1_precision,0.9962380300957593
auditorium,102,ENT-PD,class_1_recall,0.9575936883629191
auditorium,102,ENT-PD,class_1_f1,0.976533690915186
auditorium,102,ENT-PD,class_1_auroc,0.977425689470224
auditorium,102,ENT-PD,class_1_auprc,0.9994207770385253
auditorium,102,ENT-PD,class_2_precision,0.33505154639175255
auditorium,102,ENT-PD,class_2_recall,0.8552631578947368
auditorium,102,ENT-PD,class_2_f1,0.48148148148148145
auditorium,102,ENT-PD,class_2_auroc,0.9774256894702239
auditorium,102,ENT-PD,class_2_auprc,0.6163262637077002
auditorium,102,ENT-PD,balanced_accuracy,0.906428423128828
auditorium,102,ENT-PD,native_sensor_fault_recall,0.8552631578947368
auditorium,102,ENT-PD,mean_temperature_group_weight_on_faults,0.35638701915740967
auditorium,102,ENT-PD,train_seconds,7.699027099995874
auditorium,102,ENT-PD,inference_seconds,0.008800399999017827
auditorium,102,ENT-PD,recall_return_air_temperature_fault,0.8268156424581006
auditorium,102,ENT-PD,recall_supply_air_temperature_fault,0.9591836734693877
auditorium,102,PDRF-NOQ,accuracy,0.9322215095146461
auditorium,102,PDRF-NOQ,macro_f1,0.6874116594363745
auditorium,102,PDRF-NOQ,macro_auroc,0.9834432948468037
auditorium,102,PDRF-NOQ,macro_auprc,0.7945007274039414
auditorium,102,PDRF-NOQ,nll,0.15060808023057856
auditorium,102,PDRF-NOQ,class_1_precision,0.9991770514930637
auditorium,102,PDRF-NOQ,class_1_recall,0.9312952005259697
auditorium,102,PDRF-NOQ,class_1_f1,0.9640426497277677
auditorium,102,PDRF-NOQ,class_1_auroc,0.9834432948468037
auditorium,102,PDRF-NOQ,class_1_auprc,0.9995821825530395
auditorium,102,PDRF-NOQ,class_2_precision,0.2606132075471698
auditorium,102,PDRF-NOQ,class_2_recall,0.9692982456140351
auditorium,102,PDRF-NOQ,class_2_f1,0.4107806691449814
auditorium,102,PDRF-NOQ,class_2_auroc,0.9834432948468036
auditorium,102,PDRF-NOQ,class_2_auprc,0.5894192722548433
auditorium,102,PDRF-NOQ,balanced_accuracy,0.9502967230700023
auditorium,102,PDRF-NOQ,native_sensor_fault_recall,0.9692982456140351
auditorium,102,PDRF-NOQ,mean_temperature_group_weight_on_faults,0.4034976065158844
auditorium,102,PDRF-NOQ,train_seconds,9.983426900013
auditorium,102,PDRF-NOQ,inference_seconds,0.010277499997755513
auditorium,102,PDRF-NOQ,recall_return_air_temperature_fault,0.9608938547486033
auditorium,102,PDRF-NOQ,recall_supply_air_temperature_fault,1.0
auditorium,102,RC-PDRF-NOQ,accuracy,0.9359632242890742
auditorium,102,RC-PDRF-NOQ,macro_f1,0.6925624144478127
auditorium,102,RC-PDRF-NOQ,macro_auroc,0.9824489313355711
auditorium,102,RC-PDRF-NOQ,macro_auprc,0.7876800502793571
auditorium,102,RC-PDRF-NOQ,nll,0.13771968740182502
auditorium,102,RC-PDRF-NOQ,class_1_precision,0.998596655361946
auditorium,102,RC-PDRF-NOQ,class_1_recall,0.935678281832128
auditorium,102,RC-PDRF-NOQ,class_1_f1,0.9661141596424733
auditorium,102,RC-PDRF-NOQ,class_1_auroc,0.9824489313355711
auditorium,102,RC-PDRF-NOQ,class_1_auprc,0.9995567779335521
auditorium,102,RC-PDRF-NOQ,class_2_precision,0.26899128268991285
auditorium,102,RC-PDRF-NOQ,class_2_recall,0.9473684210526315
auditorium,102,RC-PDRF-NOQ,class_2_f1,0.4190106692531523
auditorium,102,RC-PDRF-NOQ,class_2_auroc,0.9824489313355711
auditorium,102,RC-PDRF-NOQ,class_2_auprc,0.5758033226251619
auditorium,102,RC-PDRF-NOQ,balanced_accuracy,0.9415233514423798
auditorium,102,RC-PDRF-NOQ,native_sensor_fault_recall,0.9473684210526315
auditorium,102,RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.40459534525871277
auditorium,102,RC-PDRF-NOQ,train_seconds,11.505726899995352
auditorium,102,RC-PDRF-NOQ,inference_seconds,0.00906599999871105
auditorium,102,RC-PDRF-NOQ,recall_return_air_temperature_fault,0.9329608938547486
