seed,threshold,accuracy,transfer_rate,recovery_rate,recovery_usage
106,0.625,0.7110754414125201,0.1,0.9354838709677419,0.33814874264312467
106,0.65,0.7100053504547886,0.1,0.9032258064516129,0.2846441947565543
106,0.675,0.7100053504547886,0.06666666666666667,0.8870967741935484,0.23381487426431247
106,0.7,0.7100053504547886,0.06666666666666667,0.8870967741935484,0.19689673622257892
106,0.725,0.7100053504547886,0.03333333333333333,0.8709677419354839,0.1803103263777421
106,0.75,0.7100053504547886,0.0,0.8548387096774194,0.15409309791332262
106,0.775,0.7084002140181915,0.0,0.8064516129032258,0.14285714285714285
106,0.8,0.7073301230604602,0.0,0.7741935483870968,0.12841091492776885
106,0.825,0.7046548956661316,0.0,0.6935483870967742,0.1032637774210808
106,0.8500000000000001,0.7030497592295345,0.0,0.6451612903225806,0.08828250401284109
106,0.875,0.6993044408774746,0.0,0.532258064516129,0.07223113964686999
106,0.9,0.6966292134831461,0.0,0.45161290322580644,0.0593900481540931
107,0.5,0.6555494805904866,0.192,0.6767676767676768,0.8206670311645708
107,0.525,0.6560962274466922,0.176,0.6666666666666666,0.8108255877528704
107,0.55,0.6544559868780755,0.16,0.6161616161616161,0.797156916347731
107,0.575,0.6555494805904866,0.128,0.5959595959595959,0.7840349917987972
107,0.6,0.6539092400218699,0.112,0.5454545454545454,0.7659923455440131
107,0.625,0.6533624931656643,0.096,0.5151515151515151,0.7517769272826681
107,0.65,0.6517222525970475,0.096,0.48484848484848486,0.7370147621651175
107,0.675,0.6517222525970475,0.08,0.46464646464646464,0.7184253690541279
107,0.7,0.6500820120284309,0.08,0.43434343434343436,0.6954620010934938
107,0.725,0.6495352651722253,0.072,0.41414141414141414,0.679606342263532
107,0.75,0.6489885183160197,0.056,0.3838383838383838,0.6522689994532531
107,0.775,0.6484417714598141,0.048,0.36363636363636365,0.6178239475123019
107,0.8,0.6489885183160197,0.032,0.35353535353535354,0.5855658829961727
107,0.825,0.6478950246036085,0.024,0.32323232323232326,0.551667577911427
107,0.8500000000000001,0.6478950246036085,0.008,0.30303030303030304,0.5079278294149808
107,0.875,0.647348277747403,0.008,0.29292929292929293,0.4499726626571897
107,0.9,0.6468015308911974,0.008,0.2828282828282828,0.37124111536358667
108,0.5,0.7101996762007555,0.16176470588235295,0.7037037037037037,0.8402590393955748
108,0.525,0.7112790070156503,0.11764705882352941,0.6851851851851852,0.8300053966540745
108,0.55,0.712358337830545,0.08823529411764706,0.6851851851851852,0.8219104155423638
108,0.575,0.7118186724230977,0.08823529411764706,0.6666666666666666,0.8111171073934161
108,0.6,0.7118186724230977,0.07352941176470588,0.6481481481481481,0.8041014570966001
108,0.625,0.7112790070156503,0.07352941176470588,0.6296296296296297,0.7960064759848894
108,0.65,0.710739341608203,0.07352941176470588,0.6111111111111112,0.7879114948731786
108,0.675,0.710739341608203,0.07352941176470588,0.6111111111111112,0.7798165137614679
