seed,method,fault,true_class,pred_class,count
101,CAGF,silent_gaussian,4,2,72
101,CAGF,silent_gaussian,4,3,41
101,CAGF,silent_gaussian,4,4,64
101,CAGF,silent_gaussian,4,5,136
101,CAGF,silent_gaussian,4,6,180
101,CAGF,silent_gaussian,5,1,52
101,CAGF,silent_gaussian,5,2,25
101,CAGF,silent_gaussian,5,3,64
101,CAGF,silent_gaussian,5,4,8
101,CAGF,silent_gaussian,5,5,564
101,CAGF,silent_gaussian,5,6,108
101,CAGF,silent_gaussian,6,1,184
101,CAGF,silent_gaussian,6,2,103
101,CAGF,silent_gaussian,6,3,75
101,CAGF,silent_gaussian,6,4,50
101,CAGF,silent_gaussian,6,5,45
101,CAGF,silent_gaussian,6,6,262
101,CAGF,gain_loss,1,1,361
101,CAGF,gain_loss,1,2,24
101,CAGF,gain_loss,1,3,1
101,CAGF,gain_loss,1,4,99
101,CAGF,gain_loss,1,5,175
101,CAGF,gain_loss,1,6,31
101,CAGF,gain_loss,2,1,34
101,CAGF,gain_loss,2,2,545
101,CAGF,gain_loss,2,3,21
101,CAGF,gain_loss,2,4,20
101,CAGF,gain_loss,2,5,62
101,CAGF,gain_loss,2,6,3
101,CAGF,gain_loss,3,1,36
101,CAGF,gain_loss,3,2,207
101,CAGF,gain_loss,3,3,408
101,CAGF,gain_loss,3,4,39
101,CAGF,gain_loss,3,5,49
101,CAGF,gain_loss,3,6,1
101,CAGF,gain_loss,4,1,202
101,CAGF,gain_loss,4,2,49
101,CAGF,gain_loss,4,3,19
101,CAGF,gain_loss,4,4,210
101,CAGF,gain_loss,4,5,111
101,CAGF,gain_loss,4,6,117
101,CAGF,gain_loss,5,1,41
101,CAGF,gain_loss,5,2,15
101,CAGF,gain_loss,5,3,44
101,CAGF,gain_loss,5,4,85
101,CAGF,gain_loss,5,5,551
101,CAGF,gain_loss,5,6,85
101,CAGF,gain_loss,6,1,156
101,CAGF,gain_loss,6,2,65
101,CAGF,gain_loss,6,3,18
101,CAGF,gain_loss,6,4,225
101,CAGF,gain_loss,6,5,44
101,CAGF,gain_loss,6,6,211
101,CAGF,offset,1,1,357
101,CAGF,offset,1,2,53
101,CAGF,offset,1,3,2
101,CAGF,offset,1,4,51
101,CAGF,offset,1,5,180
101,CAGF,offset,1,6,48
101,CAGF,offset,2,1,35
101,CAGF,offset,2,2,560
101,CAGF,offset,2,3,27
101,CAGF,offset,2,4,1
101,CAGF,offset,2,5,58
101,CAGF,offset,2,6,4
101,CAGF,offset,3,1,40
101,CAGF,offset,3,2,210
101,CAGF,offset,3,3,439
101,CAGF,offset,3,4,3
101,CAGF,offset,3,5,48
101,CAGF,offset,3,6,0
101,CAGF,offset,4,1,230
101,CAGF,offset,4,2,67
101,CAGF,offset,4,3,39
101,CAGF,offset,4,4,66
101,CAGF,offset,4,5,136
101,CAGF,offset,4,6,170
101,CAGF,offset,5,1,55
101,CAGF,offset,5,2,23
101,CAGF,offset,5,3,62
101,CAGF,offset,5,4,8
101,CAGF,offset,5,5,565
101,CAGF,offset,5,6,108
101,CAGF,offset,6,1,181
101,CAGF,offset,6,2,105
101,CAGF,offset,6,3,71
101,CAGF,offset,6,4,51
101,CAGF,offset,6,5,47
101,CAGF,offset,6,6,264
101,CAGF,linear_drift,1,1,380
101,CAGF,linear_drift,1,2,30
101,CAGF,linear_drift,1,3,1
101,CAGF,linear_drift,1,4,50
101,CAGF,linear_drift,1,5,181
101,CAGF,linear_drift,1,6,49
101,CAGF,linear_drift,2,1,36
101,CAGF,linear_drift,2,2,555
101,CAGF,linear_drift,2,3,29
101,CAGF,linear_drift,2,4,1
101,CAGF,linear_drift,2,5,58
101,CAGF,linear_drift,2,6,6
101,CAGF,linear_drift,3,1,41
101,CAGF,linear_drift,3,2,213
101,CAGF,linear_drift,3,3,434
101,CAGF,linear_drift,3,4,2
101,CAGF,linear_drift,3,5,50
101,CAGF,linear_drift,3,6,0
101,CAGF,linear_drift,4,1,252
101,CAGF,linear_drift,4,2,60
