model,regime,metric,mean,sd,n,ci95
RWF,reported_fault,macro_auroc,0.8358817531649665,0.007160892778705609,10,0.004438367327148516
RWF,reported_fault,macro_f1,0.5187483596504349,0.015308383120491972,10,0.009488234159225171
RWF,reported_fault,nll,1.8560758283711667,0.14308663874723077,10,0.08868601751107441
RWF,silent_fault,accuracy,0.5028414298808432,0.009973814561731182,10,0.006181834311144019
RWF,silent_fault,aurc,0.3272696528228776,0.015037120312026035,10,0.009320103728652883
RWF,silent_fault,ece,0.27999401273842695,0.01353734278492915,10,0.008390531986697316
RWF,silent_fault,macro_auroc,0.789363060846401,0.010881070406237776,10,0.006744157309415537
RWF,silent_fault,macro_f1,0.4816944692955979,0.01446842479491068,10,0.008967622595327372
RWF,silent_fault,nll,2.613990509461641,0.24534217229539534,10,0.1520646538271944
UF,complete_drift,accuracy,0.6034142988084327,0.03466976582052732,10,0.021488543483754462
UF,complete_drift,aurc,0.16803530061978927,0.028552239976953227,10,0.017696861682869595
UF,complete_drift,ece,0.14257099175677182,0.03591398385997057,10,0.022259717814214403
UF,complete_drift,macro_auroc,0.880146796955481,0.00720753550304346,10,0.00446727678720438
UF,complete_drift,macro_f1,0.5781144198196332,0.03066132876870958,10,0.019004088459288197
UF,complete_drift,nll,1.2937467807027614,0.07843621954789418,10,0.04861527254557614
UF,missing_drift,accuracy,0.5642529789184235,0.031134888358349204,10,0.019297603733859067
UF,missing_drift,aurc,0.21769793770204066,0.027303707874931703,10,0.016923013468721354
UF,missing_drift,ece,0.18044482677130116,0.03240479651732867,10,0.02008470096537391
UF,missing_drift,macro_auroc,0.8568083035258407,0.009189839327947596,10,0.005695921427031873
UF,missing_drift,macro_f1,0.5457729038932322,0.02396288717262014,10,0.014852351344705967
UF,missing_drift,nll,1.5078489858950068,0.09146410089876528,10,0.05669003706399219
UF,reported_fault,accuracy,0.508730522456462,0.022032737225696458,10,0.013656032013351308
UF,reported_fault,aurc,0.3041100931823431,0.016726952942575018,10,0.010367472844146571
UF,reported_fault,ece,0.2594230957090254,0.02394237852869871,10,0.014839639955509402
UF,reported_fault,macro_auroc,0.7991027950055332,0.006556270072257567,10,0.004063618291172003
UF,reported_fault,macro_f1,0.4937320683886166,0.0181308597474178,10,0.01123762329682546
UF,reported_fault,nll,2.3622428055842524,0.13649070263646135,10,0.08459781395452153
UF,silent_fault,accuracy,0.508730522456462,0.022032737225696458,10,0.013656032013351308
UF,silent_fault,aurc,0.3041100931823431,0.016726952942575018,10,0.010367472844146571
UF,silent_fault,ece,0.2594230957090254,0.02394237852869871,10,0.014839639955509402
UF,silent_fault,macro_auroc,0.7991027950055332,0.006556270072257567,10,0.004063618291172003
UF,silent_fault,macro_f1,0.4937320683886166,0.0181308597474178,10,0.01123762329682546
UF,silent_fault,nll,2.3622428055842524,0.13649070263646135,10,0.08459781395452153
