level,method,seed,pool,subset,metric,value
single_model,PDRF_AUC,101,none,affected,nll,2.5011344992114486
single_model,PDRF_AUC,101,none,unaffected,accuracy,0.5967679876875721
single_model,PDRF_AUC,101,none,unaffected,macro_f1,0.5700512756135923
single_model,PDRF_AUC,101,none,unaffected,macro_auroc,0.8704134890834135
single_model,PDRF_AUC,101,none,unaffected,macro_auprc,0.6536915343653981
single_model,PDRF_AUC,101,none,unaffected,nll,1.7041942423838548
single_model,PDRF_AUC,102,none,all,accuracy,0.5446837763519706
single_model,PDRF_AUC,102,none,all,macro_f1,0.5275848284139536
single_model,PDRF_AUC,102,none,all,macro_auroc,0.8375670136783596
single_model,PDRF_AUC,102,none,all,macro_auprc,0.588325090472991
single_model,PDRF_AUC,102,none,all,nll,2.1900428039367696
single_model,PDRF_AUC,102,none,affected,accuracy,0.48158640226628896
single_model,PDRF_AUC,102,none,affected,macro_f1,0.4779855626862583
single_model,PDRF_AUC,102,none,affected,macro_auroc,0.7932082576395724
single_model,PDRF_AUC,102,none,affected,macro_auprc,0.5176540855963314
single_model,PDRF_AUC,102,none,affected,nll,2.883502916277541
single_model,PDRF_AUC,102,none,unaffected,accuracy,0.5875336667949211
single_model,PDRF_AUC,102,none,unaffected,macro_f1,0.5545971200637944
single_model,PDRF_AUC,102,none,unaffected,macro_auroc,0.8714369881129369
single_model,PDRF_AUC,102,none,unaffected,macro_auprc,0.6461875196563588
single_model,PDRF_AUC,102,none,unaffected,nll,1.7191089454213935
single_model,PDRF_AUC,103,none,all,accuracy,0.538038496791934
single_model,PDRF_AUC,103,none,all,macro_f1,0.5276131446653031
single_model,PDRF_AUC,103,none,all,macro_auroc,0.8280051009591514
single_model,PDRF_AUC,103,none,all,macro_auprc,0.5633361067408361
single_model,PDRF_AUC,103,none,all,nll,2.5917991751109346
single_model,PDRF_AUC,103,none,affected,accuracy,0.46402266288951843
single_model,PDRF_AUC,103,none,affected,macro_f1,0.46099318045622645
single_model,PDRF_AUC,103,none,affected,macro_auroc,0.776948708559996
single_model,PDRF_AUC,103,none,affected,macro_auprc,0.48899684996389525
single_model,PDRF_AUC,103,none,affected,nll,3.6465855699496235
single_model,PDRF_AUC,103,none,unaffected,accuracy,0.5883031935359754
single_model,PDRF_AUC,103,none,unaffected,macro_f1,0.5698506280665697
single_model,PDRF_AUC,103,none,unaffected,macro_auroc,0.8673231820293196
single_model,PDRF_AUC,103,none,unaffected,macro_auprc,0.6276799595749316
single_model,PDRF_AUC,103,none,unaffected,nll,1.875485982771463
single_model,PDRF_AUC,104,none,all,accuracy,0.5460586617781852
single_model,PDRF_AUC,104,none,all,macro_f1,0.5313133169077192
single_model,PDRF_AUC,104,none,all,macro_auroc,0.8296437125745708
single_model,PDRF_AUC,104,none,all,macro_auprc,0.5629781726237973
single_model,PDRF_AUC,104,none,all,nll,2.4459665669549064
single_model,PDRF_AUC,104,none,affected,accuracy,0.4781869688385269
single_model,PDRF_AUC,104,none,affected,macro_f1,0.47413878190194353
single_model,PDRF_AUC,104,none,affected,macro_auroc,0.7850816133272263
single_model,PDRF_AUC,104,none,affected,macro_auprc,0.49177572817447746
single_model,PDRF_AUC,104,none,affected,nll,3.189542826994104
single_model,PDRF_AUC,104,none,unaffected,accuracy,0.5921508272412467
single_model,PDRF_AUC,104,none,unaffected,macro_f1,0.5670745365760985
single_model,PDRF_AUC,104,none,unaffected,macro_auroc,0.8651401998699605
single_model,PDRF_AUC,104,none,unaffected,macro_auprc,0.6394196485254786
single_model,PDRF_AUC,104,none,unaffected,nll,1.940998464234943
single_model,PDRF_AUC,105,none,all,accuracy,0.5584326306141155
single_model,PDRF_AUC,105,none,all,macro_f1,0.5370498016149695
single_model,PDRF_AUC,105,none,all,macro_auroc,0.837381107854274
single_model,PDRF_AUC,105,none,all,macro_auprc,0.5812796094829272
