seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-PDRF-Full,drift,assigned,nll,2.1013799557888757,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,brier,0.7553255618687295,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,assigned,ece15,0.29047308626661217,1765,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,accuracy,0.5852250865717584,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,macro_f1,0.5587407928915825,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,macro_auroc,0.8653044915946438,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,macro_auprc,0.6328965083851467,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,nll,1.5792013470476203,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,brier,0.6223091954199705,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,unaffected,ece15,0.2146409492898143,2599,0.0011117552727948291
101,RO-PDRF-Full,drift,all,accuracy,0.5554537121906508,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,macro_f1,0.534748365166391,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,macro_auroc,0.8497704619065484,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,macro_auprc,0.6050517050351247,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,nll,1.790394116165016,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,brier,0.6761070613187009,4364,0.0011117552727948291
101,RO-PDRF-Full,drift,all,ece15,0.24524146627795246,4364,0.0011117552727948291
101,RO-PDRF-Full,stuck_at,fault_applied_available,accuracy,0.48119777158774374,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,fault_applied_available,macro_f1,0.4699394344174858,1436,0.0010526581110576155
101,RO-PDRF-Full,stuck_at,fault_applied_available,macro_auroc,0.8226210188583488,1436,0.0010526581110576155
