model,stress_type,level,metric,mean,sd,n,ci95
CRF_NR,sensor_noise,1.0,ece,0.027026992763889333,0.005027162462669203,20,0.002203251092090863
CRF_NR,sensor_noise,1.0,nll,0.5515721673157843,0.00732990604319681,20,0.0032124729635298168
CRF_NR,sensor_noise,1.5,aurc,0.1663400066137566,0.010129858514556889,20,0.004439606239236832
CRF_NR,sensor_noise,1.5,auroc,0.7881190324311816,0.010894332750108907,20,0.0047746518453541656
CRF_NR,sensor_noise,1.5,ece,0.02590893413266167,0.005754852309895401,20,0.0025221752292179695
CRF_NR,sensor_noise,1.5,nll,0.5550022925095025,0.011575229453283426,20,0.005073067982889095
CRF_NR,sensor_noise,2.0,aurc,0.16562013227513228,0.0053926151672562496,20,0.0023634178017343486
CRF_NR,sensor_noise,2.0,auroc,0.788493200702691,0.0057519697615849245,20,0.002520911896719721
CRF_NR,sensor_noise,2.0,ece,0.026386620601670196,0.0062370221243163715,20,0.0027334954676397436
CRF_NR,sensor_noise,2.0,nll,0.5548217897420266,0.006453766145767641,20,0.002828487723313359
CRF_NR,sensor_noise,3.0,aurc,0.16733693121693122,0.007668593363686777,20,0.0033609092263894506
CRF_NR,sensor_noise,3.0,auroc,0.7868538040063771,0.008123120373114112,20,0.0035601144713645347
CRF_NR,sensor_noise,3.0,ece,0.027423878078224762,0.004854423293794631,20,0.0021275448133907123
CRF_NR,sensor_noise,3.0,nll,0.556901157491031,0.00862678878859294,20,0.0037808568871300673
EF,missingness,0.5,aurc,0.16295276455026456,0.006999039979758507,20,0.0030674645177078395
EF,missingness,0.5,auroc,0.7921594995202595,0.0076308765860529405,20,0.003344379119767876
EF,missingness,0.5,ece,0.0331790025562048,0.007523441188606927,20,0.003297293480799593
EF,missingness,0.5,nll,0.5531943941151516,0.009626566264400687,20,0.004219028685192805
EF,missingness,1.0,aurc,0.16892552248677248,0.006256984136549849,20,0.0027422442052388043
EF,missingness,1.0,auroc,0.7865448511025923,0.006623552054041404,20,0.0029028996784876077
EF,missingness,1.0,ece,0.027887633323234816,0.006959486505271792,20,0.003050129443198914
EF,missingness,1.0,nll,0.5581760214755416,0.007464645754715437,20,0.0032715252457577917
EF,missingness,1.5,aurc,0.17701527777777776,0.006875772643203541,20,0.0030134402254951586
EF,missingness,1.5,auroc,0.779261425673634,0.0072380245121596055,20,0.0031722041070717313
EF,missingness,1.5,ece,0.031432226103544236,0.006440686614674958,20,0.002822755366068495
EF,missingness,1.5,nll,0.5661288235293424,0.00694822778017818,20,0.0030451950893676514
EF,missingness,2.0,aurc,0.18149451058201058,0.011011887426134301,20,0.004826172453700652
EF,missingness,2.0,auroc,0.773515225760002,0.011409620277974314,20,0.0050004865616460805
EF,missingness,2.0,ece,0.03495023540128023,0.007852175891217311,20,0.0034413678165531925
EF,missingness,2.0,nll,0.5724497850126811,0.010114957469061084,20,0.004433075568106602
EF,sensor_noise,0.0,aurc,0.16943532407407408,0.007545591264970628,20,0.003307001179784978
EF,sensor_noise,0.0,auroc,0.7863601278160847,0.007852401459906835,20,0.0034414666763901733
EF,sensor_noise,0.0,ece,0.028236591959775736,0.005138738523349847,20,0.002252151456734201
EF,sensor_noise,0.0,nll,0.5584532842929056,0.008722209855686523,20,0.003822677013661404
EF,sensor_noise,0.5,aurc,0.17189310185185186,0.0077782236901676625,20,0.0034089568354211744
EF,sensor_noise,0.5,auroc,0.7832096885835356,0.008947166141851575,20,0.00392126845303627
