seed,method,fault,calibrated,metric,value
101,UF,stuck_at,True,class_3_auprc,0.8725136987469505
101,UF,stuck_at,True,class_3_recall,0.7648648648648648
101,UF,stuck_at,True,class_4_auroc,0.7487042428513148
101,UF,stuck_at,True,class_4_auprc,0.2689123456329825
101,UF,stuck_at,True,class_4_recall,0.0805084745762711
101,UF,stuck_at,True,class_5_auroc,0.8697749555401311
101,UF,stuck_at,True,class_5_auprc,0.7642928214282616
101,UF,stuck_at,True,class_5_recall,0.6747868453105969
101,UF,stuck_at,True,class_6_auroc,0.8231063185990298
101,UF,stuck_at,True,class_6_auprc,0.4225782203358396
101,UF,stuck_at,True,class_6_recall,0.497913769123783
101,UF,clipping,False,accuracy,0.5673693858845096
101,UF,clipping,False,macro_f1,0.5356253257327978
101,UF,clipping,False,macro_auroc,0.8574800985609355
101,UF,clipping,False,macro_auprc,0.6312009707933646
101,UF,clipping,False,micro_auprc,0.6504910897250924
101,UF,clipping,False,nll,1.6976220850392365
101,UF,clipping,False,brier,0.6259613645305451
101,UF,clipping,False,ece_10,0.209543568793237
101,UF,clipping,False,ece_15,0.2095435484082844
101,UF,clipping,False,ece_20,0.2095435564461703
101,UF,clipping,False,adaptive_ece_15,0.2095435442903192
101,UF,clipping,False,class_1_auroc,0.7982429769708393
101,UF,clipping,False,class_1_auprc,0.624313704912522
101,UF,clipping,False,class_1_recall,0.6454413892908828
101,UF,clipping,False,class_2_auroc,0.9309023596145416
101,UF,clipping,False,class_2_auprc,0.7973132629857989
101,UF,clipping,False,class_2_recall,0.7649635036496351
101,UF,clipping,False,class_3_auroc,0.9469848159417696
101,UF,clipping,False,class_3_auprc,0.883128174989416
101,UF,clipping,False,class_3_recall,0.7918918918918919
101,UF,clipping,False,class_4_auroc,0.7726004153840449
101,UF,clipping,False,class_4_auprc,0.2897062337535751
101,UF,clipping,False,class_4_recall,0.0437853107344632
101,UF,clipping,False,class_5_auroc,0.8755445109208152
101,UF,clipping,False,class_5_auprc,0.7741953573697952
101,UF,clipping,False,class_5_recall,0.7271619975639464
101,UF,clipping,False,class_6_auroc,0.820605512533602
101,UF,clipping,False,class_6_auprc,0.4185490907490801
101,UF,clipping,False,class_6_recall,0.4061196105702364
101,UF,clipping,True,accuracy,0.5673693858845096
101,UF,clipping,True,macro_f1,0.5356253257327978
101,UF,clipping,True,macro_auroc,0.8574705301453293
101,UF,clipping,True,macro_auprc,0.6312279158568841
101,UF,clipping,True,micro_auprc,0.6506132863815963
101,UF,clipping,True,nll,1.6722065122391134
101,UF,clipping,True,brier,0.6226194956516994
101,UF,clipping,True,ece_10,0.2049638630325481
101,UF,clipping,True,ece_15,0.2049638788488127
101,UF,clipping,True,ece_20,0.2049638937089992
101,UF,clipping,True,adaptive_ece_15,0.2049638988376756
101,UF,clipping,True,class_1_auroc,0.7982429769708393
101,UF,clipping,True,class_1_auprc,0.624580633194957
101,UF,clipping,True,class_1_recall,0.6454413892908828
101,UF,clipping,True,class_2_auroc,0.930882916057402
101,UF,clipping,True,class_2_auprc,0.7971409906319409
101,UF,clipping,True,class_2_recall,0.7649635036496351
101,UF,clipping,True,class_3_auroc,0.9469963755145874
101,UF,clipping,True,class_3_auprc,0.8831078581026328
101,UF,clipping,True,class_3_recall,0.7918918918918919
101,UF,clipping,True,class_4_auroc,0.7724941741151454
101,UF,clipping,True,class_4_auprc,0.2895145149448696
101,UF,clipping,True,class_4_recall,0.0437853107344632
101,UF,clipping,True,class_5_auroc,0.8756100017773634
101,UF,clipping,True,class_5_auprc,0.7744063432403291
101,UF,clipping,True,class_5_recall,0.7271619975639464
101,UF,clipping,True,class_6_auroc,0.8205967364366376
101,UF,clipping,True,class_6_auprc,0.4186171550265753
101,UF,clipping,True,class_6_recall,0.4061196105702364
101,UF,correlated_dual,False,accuracy,0.4988542621448212
101,UF,correlated_dual,False,macro_f1,0.4850722003780303
101,UF,correlated_dual,False,macro_auroc,0.7784769442449949
101,UF,correlated_dual,False,macro_auprc,0.485012257773286
101,UF,correlated_dual,False,micro_auprc,0.4805086775256849
101,UF,correlated_dual,False,nll,3.203073717831315
101,UF,correlated_dual,False,brier,0.8033045655397568
101,UF,correlated_dual,False,ece_10,0.3225323675861061
101,UF,correlated_dual,False,ece_15,0.3225323424002755
101,UF,correlated_dual,False,ece_20,0.3225323656159022
101,UF,correlated_dual,False,adaptive_ece_15,0.3225323472899324
101,UF,correlated_dual,False,class_1_auroc,0.738473304037796
101,UF,correlated_dual,False,class_1_auprc,0.3941062334931605
101,UF,correlated_dual,False,class_1_recall,0.557163531114327
101,UF,correlated_dual,False,class_2_auroc,0.8476758005091037
101,UF,correlated_dual,False,class_2_auprc,0.5929832164248469
101,UF,correlated_dual,False,class_2_recall,0.621897810218978
101,UF,correlated_dual,False,class_3_auroc,0.8679026087345624
101,UF,correlated_dual,False,class_3_auprc,0.7239005826997785
101,UF,correlated_dual,False,class_3_recall,0.6648648648648648
101,UF,correlated_dual,False,class_4_auroc,0.6725908729864383
101,UF,correlated_dual,False,class_4_auprc,0.2402564531340562
101,UF,correlated_dual,False,class_4_recall,0.1002824858757062
101,UF,correlated_dual,False,class_5_auroc,0.8047604117570011
101,UF,correlated_dual,False,class_5_auprc,0.6047645992273986
