building,method,metric,mean,std
auditorium,UF-PD,macro_auprc,0.8324820125895206,0.006570255518127483
auditorium,UF-PD,macro_auroc,0.9811918472765301,0.0008012454847021068
auditorium,UF-PD,macro_f1,0.7680138251254821,0.011181987961813175
hospital,CAGF,balanced_accuracy,0.9133852131145173,0.01201728762424221
hospital,CAGF,class_2_f1,0.903442332041425,0.013748795189713385
hospital,CAGF,class_2_precision,0.9950452331821118,0.0025578548749642413
hospital,CAGF,class_2_recall,0.8275585284280936,0.024239532772926686
hospital,CAGF,macro_auprc,0.9276713681646289,0.021744478653296366
hospital,CAGF,macro_auroc,0.9123982955770114,0.03081262211740489
hospital,CAGF,macro_f1,0.9434657422882946,0.007944268602870331
hospital,EF-PD,balanced_accuracy,0.9258958274966809,0.010266135459564108
hospital,EF-PD,class_2_f1,0.9092538673145848,0.020493202686744715
hospital,EF-PD,class_2_precision,0.9689235944769689,0.03948921920604756
hospital,EF-PD,class_2_recall,0.8572575250836121,0.019602200418001627
hospital,EF-PD,macro_auprc,0.9834604096290143,0.008418755911146856
hospital,EF-PD,macro_auroc,0.9897386143294478,0.00700632680132157
hospital,EF-PD,macro_f1,0.946562457282587,0.012223573040121838
hospital,ENT-PD,balanced_accuracy,0.9089700382572644,0.0028843627315076827
hospital,ENT-PD,class_2_f1,0.8886339739439796,0.01703192920067028
hospital,ENT-PD,class_2_precision,0.9653954919757431,0.04185484166600115
hospital,ENT-PD,class_2_recall,0.8238127090301003,0.002198217622094291
hospital,ENT-PD,macro_auprc,0.9502352551482192,0.005056348102381399
hospital,ENT-PD,macro_auroc,0.9575466716094876,0.008049888207962933
hospital,ENT-PD,macro_f1,0.9346072272909346,0.010258627092102627
hospital,HGB-current,balanced_accuracy,0.921076670550919,0.0013693438687184612
hospital,HGB-current,class_2_f1,0.9087119679904401,0.0021901340084237424
hospital,HGB-current,class_2_precision,0.9828934640322983,0.003701524884710532
hospital,HGB-current,class_2_recall,0.8449498327759197,0.002692255758862606
hospital,HGB-current,macro_auprc,0.9683811747551238,0.0022103656032565794
hospital,HGB-current,macro_auroc,0.9778454005194213,0.0013868845229237457
hospital,HGB-current,macro_f1,0.9463967647596003,0.0012885521769535353
hospital,HGB-lag,balanced_accuracy,0.910518957943367,0.0004341248099062931
hospital,HGB-lag,class_2_f1,0.8993930940837908,0.0006406389509332366
hospital,HGB-lag,class_2_precision,0.9925770512478784,0.0022812484276793165
hospital,HGB-lag,class_2_recall,0.8222073578595317,0.001099108811047185
hospital,HGB-lag,macro_auprc,0.9581227915933654,0.006613579038327248
hospital,HGB-lag,macro_auroc,0.9638805254411447,0.011583388407489684
hospital,HGB-lag,macro_f1,0.9410977361604695,0.00038317454578319453
hospital,PDRF-NOQ,balanced_accuracy,0.9085618729096989,0.0009036291696391862
hospital,PDRF-NOQ,class_2_f1,0.8993586216196002,0.0010957804975393539
hospital,PDRF-NOQ,class_2_precision,1.0,0.0
hospital,PDRF-NOQ,class_2_recall,0.8171237458193981,0.0018072583392784484
hospital,PDRF-NOQ,macro_auprc,0.9386443158883747,0.0017975439546843199
hospital,PDRF-NOQ,macro_auroc,0.9355646655752213,0.0021471444529874064
hospital,PDRF-NOQ,macro_f1,0.9411395216665992,0.0006308283282039813
hospital,RC-PDRF-NOQ,balanced_accuracy,0.9075585284280937,0.0025754680010941005
hospital,RC-PDRF-NOQ,class_2_f1,0.8981355644440363,0.0031381010955462314
hospital,RC-PDRF-NOQ,class_2_precision,1.0,0.0
