task,test_index,nearest_train_index,same_class,euclidean_distance,cosine_similarity
cooler,1388,1022,True,1.7863506078720093,0.9931741952896118
cooler,1389,1022,True,1.8370367288589478,0.9934224486351013
cooler,1390,1156,True,1.57497239112854,0.9948484897613525
cooler,1391,1123,True,1.8961595296859741,0.9920066595077515
cooler,1392,1156,True,1.6094142198562622,0.9945495128631592
cooler,1393,1231,True,1.7989925146102905,0.9935787916183472
cooler,1394,1156,True,1.6165106296539307,0.9951000809669495
cooler,1395,1156,True,1.9282810688018799,0.991929292678833
cooler,1396,1103,True,1.836264967918396,0.9934515953063965
cooler,1397,1039,True,1.779772162437439,0.9934782385826111
cooler,1398,1241,True,1.9460124969482422,0.9917646050453186
cooler,1399,1039,True,1.8194090127944946,0.9926759004592896
cooler,1400,1041,True,1.4967164993286133,0.9954385757446289
cooler,1401,1066,True,1.2384129762649536,0.9975306391716003
cooler,1402,1041,True,1.6603869199752808,0.9939615726470947
cooler,1403,1066,True,1.5797040462493896,0.9949118494987488
cooler,1404,1066,True,1.9827399253845215,0.9910500049591064
cooler,1405,1069,True,1.7840766906738281,0.9938466548919678
cooler,1406,1066,True,1.9962409734725952,0.9912747144699097
cooler,1407,1046,True,2.291877031326294,0.9882093667984009
cooler,1408,1042,True,2.09098219871521,0.9903405904769897
cooler,1409,1066,True,1.8617451190948486,0.9926655292510986
cooler,1410,1076,True,2.1507411003112793,0.9907851219177246
cooler,1411,1054,True,2.304569959640503,0.9885774254798889
cooler,1412,1138,True,2.4687416553497314,0.9889729619026184
cooler,1413,1072,True,2.2321557998657227,0.989189863204956
cooler,1414,1071,True,2.683417558670044,0.9854398369789124
cooler,1415,1141,True,2.3634121417999268,0.9907819032669067
cooler,1416,1070,True,1.9531514644622803,0.9928135871887207
cooler,1417,1051,True,1.926959753036499,0.993349552154541
cooler,1418,1061,True,1.8240329027175903,0.994498610496521
cooler,1419,1057,True,2.0167322158813477,0.9914999604225159
cooler,1420,1061,True,2.6024487018585205,0.9875058531761169
