seed,method,subset,metric,value,n
101,RO-CAGF,fault_applied_available,macro_auroc,0.8369996036935327,1436
101,RO-CAGF,fault_applied_available,macro_auprc,0.5954345539399556,1436
101,RO-CAGF,fault_applied_available,nll,1.668084475135855,1436
101,RO-CAGF,fault_applied_available,brier,0.6480528925790074,1436
101,RO-CAGF,fault_applied_available,ece15,0.17641615801056468,1436
101,RO-PDRF,fault_applied_available,accuracy,0.4714484679665738,1436
101,RO-PDRF,fault_applied_available,macro_f1,0.4551090987018754,1436
101,RO-PDRF,fault_applied_available,macro_auroc,0.8019059706876644,1436
101,RO-PDRF,fault_applied_available,macro_auprc,0.49973078942228666,1436
101,RO-PDRF,fault_applied_available,nll,2.170501112942313,1436
101,RO-PDRF,fault_applied_available,brier,0.785882555968685,1436
101,RO-PDRF,fault_applied_available,ece15,0.30729249322198887,1436
102,CAGF,fault_applied_available,accuracy,0.4554317548746518,1436
102,CAGF,fault_applied_available,macro_f1,0.43353524861628157,1436
102,CAGF,fault_applied_available,macro_auroc,0.7735357706732519,1436
102,CAGF,fault_applied_available,macro_auprc,0.4821205692627577,1436
102,CAGF,fault_applied_available,nll,2.2648108990225455,1436
102,CAGF,fault_applied_available,brier,0.8106040031609469,1436
102,CAGF,fault_applied_available,ece15,0.3037774626991009,1436
102,PDRF,fault_applied_available,accuracy,0.4505571030640669,1436
102,PDRF,fault_applied_available,macro_f1,0.4467805568402292,1436
102,PDRF,fault_applied_available,macro_auroc,0.7804072097177684,1436
102,PDRF,fault_applied_available,macro_auprc,0.4960555647051022,1436
102,PDRF,fault_applied_available,nll,3.417755123773639,1436
102,PDRF,fault_applied_available,brier,0.8743631942238245,1436
102,PDRF,fault_applied_available,ece15,0.38200517374041754,1436
102,RO-CAGF,fault_applied_available,accuracy,0.44637883008356544,1436
102,RO-CAGF,fault_applied_available,macro_f1,0.43002021908376914,1436
102,RO-CAGF,fault_applied_available,macro_auroc,0.7702277311433482,1436
102,RO-CAGF,fault_applied_available,macro_auprc,0.5010082473015863,1436
102,RO-CAGF,fault_applied_available,nll,2.2762414506923716,1436
102,RO-CAGF,fault_applied_available,brier,0.8041977526762529,1436
102,RO-CAGF,fault_applied_available,ece15,0.30981407674396616,1436
102,RO-PDRF,fault_applied_available,accuracy,0.4763231197771588,1436
102,RO-PDRF,fault_applied_available,macro_f1,0.4704515878886935,1436
102,RO-PDRF,fault_applied_available,macro_auroc,0.7959882169229933,1436
102,RO-PDRF,fault_applied_available,macro_auprc,0.5151989183797524,1436
102,RO-PDRF,fault_applied_available,nll,2.620300376674418,1436
102,RO-PDRF,fault_applied_available,brier,0.8021700163976428,1436
102,RO-PDRF,fault_applied_available,ece15,0.3268016342699439,1436
103,CAGF,fault_applied_available,accuracy,0.3997214484679666,1436
103,CAGF,fault_applied_available,macro_f1,0.3751431788849963,1436
103,CAGF,fault_applied_available,macro_auroc,0.7471166085020825,1436
103,CAGF,fault_applied_available,macro_auprc,0.4538310216385569,1436
103,CAGF,fault_applied_available,nll,2.2802569378915467,1436
103,CAGF,fault_applied_available,brier,0.8877850629820715,1436
103,CAGF,fault_applied_available,ece15,0.3347666001120041,1436
103,PDRF,fault_applied_available,accuracy,0.4373259052924791,1436
103,PDRF,fault_applied_available,macro_f1,0.4344880536991385,1436
103,PDRF,fault_applied_available,macro_auroc,0.7611750250812094,1436
103,PDRF,fault_applied_available,macro_auprc,0.46352777375547793,1436
103,PDRF,fault_applied_available,nll,4.851370722265265,1436
103,PDRF,fault_applied_available,brier,0.9537033779301908,1436
103,PDRF,fault_applied_available,ece15,0.44104010793253556,1436
103,RO-CAGF,fault_applied_available,accuracy,0.4435933147632312,1436
103,RO-CAGF,fault_applied_available,macro_f1,0.43492337675309606,1436
