seed,fault_type,method,subset,metric,value,n
101,drift,SR-PDRF-Balanced,assigned_unavailable,macro_f1,0.5194350838792736,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,macro_auroc,0.8406835424598834,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,macro_auprc,0.6266536935739434,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,nll,2.315219734526931,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,brier,0.7536339853871136,329
101,drift,SR-PDRF-Balanced,assigned_unavailable,ece15,0.329791321218195,329
101,drift,SR-PDRF-Safe,assigned_unavailable,accuracy,0.547112462006079,329
101,drift,SR-PDRF-Safe,assigned_unavailable,macro_f1,0.5194350838792736,329
101,drift,SR-PDRF-Safe,assigned_unavailable,macro_auroc,0.8412516482975717,329
101,drift,SR-PDRF-Safe,assigned_unavailable,macro_auprc,0.6272929011749923,329
