model,regime,metric,mean,sd,n,ci95
QWF,noise_shift,coverage_80_risk,0.24633333333333335,0.00745919699988151,20,0.003269137223662319
QWF,noise_shift,ece,0.029578501628680774,0.007204662418022767,20,0.003157582524640835
QWF,noise_shift,mean_uncertainty,0.2785393297672272,0.009407516213145674,20,0.004123025767396925
QWF,noise_shift,nll,0.5609366173611032,0.007516182104084784,20,0.003294112046736191
QWF,outlier_shift,auprc,0.7831889267964484,0.007281619627770248,20,0.0031913105089022334
QWF,outlier_shift,aurc,0.16571329365079362,0.006370724075897172,20,0.002792092931521718
QWF,outlier_shift,auroc,0.7901790539038054,0.007996462219132923,20,0.003504604087892047
QWF,outlier_shift,brier,0.18723264147384497,0.0036379637673918256,20,0.0015944079195795934
QWF,outlier_shift,coverage_80_risk,0.240125,0.009982715325158677,20,0.004375117893148409
QWF,outlier_shift,ece,0.0287659294364353,0.006985794438851855,20,0.003061659403454098
QWF,outlier_shift,mean_uncertainty,0.27548438459634783,0.007937735857380803,20,0.003478866125050046
QWF,outlier_shift,nll,0.5551243157686584,0.008100632546373335,20,0.0035502587467498474
QWF,silent_failure,auprc,0.767783133882713,0.008938551136303317,20,0.003917492760381912
QWF,silent_failure,aurc,0.1792015476190476,0.007250824854342127,20,0.003177814104381785
QWF,silent_failure,auroc,0.774698819109495,0.00773671530055345,20,0.003390764981581645
QWF,silent_failure,brier,0.19435529213658062,0.0033881121095763436,20,0.0014849056025109722
QWF,silent_failure,coverage_80_risk,0.25616666666666665,0.007623975340988456,20,0.003341354515761536
QWF,silent_failure,ece,0.03603144990159198,0.007118809779063758,20,0.0031199559466358567
QWF,silent_failure,mean_uncertainty,0.27042852342128754,0.008323943979197657,20,0.0036481292973636666
QWF,silent_failure,nll,0.5723531168003932,0.00855405113058391,20,0.0037489782029549324
RWF,ID_missing,auprc,0.7892772615463048,0.010325158295361342,20,0.004525200142067267
RWF,ID_missing,aurc,0.1621806746031746,0.0069227706232989844,20,0.003034037998441683
RWF,ID_missing,auroc,0.7926768525408175,0.008270061215739368,20,0.0036245141350696444
RWF,ID_missing,brier,0.18593981019018493,0.0037193691074182177,20,0.0016300853828895708
RWF,ID_missing,coverage_80_risk,0.23912499999999998,0.010773196786741044,20,0.004721561668626515
RWF,ID_missing,ece,0.02487564624271666,0.0044036763009115834,20,0.0019299962337096513
RWF,ID_missing,mean_uncertainty,0.2756977558135986,0.007669359153239703,20,0.0033612448484588234
RWF,ID_missing,nll,0.5505034143916471,0.008911335022229615,20,0.0039055647724760834
RWF,noise_shift,auprc,0.7834326049460325,0.0075386594764280295,20,0.003303963189509145
RWF,noise_shift,aurc,0.1663830687830688,0.005938578882054274,20,0.00260269694972354
RWF,noise_shift,auroc,0.788308966696566,0.006447302144538722,20,0.0028256547498670763
RWF,noise_shift,brier,0.18786355732844467,0.002910231487768137,20,0.0012754651856343407
RWF,noise_shift,coverage_80_risk,0.242625,0.006758009110270782,20,0.002961828081573154
RWF,noise_shift,ece,0.02635151664779211,0.0079030492567577,20,0.0034636640520573237
RWF,noise_shift,mean_uncertainty,0.2767210379242897,0.008364321093838271,20,0.003665825348085723
RWF,noise_shift,nll,0.5553116868262055,0.007473656162479007,20,0.0032754742310736012
RWF,outlier_shift,auprc,0.7878911880338837,0.006675759811841145,20,0.002925780737184649
RWF,outlier_shift,aurc,0.16118108465608466,0.005969884359817019,20,0.002616417180287279
RWF,outlier_shift,auroc,0.7939704420660086,0.007423514679378516,20,0.003253498757191352
