seed,variant,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
103,full,unaffected,ece15,0.2503780676980072,19740,16.824666200001957,0.0021714023846341594
103,minus_recovery,all,accuracy,0.5396425297891843,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,macro_f1,0.5295007704001236,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,macro_auroc,0.8287622751646321,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,macro_auprc,0.5628877720709877,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,nll,2.5845294964366885,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,brier,0.7301293828849221,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,all,ece15,0.3079399372614053,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,accuracy,0.46572237960339946,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,macro_f1,0.46142189671528094,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,macro_auroc,0.7791424217343671,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,macro_auprc,0.49060729531955366,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,nll,3.618703328900388,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,brier,0.8877275251246973,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,affected,ece15,0.40033120936780076,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,accuracy,0.5898422470180839,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,macro_f1,0.5734255526178239,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,macro_auroc,0.8670637178515541,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,macro_auprc,0.6247214074290872,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,nll,1.882214446687389,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,brier,0.6231033263042359,19740,15.63392229998135,0.0021780018315788814
103,minus_recovery,unaffected,ece15,0.24541822298300547,19740,15.63392229998135,0.0021780018315788814
103,minus_brier,all,accuracy,0.5339138405132906,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,macro_f1,0.521662872770526,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,macro_auroc,0.8302580885645968,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,macro_auprc,0.5675599677232324,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,nll,2.364682287679952,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,brier,0.7238520972158039,19740,15.300945599999977,0.002066613202771611
103,minus_brier,all,ece15,0.3029484557419824,19740,15.300945599999977,0.002066613202771611
103,minus_brier,affected,accuracy,0.4730878186968839,19740,15.300945599999977,0.002066613202771611
