task,seed,method,fault,subset,metric,value,n
cooler,103,RO-PDRF,vibration,affected,macro_f1,0.9893816874948951,91
cooler,103,RO-PDRF,vibration,affected,macro_auroc,1.0,91
cooler,103,RO-PDRF,vibration,affected,macro_auprc,1.0,91
cooler,103,RO-PDRF,vibration,affected,nll,0.04226874769781278,91
cooler,103,RO-PDRF,vibration,affected,brier,0.021051832059482307,91
cooler,103,RO-PDRF,vibration,affected,ece15,0.01023459500008883,91
cooler,103,RO-PDRF,vibration,unaffected,accuracy,1.0,123
cooler,103,RO-PDRF,vibration,unaffected,macro_f1,1.0,123
cooler,103,RO-PDRF,vibration,unaffected,macro_auroc,1.0,123
cooler,103,RO-PDRF,vibration,unaffected,macro_auprc,1.0,123
cooler,103,RO-PDRF,vibration,unaffected,nll,1.192092966562092e-07,123
cooler,103,RO-PDRF,vibration,unaffected,brier,8.583015896135754e-23,123
cooler,103,RO-PDRF,vibration,unaffected,ece15,0.0,123
cooler,104,RO-CAGF,pressure,all,accuracy,0.883177570093458,214
cooler,104,RO-CAGF,pressure,all,macro_f1,0.8838371593632673,214
cooler,104,RO-CAGF,pressure,all,macro_auroc,0.9528804203099978,214
cooler,104,RO-CAGF,pressure,all,macro_auprc,0.9045744280652293,214
cooler,104,RO-CAGF,pressure,all,nll,1.1288266614377764,214
cooler,104,RO-CAGF,pressure,all,brier,0.19861666919369103,214
cooler,104,RO-CAGF,pressure,all,ece15,0.10388272415811774,214
cooler,104,RO-CAGF,pressure,affected,accuracy,0.825,80
cooler,104,RO-CAGF,pressure,affected,macro_f1,0.8172349518094199,80
cooler,104,RO-CAGF,pressure,affected,macro_auroc,0.919520080230663,80
cooler,104,RO-CAGF,pressure,affected,macro_auprc,0.8236002979405637,80
cooler,104,RO-CAGF,pressure,affected,nll,2.0991640274993704,80
cooler,104,RO-CAGF,pressure,affected,brier,0.34212343130390854,80
cooler,104,RO-CAGF,pressure,affected,ece15,0.1768314123153686,80
cooler,104,RO-CAGF,pressure,unaffected,accuracy,0.917910447761194,134
cooler,104,RO-CAGF,pressure,unaffected,macro_f1,0.9195063734701132,134
cooler,104,RO-CAGF,pressure,unaffected,macro_auroc,0.9737999037999039,134
cooler,104,RO-CAGF,pressure,unaffected,macro_auprc,0.9505380614050803,134
cooler,104,RO-CAGF,pressure,unaffected,nll,0.5495207712517503,134
cooler,104,RO-CAGF,pressure,unaffected,brier,0.11294099032191941,134
cooler,104,RO-CAGF,pressure,unaffected,ece15,0.06746766994248575,134
cooler,104,RO-CAGF,vibration,all,accuracy,0.9252336448598131,214
cooler,104,RO-CAGF,vibration,all,macro_f1,0.9248844610488446,214
cooler,104,RO-CAGF,vibration,all,macro_auroc,0.964066449981943,214
cooler,104,RO-CAGF,vibration,all,macro_auprc,0.9282736431480877,214
cooler,104,RO-CAGF,vibration,all,nll,0.746330552052021,214
cooler,104,RO-CAGF,vibration,all,brier,0.12855813145288658,214
cooler,104,RO-CAGF,vibration,all,ece15,0.06612481942800716,214
cooler,104,RO-CAGF,vibration,affected,accuracy,0.9340659340659341,91
cooler,104,RO-CAGF,vibration,affected,macro_f1,0.9304065040650406,91
cooler,104,RO-CAGF,vibration,affected,macro_auroc,0.9792899408284024,91
cooler,104,RO-CAGF,vibration,affected,macro_auprc,0.9523145022531868,91
cooler,104,RO-CAGF,vibration,affected,nll,0.43045866267507116,91
cooler,104,RO-CAGF,vibration,affected,brier,0.10183140662024719,91
cooler,104,RO-CAGF,vibration,affected,ece15,0.06023757798331121,91
cooler,104,RO-CAGF,vibration,unaffected,accuracy,0.9186991869918699,123
cooler,104,RO-CAGF,vibration,unaffected,macro_f1,0.9229535310058984,123
cooler,104,RO-CAGF,vibration,unaffected,macro_auroc,0.954320987654321,123
cooler,104,RO-CAGF,vibration,unaffected,macro_auprc,0.9171748977774251,123
cooler,104,RO-CAGF,vibration,unaffected,nll,0.9800243889081384,123
cooler,104,RO-CAGF,vibration,unaffected,brier,0.14833156202012387,123
cooler,104,RO-CAGF,vibration,unaffected,ece15,0.07048043535976874,123
cooler,104,RO-PDRF,pressure,all,accuracy,0.9953271028037384,214
cooler,104,RO-PDRF,pressure,all,macro_f1,0.9953049314751442,214
cooler,104,RO-PDRF,pressure,all,macro_auroc,0.9962572638628977,214
cooler,104,RO-PDRF,pressure,all,macro_auprc,0.9919705620631337,214
cooler,104,RO-PDRF,pressure,all,nll,0.07449801932733006,214
cooler,104,RO-PDRF,pressure,all,brier,0.009345794577284756,214
