method,seed,subset,metric,value,n
RO-PDRF-CAL,103,all,accuracy,0.5348304307974335,4364
RO-PDRF-CAL,103,all,macro_f1,0.5249654137653064,4364
RO-PDRF-CAL,103,all,macro_auroc,0.8338388352154911,4364
RO-PDRF-CAL,103,all,macro_auprc,0.5741916811437305,4364
RO-PDRF-CAL,103,all,nll,2.4717408592554326,4364
RO-PDRF-CAL,103,all,brier,0.7267327111432278,4364
RO-PDRF-CAL,103,all,ece15,0.3120372860626711,4364
RO-PDRF-CAL,103,affected,accuracy,0.47478753541076485,1765
RO-PDRF-CAL,103,affected,macro_f1,0.47073957054730586,1765
RO-PDRF-CAL,103,affected,macro_auroc,0.7929314506845498,1765
RO-PDRF-CAL,103,affected,macro_auprc,0.5145312357926645,1765
RO-PDRF-CAL,103,affected,nll,3.304090089317065,1765
RO-PDRF-CAL,103,affected,brier,0.8637299729812573,1765
RO-PDRF-CAL,103,affected,ece15,0.38952005380611576,1765
RO-PDRF-CAL,103,unaffected,accuracy,0.5756060023085803,2599
RO-PDRF-CAL,103,unaffected,macro_f1,0.5599724261208241,2599
RO-PDRF-CAL,103,unaffected,macro_auroc,0.8646973700854953,2599
RO-PDRF-CAL,103,unaffected,macro_auprc,0.6229917730484604,2599
RO-PDRF-CAL,103,unaffected,nll,1.906486380202419,2599
RO-PDRF-CAL,103,unaffected,brier,0.6336968638388331,2599
RO-PDRF-CAL,103,unaffected,ece15,0.25941819465128263,2599
PDRF+CD,104,all,accuracy,0.5453712190650779,4364
PDRF+CD,104,all,macro_f1,0.528495524687488,4364
PDRF+CD,104,all,macro_auroc,0.8328240564119497,4364
PDRF+CD,104,all,macro_auprc,0.5731082936840212,4364
PDRF+CD,104,all,nll,2.219575942235666,4364
PDRF+CD,104,all,brier,0.7223122470877491,4364
PDRF+CD,104,all,ece15,0.29990807096418387,4364
PDRF+CD,104,affected,accuracy,0.4855524079320113,1765
PDRF+CD,104,affected,macro_f1,0.4805464737763135,1765
PDRF+CD,104,affected,macro_auroc,0.7934957175537778,1765
PDRF+CD,104,affected,macro_auprc,0.5084483009495565,1765
PDRF+CD,104,affected,nll,2.789080134293135,1765
PDRF+CD,104,affected,brier,0.8446229526915484,1765
PDRF+CD,104,affected,ece15,0.3611221180083731,1765
PDRF+CD,104,unaffected,accuracy,0.5859946133128127,2599
PDRF+CD,104,unaffected,macro_f1,0.5589187109279515,2599
PDRF+CD,104,unaffected,macro_auroc,0.8632466818331165,2599
PDRF+CD,104,unaffected,macro_auprc,0.638025634314298,2599
PDRF+CD,104,unaffected,nll,1.8328214601343062,2599
PDRF+CD,104,unaffected,brier,0.6392501480532334,2599
PDRF+CD,104,unaffected,ece15,0.25833711038419216,2599
PDRF+EMA-CD,104,all,accuracy,0.5401008249312558,4364
PDRF+EMA-CD,104,all,macro_f1,0.5210925977938866,4364
PDRF+EMA-CD,104,all,macro_auroc,0.8294766948569053,4364
PDRF+EMA-CD,104,all,macro_auprc,0.5732330373658986,4364
PDRF+EMA-CD,104,all,nll,1.8859793576270745,4364
PDRF+EMA-CD,104,all,brier,0.6958727134043039,4364
PDRF+EMA-CD,104,all,ece15,0.2584727428423277,4364
PDRF+EMA-CD,104,affected,accuracy,0.47138810198300285,1765
PDRF+EMA-CD,104,affected,macro_f1,0.4616351610194338,1765
PDRF+EMA-CD,104,affected,macro_auroc,0.794409547190963,1765
PDRF+EMA-CD,104,affected,macro_auprc,0.5149259053287776,1765
PDRF+EMA-CD,104,affected,nll,2.2917189351838827,1765
PDRF+EMA-CD,104,affected,brier,0.8088976946658376,1765
PDRF+EMA-CD,104,affected,ece15,0.32437660345443586,1765
PDRF+EMA-CD,104,unaffected,accuracy,0.5867641400538669,2599
PDRF+EMA-CD,104,unaffected,macro_f1,0.5563793182297291,2599
PDRF+EMA-CD,104,unaffected,macro_auroc,0.8561962642357873,2599
PDRF+EMA-CD,104,unaffected,macro_auprc,0.6211150040988349,2599
PDRF+EMA-CD,104,unaffected,nll,1.610438628736052,2599
PDRF+EMA-CD,104,unaffected,brier,0.619116618011227,2599
PDRF+EMA-CD,104,unaffected,ece15,0.21391804419420646,2599
PDRF+Soft-CD,104,all,accuracy,0.5437671860678277,4364
PDRF+Soft-CD,104,all,macro_f1,0.5263382059506755,4364
