model,stress_type,level,metric,mean,sd,n,ci95
CRF_NR,reported_quality,0.4,macro_auroc,0.8268584884291654,0.009705404955805245,10,0.0060154723138275586
CRF_NR,reported_quality,0.4,nll,1.9014184639878278,0.17595778895495165,10,0.10905976748839373
CRF_NR,reported_quality,0.7,aurc,0.2835092694259924,0.017952126595646836,10,0.011126843341642007
CRF_NR,reported_quality,0.7,macro_auroc,0.8128367287958523,0.01067781394470623,10,0.006618177649368665
CRF_NR,reported_quality,0.7,nll,2.110962035812253,0.2028238491127786,10,0.12571152409174555
CRF_NR,reported_quality,1.0,aurc,0.3005903421801976,0.017972734277071262,10,0.011139616114918888
CRF_NR,reported_quality,1.0,macro_auroc,0.8017645883413775,0.011266856210569899,10,0.006983269828222852
CRF_NR,reported_quality,1.0,nll,2.288651598175643,0.21963259429100349,10,0.136129692288768
CRF_NR,severity,0.0,aurc,0.2201904227525146,0.012738848397975141,10,0.007895620038216953
CRF_NR,severity,0.0,macro_auroc,0.8522531483923104,0.006830426883472398,10,0.004233542443231585
CRF_NR,severity,0.0,nll,1.603782144188672,0.13237644697312415,10,0.08204777187513261
CRF_NR,severity,1.0,aurc,0.24460251954068876,0.0149560430247453,10,0.009269851505367159
CRF_NR,severity,1.0,macro_auroc,0.8368205037041158,0.00834505789072922,10,0.005172320467570314
CRF_NR,severity,1.0,nll,1.7544555791550593,0.15465858127532298,10,0.09585838179797673
CRF_NR,severity,2.0,aurc,0.274859518368544,0.01685419715162534,10,0.010446339622001033
CRF_NR,severity,2.0,macro_auroc,0.817993838933565,0.010222952526224072,10,0.006336251621349495
CRF_NR,severity,2.0,nll,2.0155749965885814,0.1928699168984022,10,0.1195420129871644
CRF_NR,severity,3.0,aurc,0.3005903421801976,0.017972734277071262,10,0.011139616114918888
CRF_NR,severity,3.0,macro_auroc,0.8017645883413775,0.011266856210569899,10,0.006983269828222852
CRF_NR,severity,3.0,nll,2.288651598175643,0.21963259429100349,10,0.136129692288768
CRF_NR,severity,4.0,aurc,0.32288977101231164,0.019329867165784977,10,0.011980775794027282
CRF_NR,severity,4.0,macro_auroc,0.788105070344234,0.011812268364362569,10,0.0073213197834493355
CRF_NR,severity,4.0,nll,2.540361330847395,0.23438446444845948,10,0.14527299613991504
CRF_NR,severity,5.0,aurc,0.3423679675670762,0.020285143873917114,10,0.012572862431934749
CRF_NR,severity,5.0,macro_auroc,0.7767005544341175,0.012155284733336866,10,0.007533923531582517
CRF_NR,severity,5.0,nll,2.762041571662703,0.2412041039157583,10,0.149499852473332
RWF,fault_modality,0.0,aurc,0.32724499961650777,0.020705291824957145,10,0.012833272829924474
RWF,fault_modality,0.0,macro_auroc,0.788194951330599,0.013175002790523242,10,0.00816595133143703
RWF,fault_modality,0.0,nll,2.6285942356755916,0.25811352432777174,10,0.15998041982673183
