held_out_building,method,regime,metric,mean,std
hospital,RO-PDRF-NOQ,source_norm,reversed_auroc,0.7019054391185986,0.005145149492232892
hospital,RO-PDRF-NOQ,target_norm,ece15,0.14053787103894216,0.01818109813530761
hospital,RO-PDRF-NOQ,target_norm,macro_auprc,0.44437487965667855,0.0017954466909858603
hospital,RO-PDRF-NOQ,target_norm,macro_auroc,0.3563331294809754,0.004753965769110034
hospital,RO-PDRF-NOQ,target_norm,nll,0.8083337952419253,0.05376234406522296
hospital,RO-PDRF-NOQ,target_norm,reversed_auroc,0.6436668728534711,0.004753967092342607
office,EF-PD,coral_adapt,ece15,0.0486175290629818,0.002822980027197577
office,EF-PD,coral_adapt,macro_auprc,0.6909106352247342,0.021883171522365994
office,EF-PD,coral_adapt,macro_auroc,0.8599457170365989,0.009451894519008287
office,EF-PD,coral_adapt,nll,0.4808049498857173,0.049351643516484876
office,EF-PD,coral_adapt,reversed_auroc,0.14265733881439013,0.010316711442253558
office,EF-PD,source_norm,ece15,0.01634800441858266,0.014753048143815842
office,EF-PD,source_norm,macro_auprc,0.9437316248175991,0.018711252437412486
office,EF-PD,source_norm,macro_auroc,0.9936448220911085,0.0019303828525430449
office,EF-PD,source_norm,nll,0.10887657414804035,0.06254269795159934
office,EF-PD,source_norm,reversed_auroc,0.006355222183073621,0.0019302909426337912
office,EF-PD,target_norm,ece15,0.0424292003538164,0.007117978643754775
office,EF-PD,target_norm,macro_auprc,0.8186780230723295,0.0441814178834364
office,EF-PD,target_norm,macro_auroc,0.9621037313634113,0.01462736541167729
office,EF-PD,target_norm,nll,0.22359667788673487,0.058719731502637
office,EF-PD,target_norm,reversed_auroc,0.0379151557732605,0.01461649684170639
office,GroupDRO-EF-PD,source_only,ece15,0.006485174350560679,0.0035531739122442348
office,GroupDRO-EF-PD,source_only,macro_auprc,0.9509727760013096,0.00643381140275817
office,GroupDRO-EF-PD,source_only,macro_auroc,0.9949307493383956,0.0004915728260427496
office,GroupDRO-EF-PD,source_only,nll,0.06337192715597881,0.012309985364916868
office,GroupDRO-EF-PD,source_only,reversed_auroc,0.00506922771620958,0.0004915819254980349
office,HGB-current,source_only,ece15,0.008690047249109779,0.0017279334637198495
office,HGB-current,source_only,macro_auprc,0.9585374739629516,0.008620755399602366
office,HGB-current,source_only,macro_auroc,0.9925503955441879,0.001961159979977111
office,HGB-current,source_only,nll,0.05713701664178378,0.008185136319235259
office,HGB-current,source_only,reversed_auroc,0.0074496044558120394,0.0019611599799771277
office,RO-PDRF-NOQ,coral_adapt,ece15,0.03369055097629524,0.0019035443867197815
office,RO-PDRF-NOQ,coral_adapt,macro_auprc,0.6694789391285292,0.004616678164200311
