held_out_building,seed,method,regime,metric,value
auditorium,102,EF-PD,target_norm,recall_return_air_temperature_fault,0.9965397923875432
auditorium,102,EF-PD,target_norm,recall_supply_air_temperature_fault,1.0
auditorium,102,EF-PD,target_norm,selective_error_at_0.5,0.00253383796266593
auditorium,102,EF-PD,target_norm,selective_error_at_0.8,0.05847449133005911
auditorium,102,EF-PD,target_norm,selective_error_at_1,0.14503584200651087
auditorium,102,EF-PD,target_norm,parameters,12354.0
auditorium,102,EF-PD,target_norm,train_seconds,18.02147100000002
auditorium,102,EF-PD,target_norm,epochs,12.0
auditorium,102,EF-PD,target_norm,inference_ms_per_observation,0.0002402136087301286
auditorium,102,EF-PD,coral_adapt,accuracy,0.8742883717946662
auditorium,102,EF-PD,coral_adapt,macro_f1,0.6387356420240143
auditorium,102,EF-PD,coral_adapt,macro_auroc,0.9853075194312197
auditorium,102,EF-PD,coral_adapt,macro_auprc,0.8739133059768807
auditorium,102,EF-PD,coral_adapt,nll,0.4334904784266001
auditorium,102,EF-PD,coral_adapt,class_1_precision,0.9989521813678796
auditorium,102,EF-PD,coral_adapt,class_1_recall,0.8707384712466165
auditorium,102,EF-PD,coral_adapt,class_1_f1,0.9304492099122519
auditorium,102,EF-PD,coral_adapt,class_1_auroc,0.9853075446742867
auditorium,102,EF-PD,coral_adapt,class_1_auprc,0.9994503290352775
auditorium,102,EF-PD,coral_adapt,class_2_precision,0.2111077328468633
auditorium,102,EF-PD,coral_adapt,class_2_recall,0.9742750233863424
auditorium,102,EF-PD,coral_adapt,class_2_f1,0.34702207413577674
auditorium,102,EF-PD,coral_adapt,class_2_auroc,0.9853074941881528
auditorium,102,EF-PD,coral_adapt,class_2_auprc,0.7483762829184839
auditorium,102,EF-PD,coral_adapt,brier,0.2053548250963565
auditorium,102,EF-PD,coral_adapt,ece15,0.09723009050933354
auditorium,102,EF-PD,coral_adapt,reversed_auroc,0.01469251746249358
auditorium,102,EF-PD,coral_adapt,recall_return_air_temperature_fault,0.9711649365628604
auditorium,102,EF-PD,coral_adapt,recall_supply_air_temperature_fault,0.9876237623762376
auditorium,102,EF-PD,coral_adapt,selective_error_at_0.5,0.004779010840977649
auditorium,102,EF-PD,coral_adapt,selective_error_at_0.8,0.029648190838929556
auditorium,102,EF-PD,coral_adapt,selective_error_at_1,0.12571162820533377
auditorium,102,EF-PD,coral_adapt,parameters,12354.0
auditorium,102,EF-PD,coral_adapt,train_seconds,18.02147100000002
auditorium,102,EF-PD,coral_adapt,epochs,12.0
auditorium,102,EF-PD,coral_adapt,inference_ms_per_observation,0.00023016020653794973
auditorium,102,RO-PDRF-NOQ,source_norm,accuracy,0.9600686370415511
auditorium,102,RO-PDRF-NOQ,source_norm,macro_f1,0.7975765964382246
auditorium,102,RO-PDRF-NOQ,source_norm,macro_auroc,0.9836364691700363
auditorium,102,RO-PDRF-NOQ,source_norm,macro_auprc,0.8094765181129049
auditorium,102,RO-PDRF-NOQ,source_norm,nll,0.16324453907514969
auditorium,102,RO-PDRF-NOQ,source_norm,class_1_precision,0.9976037374799593
auditorium,102,RO-PDRF-NOQ,source_norm,class_1_recall,0.9609591657118185
auditorium,102,RO-PDRF-NOQ,source_norm,class_1_f1,0.9789386429381016
auditorium,102,RO-PDRF-NOQ,source_norm,class_1_auroc,0.9836364614029387
auditorium,102,RO-PDRF-NOQ,source_norm,class_1_auprc,0.9994010435161422
auditorium,102,RO-PDRF-NOQ,source_norm,class_2_precision,0.4595402298850575
auditorium,102,RO-PDRF-NOQ,source_norm,class_2_recall,0.9349859681945744
auditorium,102,RO-PDRF-NOQ,source_norm,class_2_f1,0.6162145499383477
auditorium,102,RO-PDRF-NOQ,source_norm,class_2_auroc,0.983636476937134
auditorium,102,RO-PDRF-NOQ,source_norm,class_2_auprc,0.6195519927096674
