subset,difference
all,-0.0007566976454669305
all,-0.0019909777116149385
all,-0.0002904620035176775
all,0.004497094020798897
all,-0.0014403687663648856
all,-0.0018791262913699924
all,-0.0013581049353069696
all,-0.0017122397751241358
all,0.004217192245131507
all,-0.0059701644628920025
all,0.0012266875987830828
all,-0.0006352461290772826
all,-0.0002659129466688892
all,-0.002663379559254997
all,0.0018716540725808306
all,0.003353617888025795
all,0.000499196030978144
all,0.005045624149205508
all,0.0020806608583721076
all,-0.0006054630505754055
all,0.0010135561675345128
all,-0.0010498719697412673
all,0.0022827630077401073
all,-0.002564601385456
all,0.0015954677062038902
all,0.00016660690995784488
all,0.002742182945119742
all,-0.0004268864086823809
all,-0.0026372674883180514
all,-0.00319734848821962
all,-0.0028404545110253254
all,-0.00227002389930675
all,-0.00023797710221096224
all,0.0010741218810955688
all,0.0013004593207496251
all,0.0010718378714003052
all,0.001087556080960117
all,-0.001828789798068886
all,0.0022019419265947304
all,-0.000544787581271855
all,0.005165974914669635
all,9.26823268380117e-05
all,-0.004018290447846629
all,-6.688984348235394e-05
all,-0.004272383359810394
all,0.0018233448997124757
all,0.001721871450914958
all,0.004793342291558145
all,-0.0011444326501410806
all,0.0015903307375259024
all,-0.0006442214813335845
all,-0.001092021830991663
all,0.0016214905067598595
all,0.000721120420471344
all,0.0019067785590284325
all,5.7308095529950975e-05
all,0.0009215084911344817
all,0.0032148061853972676
all,0.0008129826790503891
all,0.002264516901485769
all,0.0006262996216467309
all,-0.0043505231054795646
all,-0.002585814596494984
all,0.0019591358043633544
all,0.0014359375359522808
all,-0.002003882590027928
all,0.00043733475856366777
all,0.0012870667226854149
all,0.0004719899659826332
all,-0.0005656114398282508
all,-0.0009134507310852857
all,-0.003950867662443125
all,-0.001033820848290512
all,-4.281828635777085e-05
all,-0.0025347859391011696
all,-0.0008509937587184435
all,-0.002667215937345646
all,0.0034420751002973704
all,0.006440077076585782
all,0.002010476576024822
all,-0.0006908990956241423
all,-0.0002692711625074118
all,-0.0017078140220537774
all,0.003211971169054695
all,0.0015744828857818804
all,0.00025415630194558503
all,-0.005466838900428761
all,-0.001238321682782928
all,0.002240237663708511
all,-0.004956033810724847
all,-0.0014207967131916188
all,0.00453037830630687
all,-0.0018702846765084047
all,0.0005104232275356946
all,-0.0010033506128149794
all,-0.00034479164391909567
all,-0.0007603520718352241
all,-0.002796796645627042
all,-0.004054749584323503
all,0.0003337998305845691
all,-0.0008521138204262702
all,0.0022579951694012834
all,0.0023243280628406637
all,0.0011724291395650566
all,0.0013760276378937952
all,0.0009809410087736614
all,-0.002339492200988502
all,-0.0022182571323922096
all,-0.0015120141333720971
all,-7.432306273214007e-05
all,0.0010546674823892488
all,0.00456251408183217
all,0.0013741284704825718
all,-0.0016652316873057016
all,-0.001136740747732845
all,-0.0004858530694367147
all,-0.00023378543442587052
all,0.0006699853221175944
all,0.00018318121815086297
all,-0.004155839985147236
all,-7.802340300000488e-05
all,-0.0008300991489577081
all,0.0010091135919919614
all,0.00023798414704523374
all,-0.003986839604136816
all,0.0002813323096877429
all,0.0021221474514618865
all,-0.0009597805474712562
all,0.0039494646368612996
all,0.0014728705095422567
all,-0.0005841101258956538
all,-0.0022248175491484945
all,-0.0006781176971202285
all,-0.0008397489426789084
all,-0.001450389271775876
all,0.001027234543414246
all,-0.0017079331148985855
all,0.002646277124880414
all,0.0025214399909714302
all,0.0012634281046219886
all,0.002750571746876873
all,0.0012093465300617723
all,-0.001183536406301755
all,-0.0017442271635633722
all,0.001118119556182684
all,0.0026384094082452236
all,0.0018981532679244184
all,-0.0007015946888401237
all,-0.0031801895175949113
all,-0.0005927766703083259
all,0.00036194265260847125
all,5.5702901772369806e-05
all,0.0021715835316953314
all,0.0008472918065709489
all,0.001726911424025035
all,0.0022180337247719173
all,0.0005797472598069175
all,-0.002203781218693357
all,-0.0012961023377070502
all,0.0016406682093564884
all,0.0014837018620589282
all,0.00015133310016579582
all,-0.0011166232995023506
all,-0.001340551463724915
all,-0.0032496635175160993
all,0.002859437690650557
all,0.003276705989688544
all,-0.0024250798670065743
all,7.407262504210976e-05
all,-0.0011562914062157592
all,-0.0004110909588705969
all,0.0006738693760813819
all,-0.0036245975546673748
all,0.0006638034026339446
all,0.0014502478646897243
all,0.00038253754008943375
all,0.0008846473969287283
all,-0.0007071033792241943
all,-0.0017381927021424826
all,-0.0013105642468196343
all,0.0043740272306016514
all,0.0009570904578561912
all,4.247414424518592e-05
all,-0.0018064309339994589
all,0.0021586421324620853
all,0.00034698655858689254
all,0.0008118013480425956
all,-0.0013367617342051608
all,-0.0012502212955801673
all,0.00045771444434927755
all,0.004046696462348343
all,-0.00030693241203261223
all,0.0022623553321095002
all,0.0032385163696122543
all,-0.002402539785132829
all,-0.002996018168940129
all,-0.004573469823040077
all,0.0012223055257505333
all,0.0014962059194988386
all,0.004621825978040728
all,-0.001900958576365075
all,-0.00039386932171669997
all,0.000755746795916612
all,0.0028748322141500804
all,0.0019699118193918785
all,0.0017817900614908178
all,-0.0011735462045092682
all,-0.002313212792488084
all,0.001017838587745401
all,-0.0013413856510264832
all,-0.0030446233382017684
all,-0.0006800746420728698
all,0.0018458947012401916
all,1.7053193114846543e-05
all,0.00392272405021632
all,-0.0016174951616880762
all,-0.0015327152165069968
all,0.003370192041995068
all,-0.0013948899471892817
all,0.002308491036070781
all,0.0021094446680384182
all,-0.004601951136082527
all,0.000567075322290278
all,0.0035217689938936703
all,-0.002239158356469595
all,0.002582405943450383
