method,fault,batch,metric,value,n_samples
DWR,clipping,9,macro_auprc,0.7855288711781448,470
DWR,clipping,9,accuracy,0.6297872340425532,470
DWR,clipping,9,macro_f1,0.5894489090053606,470
DWR,clipping,9,nll,1.0039221402604448,470
DWR,clipping,10,macro_auroc,0.8563518518518518,3600
DWR,clipping,10,macro_auprc,0.6506944502951215,3600
DWR,clipping,10,accuracy,0.5755555555555556,3600
DWR,clipping,10,macro_f1,0.5396572050514904,3600
DWR,clipping,10,nll,1.1905914142888352,3600
DWR,correlated_dual,8,macro_auroc,0.9473192839189776,294
DWR,correlated_dual,8,macro_auprc,0.8262775102575963,294
DWR,correlated_dual,8,accuracy,0.7653061224489796,294
DWR,correlated_dual,8,macro_f1,0.7140690235955534,294
DWR,correlated_dual,8,nll,0.7844983878893336,294
DWR,correlated_dual,9,macro_auroc,0.9096025900229345,470
DWR,correlated_dual,9,macro_auprc,0.781137521078784,470
DWR,correlated_dual,9,accuracy,0.6361702127659574,470
DWR,correlated_dual,9,macro_f1,0.5975217312028501,470
DWR,correlated_dual,9,nll,0.9643164488611191,470
DWR,correlated_dual,10,macro_auroc,0.8581857407407406,3600
DWR,correlated_dual,10,macro_auprc,0.6651117429675143,3600
DWR,correlated_dual,10,accuracy,0.585,3600
DWR,correlated_dual,10,macro_f1,0.5415843409509671,3600
DWR,correlated_dual,10,nll,1.230523283933438,3600
DWR,gain_loss,8,macro_auroc,0.9508564681944449,294
DWR,gain_loss,8,macro_auprc,0.846347519859242,294
DWR,gain_loss,8,accuracy,0.7993197278911565,294
DWR,gain_loss,8,macro_f1,0.7696111920452599,294
DWR,gain_loss,8,nll,0.8392218197990806,294
DWR,gain_loss,9,macro_auroc,0.9107013968418757,470
DWR,gain_loss,9,macro_auprc,0.785232213121262,470
DWR,gain_loss,9,accuracy,0.6510638297872341,470
DWR,gain_loss,9,macro_f1,0.6186772375155091,470
DWR,gain_loss,9,nll,0.968751650021042,470
DWR,gain_loss,10,macro_auroc,0.8573241666666666,3600
DWR,gain_loss,10,macro_auprc,0.6557787127267755,3600
DWR,gain_loss,10,accuracy,0.5763888888888888,3600
DWR,gain_loss,10,macro_f1,0.5566217665421077,3600
DWR,gain_loss,10,nll,1.1509382436339406,3600
DWR,linear_drift,8,macro_auroc,0.9581736612552513,294
DWR,linear_drift,8,macro_auprc,0.8656610289340075,294
DWR,linear_drift,8,accuracy,0.782312925170068,294
DWR,linear_drift,8,macro_f1,0.7216679270372,294
DWR,linear_drift,8,nll,0.7652999577352708,294
DWR,linear_drift,9,macro_auroc,0.9110465501149988,470
DWR,linear_drift,9,macro_auprc,0.786418651492557,470
DWR,linear_drift,9,accuracy,0.6425531914893617,470
DWR,linear_drift,9,macro_f1,0.6287617585734134,470
DWR,linear_drift,9,nll,0.8957537763899934,470
DWR,linear_drift,10,macro_auroc,0.8519800000000001,3600
DWR,linear_drift,10,macro_auprc,0.6585068117570981,3600
DWR,linear_drift,10,accuracy,0.5927777777777777,3600
DWR,linear_drift,10,macro_f1,0.5579099519275937,3600
DWR,linear_drift,10,nll,1.246755972287865,3600
DWR,natural,8,macro_auroc,0.9685623966940587,294
DWR,natural,8,macro_auprc,0.9130316139549378,294
DWR,natural,8,accuracy,0.8537414965986394,294
DWR,natural,8,macro_f1,0.7713604865001606,294
DWR,natural,8,nll,0.6529280340791692,294
DWR,natural,9,macro_auroc,0.9356905919042439,470
DWR,natural,9,macro_auprc,0.8057530999597708,470
DWR,natural,9,accuracy,0.6531914893617021,470
DWR,natural,9,macro_f1,0.6142161247834869,470
DWR,natural,9,nll,0.8952415787551753,470
