held_out_building,method,metric,value
office,PDRF-NOQ,class_2_auprc,0.361823772833065
office,PDRF-NOQ,balanced_accuracy,0.6861047643337952
office,RC-PDRF-NOQ,accuracy,0.9187409755791324
office,RC-PDRF-NOQ,macro_f1,0.6767268055371095
office,RC-PDRF-NOQ,macro_auroc,0.888981323919241
office,RC-PDRF-NOQ,macro_auprc,0.6967116306157688
office,RC-PDRF-NOQ,nll,0.24015709050879372
office,RC-PDRF-NOQ,class_1_precision,0.9609346600275597
office,RC-PDRF-NOQ,class_1_recall,0.951977353813169
office,RC-PDRF-NOQ,class_1_f1,0.9564350354031074
office,RC-PDRF-NOQ,class_1_auroc,0.8889813168791768
office,RC-PDRF-NOQ,class_1_auprc,0.9919295279974512
office,RC-PDRF-NOQ,class_2_precision,0.37285354916329433
office,RC-PDRF-NOQ,class_2_recall,0.42453300124533
office,RC-PDRF-NOQ,class_2_f1,0.39701857567111165
office,RC-PDRF-NOQ,class_2_auroc,0.8889813309593053
office,RC-PDRF-NOQ,class_2_auprc,0.4014937332340863
office,RC-PDRF-NOQ,balanced_accuracy,0.6882551775292495
