seed,teacher,subset,metric,value,parameters,train_seconds,inference_ms_per_observation
101,removal_only,unaffected,brier,0.6330681211167557,19740,23.651502199994866,0.0017225022893932525
101,removal_only,unaffected,ece15,0.21011562564032932,19740,23.651502199994866,0.0017225022893932525
101,confidence_selected,all,accuracy,0.5602658111824015,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,macro_f1,0.5359305106356308,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,macro_auroc,0.8492362535838288,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,macro_auprc,0.5997314866970764,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,nll,1.7236603370150023,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,brier,0.6639789460084253,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,all,ece15,0.23355803598404806,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,accuracy,0.5347222222222222,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,macro_f1,0.5082848669312139,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,macro_auroc,0.8269699365090343,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,macro_auprc,0.5500786240293348,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,nll,1.950910204065094,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,brier,0.7114998321991741,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,affected,ece15,0.2660411767385624,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,accuracy,0.5770106221547799,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,macro_f1,0.5514455818837508,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,macro_auroc,0.8656632930838271,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,macro_auprc,0.6416557236840003,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,nll,1.5746892557317862,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,brier,0.6328271662900589,19740,23.276482700006454,0.0020175985342387186
101,confidence_selected,unaffected,ece15,0.2128569289295735,19740,23.276482700006454,0.0020175985342387186
102,best_ce,all,accuracy,0.5630155820348305,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,macro_f1,0.5340526082614997,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,macro_auroc,0.8514995301935172,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,macro_auprc,0.6098393333828426,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,nll,1.8176727238224923,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,brier,0.6399237496909755,19740,16.464462499992806,0.001881691108697404
102,best_ce,all,ece15,0.2300290846078905,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,accuracy,0.5225694444444444,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,macro_f1,0.49767930505048374,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,macro_auroc,0.8265254255309508,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,macro_auprc,0.5622269693668916,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,nll,2.1912181844454746,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,brier,0.715964373304189,19740,16.464462499992806,0.001881691108697404
102,best_ce,affected,ece15,0.2818692554374812,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,accuracy,0.5895295902883156,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,macro_f1,0.5539130454537479,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,macro_auroc,0.8701282837409273,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,macro_auprc,0.6493111540104274,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,nll,1.5727992200453627,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,brier,0.5900761785211603,19740,16.464462499992806,0.001881691108697404
102,best_ce,unaffected,ece15,0.1972258416130257,19740,16.464462499992806,0.001881691108697404
102,clean_only,all,accuracy,0.5623281393217232,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,macro_f1,0.5343769862989427,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,macro_auroc,0.851588227127383,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,macro_auprc,0.6087723805260427,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,nll,1.814756296039101,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,brier,0.6410335769633677,19740,16.301847299997462,0.0021027955996477847
102,clean_only,all,ece15,0.23192150668880457,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,accuracy,0.5225694444444444,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,macro_f1,0.49951873001154024,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,macro_auroc,0.8265999057406379,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,macro_auprc,0.5617791863734154,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,nll,2.18145320792156,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,brier,0.713637734040948,19740,16.301847299997462,0.0021027955996477847
102,clean_only,affected,ece15,0.2825805269595649,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,accuracy,0.588391502276176,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,macro_f1,0.5533201945078835,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,macro_auroc,0.8700679750339239,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,macro_auprc,0.6476941427186611,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,nll,1.5743722809659264,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,brier,0.5934387425817068,19740,16.301847299997462,0.0021027955996477847
102,clean_only,unaffected,ece15,0.2001340999882753,19740,16.301847299997462,0.0021027955996477847
102,removal_only,all,accuracy,0.5600366636113657,19740,15.977767599993967,0.0016895050413315
102,removal_only,all,macro_f1,0.5316571646975924,19740,15.977767599993967,0.0016895050413315
102,removal_only,all,macro_auroc,0.851630331447153,19740,15.977767599993967,0.0016895050413315
102,removal_only,all,macro_auprc,0.6077508168265869,19740,15.977767599993967,0.0016895050413315
102,removal_only,all,nll,1.8078815898785872,19740,15.977767599993967,0.0016895050413315
102,removal_only,all,brier,0.6425924358651324,19740,15.977767599993967,0.0016895050413315
